Date,Open,High,Low,Close,Volume
2016-10-04,58.82,59.26,58.62,59.08,5990138
2016-10-05,59.39,60.28,59.34,59.9,5219931
2016-10-06,59.96,60.13,59.51,59.95,4921428
2016-10-07,60.0,60.44,59.61,60.06,4733009
2016-10-10,60.33,60.73,60.33,60.44,3435899
2016-10-11,60.11,60.38,59.5,59.86,5170858
2016-10-12,60.09,60.87,59.9,60.44,5565472
2016-10-13,59.8,59.93,58.93,59.59,6131126
2016-10-14,60.14,60.69,59.77,59.86,5207790
2016-10-17,60.03,60.48,59.9,60.29,5158610
2016-10-18,60.71,61.0,60.38,60.49,4105553
2016-10-19,60.46,61.0,60.46,60.71,4546787
2016-10-20,60.49,60.69,59.81,60.07,4380784
2016-10-21,59.53,60.09,59.4,60.0,4218319
2016-10-24,60.28,60.5,60.19,60.32,3458593
2016-10-25,60.3,60.6,60.16,60.55,3493816
2016-10-26,60.3,61.37,60.16,61.11,6584600
2016-10-27,61.44,62.03,61.12,61.42,9922419
2016-10-28,61.64,61.91,60.96,61.28,7016933
2016-10-31,61.55,61.96,61.44,61.7,5901492
2016-11-01,61.77,61.81,59.9,60.68,8322769
2016-11-02,60.63,61.12,60.24,60.55,7359269
2016-11-03,58.14,58.36,57.35,58.15,13088067
2016-11-04,58.23,58.34,57.37,57.38,8737140
2016-11-07,58.2,59.31,58.12,59.28,9849142
2016-11-08,59.11,59.87,58.71,59.5,9238483
2016-11-09,60.09,61.16,59.7,60.93,13020992
2016-11-10,61.52,63.47,61.5,63.21,12562020
2016-11-11,62.93,63.48,62.72,63.32,9673674
2016-11-14,63.66,64.72,63.55,64.45,9557516
2016-11-15,63.93,64.6,63.73,64.6,8588088
2016-11-16,63.94,64.52,63.45,64.1,6185328
2016-11-17,63.95,64.46,63.95,64.23,6260655
2016-11-18,64.14,64.23,63.45,63.91,4461995
2016-11-21,64.0,64.25,63.66,63.92,4177660
2016-11-22,64.03,64.12,63.09,64.0,6626666
2016-11-23,64.14,64.49,63.82,64.33,4504280
2016-11-25,64.02,64.58,64.02,64.44,2073964
2016-11-28,63.98,64.5,63.29,63.31,6385295
2016-11-29,63.48,63.58,63.25,63.28,4841421
2016-11-30,63.69,64.06,63.33,63.33,7627186
2016-12-01,63.66,64.15,63.6,64.11,5942660
2016-12-02,64.09,64.2,63.69,63.75,5651035
2016-12-05,64.14,64.22,63.82,64.22,4705979
2016-12-06,64.21,64.36,63.76,64.2,4942566
2016-12-07,64.29,64.99,64.21,64.92,5113147
2016-12-08,64.98,66.1,64.8,65.82,5196466
2016-12-09,65.8,65.99,65.48,65.83,6552997
2016-12-12,66.08,66.22,64.98,65.62,6568383
2016-12-13,65.93,66.33,65.42,66.31,5225907
2016-12-14,65.74,67.0,65.42,66.01,6613365
2016-12-15,66.26,67.03,66.13,66.19,6148705
2016-12-16,66.33,66.68,65.99,66.3,14776709
2016-12-19,66.33,66.68,65.6,66.54,7628691
2016-12-20,66.74,66.98,66.32,66.6,4075706
2016-12-21,66.58,66.87,66.22,66.66,3091514
2016-12-22,66.23,66.78,65.95,66.23,3047455
2016-12-23,66.23,66.5,66.04,66.41,2060999
2016-12-27,66.54,66.92,66.42,66.7,3263695
2016-12-28,66.68,66.77,65.87,65.88,2449817
2016-12-29,66.0,66.19,65.44,65.5,3336812
2016-12-30,65.4,65.72,65.12,65.31,4497239
2017-01-03,65.95,66.01,64.69,65.12,7321916
2017-01-04,65.49,66.21,65.28,65.97,4927545
2017-01-05,65.81,66.07,64.93,65.6,4107903
2017-01-06,66.57,67.08,66.19,66.81,5603712
2017-01-09,66.69,66.87,66.07,66.38,4344972
2017-01-10,66.41,67.47,66.26,67.2,4952507
2017-01-11,66.84,67.27,66.32,66.95,4761963
2017-01-12,66.56,66.61,65.75,66.25,5558665
2017-01-13,66.14,66.91,66.12,66.35,5391474
2017-01-17,65.7,66.41,65.46,66.06,5155010
2017-01-18,66.34,66.47,65.86,66.24,4953918
2017-01-19,66.45,66.65,65.96,66.29,4406422
2017-01-20,66.29,67.45,66.26,66.54,9070940
2017-01-23,66.52,66.53,65.44,65.49,5707121
2017-01-24,65.84,65.93,65.34,65.5,6524912
2017-01-25,65.72,66.07,65.43,65.72,6798966
2017-01-26,66.01,66.4,65.55,66.02,4866929
2017-01-27,66.0,66.05,64.99,65.21,5612849
2017-01-30,64.95,64.95,64.02,64.89,5149903
2017-01-31,64.75,65.14,64.05,64.26,6201111
2017-02-01,64.75,65.0,64.06,64.27,4690352
2017-02-02,63.87,64.62,63.75,64.12,4532806
2017-02-03,64.97,65.18,64.5,64.94,4380706
2017-02-06,64.54,65.05,64.5,64.9,2871482
2017-02-07,65.19,65.25,64.76,64.88,3645651
2017-02-08,64.7,65.04,64.5,64.91,3181863
2017-02-09,65.04,65.58,64.94,65.32,5373053
2017-02-10,65.41,65.88,65.35,65.61,5076166
2017-02-13,65.74,66.3,65.65,66.14,4568916
2017-02-14,66.43,66.92,66.26,66.89,7933744
2017-02-15,62.54,62.99,60.41,60.85,38234945
2017-02-16,60.8,62.69,60.7,62.27,14253640
2017-02-17,62.09,62.52,61.81,62.5,7797911
2017-02-21,62.76,63.58,62.51,63.41,9402423
2017-02-22,63.1,64.44,63.03,63.83,10006598
2017-02-23,64.24,64.27,63.88,64.02,6081436
2017-02-24,63.69,63.71,63.22,63.63,6466476
2017-02-27,63.55,64.51,63.53,64.0,8548755
2017-02-28,63.76,64.29,63.7,63.92,8014685
2017-03-01,64.73,64.9,64.37,64.63,10136993
2017-03-02,64.59,64.73,63.85,63.9,6833676
2017-03-03,63.86,64.37,63.77,64.22,4639875
2017-03-06,63.8,64.01,63.37,63.78,5305708
2017-03-07,63.69,63.76,62.66,63.45,8145609
2017-03-08,63.85,64.05,63.29,63.44,5864970
2017-03-09,64.54,64.75,62.95,63.21,8564505
2017-03-10,63.29,63.4,62.87,63.08,5005584
2017-03-13,61.97,63.32,61.81,63.18,8328066
2017-03-14,62.75,63.02,62.41,62.88,5131206
2017-03-15,63.09,63.39,62.88,63.23,5862627
2017-03-16,63.15,63.47,62.78,62.91,5186557
2017-03-17,62.64,63.04,62.03,62.42,16458441
2017-03-20,62.21,62.84,61.88,62.37,4596632
2017-03-21,62.68,62.68,61.56,61.76,7307265
2017-03-22,61.58,61.83,61.1,61.24,7417700
2017-03-23,61.31,61.9,61.2,61.34,6894584
2017-03-24,61.5,61.77,60.44,60.88,8466731
2017-03-27,60.14,61.12,59.89,60.93,6639297
2017-03-28,60.69,62.25,60.62,61.86,6490971
2017-03-29,61.6,61.89,61.51,61.77,5369787
2017-03-30,61.73,62.89,61.68,62.57,4706557
2017-03-31,62.41,62.84,62.25,62.43,5295973
2017-04-03,62.43,62.56,61.34,61.79,5158756
2017-04-04,61.71,62.26,61.5,62.18,4553323
2017-04-05,62.53,62.77,61.55,61.62,4605297
2017-04-06,61.5,62.07,61.39,61.84,3862618
2017-04-07,61.52,61.82,61.29,61.34,4847157
2017-04-10,61.41,61.89,61.26,61.48,4760939
2017-04-11,61.28,61.41,60.56,60.79,6147797
2017-04-12,60.19,60.46,59.74,60.17,7518346
2017-04-13,59.99,60.3,59.5,59.55,5956058
2017-04-17,59.61,60.06,59.37,59.93,5939384
2017-04-18,59.59,59.92,59.3,59.5,4841345
2017-04-19,59.82,59.98,58.7,58.98,6125659
2017-04-20,59.15,60.49,58.93,59.67,9397661
2017-04-21,59.56,59.7,59.08,59.13,6473219
2017-04-24,59.9,59.96,59.4,59.69,7930514
2017-04-25,60.01,60.3,59.9,60.07,8367455
2017-04-26,60.01,60.82,59.92,60.16,12413537
2017-04-27,60.21,61.41,60.12,61.15,6860400
2017-04-28,61.05,61.32,60.87,60.91,4822599
2017-05-01,61.19,61.88,61.07,61.61,5778717
2017-05-02,61.5,62.06,61.39,61.53,5205036
2017-05-03,61.4,61.91,61.26,61.54,7526868
2017-05-04,62.92,63.48,62.6,62.67,8490489
2017-05-05,62.76,62.95,62.61,62.71,6056908
2017-05-08,62.76,62.8,61.75,61.92,6488102
2017-05-09,61.9,62.44,61.66,61.82,6299912
2017-05-10,61.65,61.8,61.22,61.37,3964074
2017-05-11,62.88,62.9,61.72,61.79,9098423
2017-05-12,61.58,61.81,60.92,60.99,14479145
2017-05-15,61.25,61.86,61.25,61.82,9583172
2017-05-16,62.33,62.37,61.83,62.08,7962452
2017-05-17,61.33,61.85,61.18,61.56,13252179
2017-05-18,61.48,61.88,61.16,61.39,9934828
2017-05-19,61.51,61.79,61.12,61.2,9709562
2017-05-22,61.61,61.91,61.17,61.38,9260335
2017-05-23,61.36,62.28,61.21,62.17,7968891
2017-05-24,62.23,62.84,62.17,62.6,11978311
2017-05-25,62.85,63.24,62.55,63.12,9920740
2017-05-26,63.0,63.9,62.91,63.55,8817060
2017-05-30,63.3,64.32,63.26,64.1,6358300
2017-05-31,64.19,64.19,63.52,63.63,7492955
2017-06-01,63.81,64.04,63.63,63.9,5146673
2017-06-02,63.56,64.35,63.45,64.24,5736889
2017-06-05,64.0,64.15,63.78,63.83,3251078
2017-06-06,63.57,63.65,63.05,63.31,4157858
2017-06-07,63.4,63.42,63.08,63.16,4203657
2017-06-08,63.06,64.21,63.06,63.66,4868429
2017-06-09,63.83,64.21,63.32,64.18,7128919
2017-06-12,64.0,64.4,63.57,63.82,5646936
2017-06-13,63.88,64.33,63.64,64.23,4715511
2017-06-14,64.04,64.35,63.63,64.25,3026219
2017-06-15,63.81,64.13,63.36,63.81,4895703
2017-06-16,63.97,64.0,63.57,63.79,7611876
2017-06-19,64.13,64.18,63.72,63.95,3090826
2017-06-20,63.8,63.92,63.33,63.39,3907526
2017-06-21,63.89,63.94,63.16,63.22,4468211
2017-06-22,63.0,63.28,62.83,63.05,2749433
2017-06-23,63.18,63.36,62.81,63.02,8461768
2017-06-26,63.22,63.65,63.09,63.18,3839835
2017-06-27,63.26,64.0,63.21,63.41,4986988
2017-06-28,63.67,64.15,63.67,63.84,3792383
2017-06-29,64.31,64.53,63.25,63.5,4376298
2017-06-30,63.67,63.69,62.28,62.52,7731564
2017-07-03,62.82,63.91,62.82,63.29,3229139
2017-07-05,63.4,63.55,62.46,62.78,7148950
2017-07-06,62.78,63.79,62.77,63.08,6088044
2017-07-07,63.23,63.44,62.98,63.35,3360686
2017-07-10,63.08,63.3,62.98,63.07,3140565
2017-07-11,63.14,63.27,62.73,62.91,2883370
2017-07-12,62.91,63.59,62.79,63.19,2686582
2017-07-13,63.36,64.29,63.18,64.13,5507908
2017-07-14,63.8,64.24,63.49,64.11,2767924
2017-07-17,64.0,64.22,63.53,64.05,3466313
2017-07-18,63.83,64.08,63.52,63.87,3980905
2017-07-19,63.92,64.19,63.73,64.19,2871741
2017-07-20,64.22,64.35,63.81,64.23,3488528
2017-07-21,64.16,64.28,63.86,64.2,3542745
2017-07-24,64.2,64.62,64.05,64.53,2928040
2017-07-25,64.94,65.42,64.91,65.29,4960007
2017-07-26,65.31,65.48,65.01,65.19,4458889
2017-07-27,65.17,66.02,65.09,65.17,4289310
2017-07-28,65.25,65.52,65.06,65.27,2838484
2017-07-31,,65.65,,65.45,3154255
2017-08-01,65.73,65.74,65.28,65.48,3261731
2017-08-02,65.29,65.94,65.1,65.9,3848466
2017-08-03,66.08,67.3,65.1,66.06,8492625
2017-08-04,66.17,66.23,64.79,65.08,5074352
2017-08-07,64.76,65.08,64.5,64.98,5301174
2017-08-08,64.94,65.08,64.39,64.57,3143571
2017-08-09,64.01,64.44,63.64,64.01,5601434
2017-08-10,63.73,63.85,62.92,63.0,4375089
2017-08-11,63.14,63.21,62.51,62.65,3676269
2017-08-14,63.17,63.4,62.84,62.88,3256307
2017-08-15,63.16,63.44,63.0,63.03,3065365
2017-08-16,63.2,63.3,62.8,62.97,2656914
2017-08-17,62.76,62.76,61.64,61.67,5174935
2017-08-18,61.46,61.83,61.16,61.34,4494724
2017-08-21,61.3,61.35,60.92,61.29,3000259
2017-08-22,61.35,61.51,60.94,61.22,4843562
2017-08-23,60.88,61.05,60.66,60.77,5305982
2017-08-24,60.79,60.94,60.17,60.23,5389650
2017-08-25,60.31,60.91,60.13,60.78,5877551
2017-08-28,60.66,60.71,60.27,60.66,6586408
2017-08-29,60.2,60.42,60.02,60.21,4870010
2017-08-30,60.17,60.34,60.1,60.2,4420069
2017-08-31,60.41,60.54,60.06,60.48,7299881
2017-09-01,60.58,61.03,60.44,60.7,3747105
2017-09-05,60.43,60.68,59.46,59.65,8358182
2017-09-06,59.72,59.96,59.42,59.47,5938064
2017-09-07,59.39,59.47,58.06,58.27,6648625
2017-09-08,58.03,60.23,57.9,59.78,10069162
2017-09-11,60.36,61.06,59.98,60.77,8147056
2017-09-12,60.84,61.23,60.7,61.2,4310437
2017-09-13,60.9,60.98,60.5,60.74,5493177
2017-09-14,60.5,60.56,59.6,59.81,5383476
2017-09-15,59.67,60.04,59.4,59.62,9334444
2017-09-18,59.66,59.8,59.23,59.39,7294044
2017-09-19,59.34,59.77,59.21,59.49,4093020
2017-09-20,59.44,60.33,59.44,60.12,6049659
2017-09-21,60.22,60.71,60.14,60.5,4354764
2017-09-22,60.37,61.0,60.21,60.71,4407244
2017-09-25,60.31,61.19,60.31,61.01,4405295
2017-09-26,60.8,60.85,60.01,60.47,7686610
2017-09-27,60.9,61.52,60.51,61.25,5951293
2017-09-28,61.23,61.32,60.71,60.97,4896289
2017-09-29,61.24,61.88,61.12,61.39,4337025
2017-10-02,61.72,61.94,61.38,61.86,3858125
