Date,Open,High,Low,Close,Volume
2016-10-04,50.48,50.6,49.83,50.28,946237
2016-10-05,50.55,50.77,50.34,50.42,569511
2016-10-06,50.42,50.79,50.12,50.76,662888
2016-10-07,50.89,50.89,50.38,50.57,491389
2016-10-10,50.93,51.08,50.52,50.53,460573
2016-10-11,50.47,50.51,49.68,49.82,576309
2016-10-12,49.84,50.66,49.84,50.47,449855
2016-10-13,50.2,50.3,49.84,50.07,648764
2016-10-14,50.47,50.71,50.22,50.24,492955
2016-10-17,50.33,50.36,49.87,49.91,562107
2016-10-18,50.42,50.42,49.94,50.02,448029
2016-10-19,50.18,50.26,49.84,50.02,820258
2016-10-20,49.85,49.85,49.1,49.18,763318
2016-10-21,48.87,49.2,48.63,48.97,779973
2016-10-24,49.31,49.47,48.54,48.55,1096408
2016-10-25,48.45,48.57,48.29,48.37,868787
2016-10-26,48.2,48.72,48.2,48.51,622682
2016-10-27,48.68,48.78,48.06,48.1,911217
2016-10-28,48.98,49.7,47.76,48.33,875874
2016-10-31,48.51,48.55,48.12,48.23,920249
2016-11-01,48.39,48.42,47.53,47.65,793148
2016-11-02,47.6,47.84,47.32,47.35,967629
2016-11-03,47.49,48.16,47.49,47.67,621173
2016-11-04,47.64,47.87,47.16,47.48,938734
2016-11-07,48.22,48.58,48.07,48.57,795099
2016-11-08,48.55,49.02,48.41,48.93,1039170
2016-11-09,48.81,50.15,48.26,49.9,1232412
2016-11-10,50.33,51.32,50.2,51.2,871961
2016-11-11,51.14,51.62,51.1,51.54,1072517
2016-11-14,51.78,52.34,51.5,52.12,1463205
2016-11-15,51.53,51.89,50.93,51.07,1270098
2016-11-16,50.87,50.95,50.57,50.86,905718
2016-11-17,50.9,51.9,50.86,51.63,603845
2016-11-18,51.52,51.63,51.34,51.52,880041
2016-11-21,51.61,51.92,51.32,51.4,490699
2016-11-22,51.52,51.78,51.13,51.19,1004903
2016-11-23,51.32,51.95,51.29,51.66,943474
2016-11-25,51.67,51.86,51.51,51.86,322558
2016-11-28,51.64,51.84,51.15,51.22,701992
2016-11-29,51.29,51.48,51.19,51.25,972484
2016-11-30,51.17,51.23,50.31,50.35,1989160
2016-12-01,50.35,50.41,49.57,49.73,1388817
2016-12-02,49.67,49.97,48.97,49.16,1158426
2016-12-05,49.54,49.75,49.21,49.32,1377068
2016-12-06,49.54,49.94,49.31,49.82,2222505
2016-12-07,49.82,50.46,49.66,50.44,2142070
2016-12-08,50.57,50.63,50.05,50.15,878927
2016-12-09,50.12,50.76,49.93,50.76,1159676
2016-12-12,50.7,51.0,50.6,50.69,1779608
2016-12-13,50.99,51.15,50.85,51.05,1266867
2016-12-14,50.94,51.16,50.11,50.23,1558833
2016-12-15,50.25,51.04,50.23,50.82,1143360
2016-12-16,50.95,51.74,50.86,51.55,8576112
2016-12-19,51.53,51.86,51.21,51.67,1002178
2016-12-20,51.97,51.98,51.65,51.87,946404
2016-12-21,51.9,52.09,51.62,51.73,525621
2016-12-22,51.74,52.0,51.58,51.98,517019
2016-12-23,52.0,52.12,51.83,52.01,556641
2016-12-27,52.03,52.1,51.86,51.95,523722
2016-12-28,52.02,52.05,51.6,51.62,688920
2016-12-29,51.67,51.91,51.65,51.84,912307
2016-12-30,51.96,52.16,51.63,51.96,1221412
2017-01-03,52.0,52.33,51.8,52.24,1058717
2017-01-04,52.42,53.23,52.24,52.9,1382821
2017-01-05,52.76,53.09,52.58,53.02,1309518
2017-01-06,53.22,53.36,53.08,53.14,871926
2017-01-09,52.99,53.14,52.37,52.4,922414
2017-01-10,52.43,52.75,52.27,52.42,616254
2017-01-11,52.39,52.6,52.04,52.48,622043
2017-01-12,52.17,52.65,51.96,52.58,1076165
2017-01-13,52.65,53.04,52.65,52.81,507765
2017-01-17,52.36,52.81,52.14,52.57,689935
2017-01-18,52.74,53.01,52.29,52.93,510535
2017-01-19,53.04,53.06,52.51,52.67,520671
2017-01-20,52.88,52.97,52.57,52.84,703679
2017-01-23,52.74,52.96,52.58,52.74,721664
2017-01-24,52.93,53.42,52.77,53.23,876511
2017-01-25,53.5,53.87,53.3,53.79,914304
2017-01-26,53.89,54.07,53.74,53.79,856045
2017-01-27,53.7,54.65,53.05,54.62,1053685
2017-01-30,54.26,54.51,53.33,53.87,1075629
2017-01-31,53.77,54.0,53.53,53.83,833056
2017-02-01,53.97,54.19,53.39,53.44,755423
2017-02-02,53.37,54.17,53.19,53.95,871330
2017-02-03,54.26,54.47,53.86,54.01,846435
2017-02-06,53.82,54.2,53.82,54.02,440394
2017-02-07,54.28,54.28,53.77,53.93,578909
2017-02-08,53.84,54.08,53.63,54.06,632251
2017-02-09,54.15,54.75,54.07,54.71,779152
2017-02-10,54.83,55.3,54.47,55.17,928367
2017-02-13,55.35,55.74,55.16,55.55,678351
2017-02-14,55.26,55.79,55.19,55.56,885972
2017-02-15,55.56,55.89,55.36,55.82,567138
2017-02-16,55.82,56.49,55.78,56.47,640511
2017-02-17,56.24,56.94,55.96,56.94,1206116
2017-02-21,56.7,57.19,56.06,56.15,1215688
2017-02-22,56.05,56.4,55.79,56.22,705593
2017-02-23,56.23,56.47,56.17,56.47,553217
2017-02-24,56.14,56.91,55.96,56.86,751284
2017-02-27,56.86,57.08,56.8,56.98,645442
2017-02-28,57.04,57.26,56.77,56.95,833281
2017-03-01,57.26,57.82,57.04,57.76,1145578
2017-03-02,57.71,57.79,56.72,56.78,816599
2017-03-03,56.62,56.94,56.46,56.86,654217
2017-03-06,56.42,56.7,56.3,56.4,662124
2017-03-07,56.34,56.54,55.85,56.32,880611
2017-03-08,56.6,56.63,55.97,56.15,678990
2017-03-09,56.17,56.47,55.97,56.24,701330
2017-03-10,56.61,56.73,56.22,56.66,585186
2017-03-13,56.56,57.0,56.5,56.99,1217235
2017-03-14,56.88,56.93,56.53,56.85,618895
2017-03-15,56.89,57.16,56.75,57.07,813627
2017-03-16,57.33,57.53,56.72,56.86,857164
2017-03-17,56.9,57.1,56.57,56.93,5600788
2017-03-20,56.95,57.27,56.66,56.88,848434
2017-03-21,57.17,57.17,55.97,56.01,997678
2017-03-22,55.95,56.43,55.84,56.12,1013713
2017-03-23,56.2,56.8,55.92,56.28,764719
2017-03-24,56.46,56.92,56.22,56.44,879270
2017-03-27,55.87,56.65,55.54,56.54,628374
2017-03-28,56.39,57.09,56.12,57.01,665007
