Date,Open,High,Low,Close,Volume
2016-10-04,123.22,123.95,121.71,122.44,1598026
2016-10-05,122.44,122.57,120.97,122.07,1967847
2016-10-06,122.13,122.78,121.55,122.35,1519981
2016-10-07,122.28,122.74,120.78,121.9,1699220
2016-10-10,122.34,124.94,122.34,124.8,1363028
2016-10-11,124.68,124.79,121.55,121.9,1281359
2016-10-12,122.05,122.5,120.17,120.85,1934091
2016-10-13,120.32,121.28,119.79,121.0,1606591
2016-10-14,121.18,121.81,120.76,121.09,1280818
2016-10-17,120.38,120.95,117.5,118.28,3201091
2016-10-18,120.02,123.77,119.66,123.15,2282934
2016-10-19,123.24,124.12,122.63,123.83,1170511
2016-10-20,123.78,125.57,123.35,124.03,1238929
2016-10-21,123.05,123.72,121.92,123.5,1228116
2016-10-24,124.23,124.94,123.86,124.49,851744
2016-10-25,124.37,125.45,123.81,124.5,941775
2016-10-26,124.47,125.04,123.78,124.17,1200446
2016-10-27,124.0,124.59,122.74,123.49,1352084
2016-10-28,123.1,123.13,121.45,121.62,1948179
2016-10-31,122.35,123.0,121.44,121.86,1304258
2016-11-01,122.44,122.44,116.88,117.42,2847729
2016-11-02,117.76,123.87,114.85,122.99,3477535
2016-11-03,123.48,124.58,119.69,120.03,2069930
2016-11-04,120.67,121.24,119.17,119.29,1761661
2016-11-07,121.03,123.93,120.35,123.49,2221666
2016-11-08,123.19,127.42,122.43,126.84,1806504
2016-11-09,120.4,129.73,118.42,128.75,4356413
2016-11-10,129.56,133.98,129.23,133.86,2999445
2016-11-11,133.55,135.01,131.38,133.68,2669271
2016-11-14,133.8,138.75,132.65,138.6,2130205
2016-11-15,140.02,142.62,136.82,138.42,2502226
2016-11-16,138.37,139.37,137.9,138.39,1391497
2016-11-17,138.45,138.72,136.89,137.88,1505348
2016-11-18,137.39,137.59,135.0,135.35,2188565
2016-11-21,136.0,137.88,135.68,137.36,1204086
2016-11-22,138.29,141.56,137.64,141.31,2694903
2016-11-23,141.48,143.66,140.34,143.62,1694760
2016-11-25,143.62,145.21,142.82,144.74,1231477
2016-11-28,144.06,145.19,142.73,143.24,1934304
2016-11-29,143.73,146.09,142.56,145.28,1999567
2016-11-30,145.51,145.51,142.04,142.53,2535083
2016-12-01,142.38,146.22,141.82,145.17,2545361
2016-12-02,145.01,147.43,144.67,145.1,1418118
2016-12-05,145.06,145.53,142.77,144.09,1858940
2016-12-06,144.44,144.92,142.91,143.55,1019479
2016-12-07,143.54,145.6,142.71,145.2,1435730
2016-12-08,145.26,147.5,143.61,146.61,960552
2016-12-09,147.0,147.0,144.36,145.88,1060397
2016-12-12,145.22,145.99,142.7,145.79,1342906
2016-12-13,146.41,147.25,145.07,146.58,1075417
2016-12-14,146.61,146.61,143.77,144.69,1201393
2016-12-15,145.38,145.47,143.19,143.67,1429416
2016-12-16,144.35,145.87,143.6,145.46,1874814
2016-12-19,145.81,146.98,144.32,144.88,966450
2016-12-20,145.5,148.26,144.94,147.66,1449346
2016-12-21,146.91,147.48,144.15,144.98,960508
2016-12-22,145.24,145.46,143.86,144.58,947735
2016-12-23,144.83,146.04,144.0,146.02,428757
2016-12-27,146.02,147.14,145.41,145.68,361097
2016-12-28,145.75,146.6,144.01,144.26,950363
2016-12-29,144.75,145.95,144.33,144.76,571437
2016-12-30,144.88,145.5,143.11,143.77,1086082
2017-01-03,144.54,144.78,140.5,143.24,1525954
2017-01-04,142.68,143.85,140.86,143.05,1250510
2017-01-05,143.03,145.89,143.0,144.57,1645953
2017-01-06,144.38,144.76,143.28,144.35,1105617
2017-01-09,143.24,143.74,142.46,142.79,907110
2017-01-10,142.39,147.49,142.04,146.34,1637627
2017-01-11,146.19,146.74,143.99,145.83,950438
2017-01-12,144.77,148.39,144.34,148.19,2013817
2017-01-13,148.37,149.58,147.41,148.53,1405200
2017-01-17,147.19,148.05,145.31,146.75,957020
2017-01-18,147.42,147.85,145.97,147.22,1760089
2017-01-19,146.95,149.95,144.44,148.11,2091115
2017-01-20,149.02,151.99,149.0,150.63,1961405
2017-01-23,150.0,150.6,146.78,150.16,2051403
2017-01-24,150.0,152.55,148.8,150.23,1609518
2017-01-25,150.75,154.61,150.75,153.71,1967162
2017-01-26,153.08,153.79,151.92,152.4,1434797
2017-01-27,153.05,154.24,152.02,153.35,1760272
2017-01-30,154.45,154.48,152.16,154.18,2243732
2017-01-31,154.37,154.97,151.77,154.14,2684124
2017-02-01,155.0,160.79,154.37,160.79,4345162
2017-02-02,160.0,160.31,156.66,157.66,2522642
2017-02-03,158.58,161.8,158.32,159.08,1988812
2017-02-06,158.7,159.99,156.17,156.81,1575069
2017-02-07,157.4,159.22,155.35,158.59,2059162
2017-02-08,157.76,159.11,156.81,158.6,1767753
2017-02-09,158.76,162.49,157.74,161.68,2565124
2017-02-10,162.38,162.48,160.19,162.32,1341821
2017-02-13,162.98,164.22,161.0,163.52,1383946
2017-02-14,162.6,165.88,160.61,163.32,4396706
2017-02-15,163.03,164.67,161.76,162.69,3009298
2017-02-16,161.99,164.14,160.29,163.77,2085747
2017-02-17,161.78,163.25,159.64,160.25,2302818
2017-02-21,160.74,164.48,160.28,164.22,2211958
2017-02-22,163.07,164.37,162.53,163.27,1129651
2017-02-23,163.95,164.31,163.21,163.92,845925
2017-02-24,163.73,163.9,161.19,163.83,956006
2017-02-27,163.39,165.46,162.85,164.91,1461475
2017-02-28,165.07,165.19,163.13,164.82,1642817
2017-03-01,166.17,169.2,166.1,166.97,2423578
2017-03-02,166.81,167.65,165.6,165.97,1232802
2017-03-03,165.85,166.4,165.11,166.0,992400
2017-03-06,164.71,166.33,164.0,165.84,2218751
2017-03-07,165.34,166.96,165.24,166.01,1689004
2017-03-08,165.99,166.47,165.32,165.65,949562
2017-03-09,166.0,167.14,165.3,166.18,2008388
2017-03-10,166.98,167.59,165.37,166.41,1098066
2017-03-13,166.19,167.48,165.65,167.24,1520543
2017-03-14,165.97,167.2,163.19,165.18,1279434
2017-03-15,166.0,170.79,165.18,169.2,1953889
2017-03-16,169.2,169.8,166.61,168.42,1993145
2017-03-17,168.77,169.15,167.06,168.27,1605405
2017-03-20,168.32,168.44,166.65,167.59,1268864
2017-03-21,168.23,168.5,166.18,166.99,1529233
2017-03-22,167.1,167.79,165.45,166.44,1309624
2017-03-23,166.44,166.94,164.85,165.38,1899224
2017-03-24,165.88,167.08,161.54,162.75,2199208
2017-03-27,160.51,162.34,158.66,162.19,2355785
2017-03-28,161.69,165.03,161.68,164.6,1324880
2017-03-29,164.37,165.77,164.0,164.98,1019853
2017-03-30,164.85,167.83,164.68,167.08,1055845
2017-03-31,166.59,166.97,164.93,165.38,1287738
2017-04-03,166.15,167.62,165.35,166.49,1489162
2017-04-04,166.63,167.44,164.85,165.7,858796
2017-04-05,166.26,166.85,164.56,164.75,1046037
2017-04-06,164.63,166.22,163.87,165.92,1002187
2017-04-07,165.41,166.91,165.08,166.26,1094613
2017-04-10,166.38,168.72,166.34,167.44,1055973
2017-04-11,166.94,167.58,165.73,167.43,1042860
2017-04-12,166.65,167.35,165.24,166.43,1075724
2017-04-13,165.94,166.4,164.65,164.99,1264155
2017-04-17,165.51,167.31,164.91,166.94,900827
2017-04-18,170.0,170.18,165.65,166.37,966361
2017-04-19,167.21,167.6,165.82,166.79,1069546
2017-04-20,166.93,169.44,166.35,168.07,1761548
2017-04-21,168.0,168.77,166.5,167.8,1225081
2017-04-24,169.29,169.89,168.17,168.41,1004279
2017-04-25,170.0,173.28,169.53,172.46,2201367
2017-04-26,174.12,180.01,174.0,179.03,3561085
2017-04-27,180.27,184.45,177.85,178.3,2621804
2017-04-28,176.43,179.15,175.83,177.89,1741145
2017-05-01,178.5,179.64,176.85,179.2,1203788
2017-05-02,179.68,181.35,178.23,181.27,1237690
2017-05-03,180.57,181.95,179.48,179.94,1297565
2017-05-04,180.68,181.45,179.08,179.89,980653
2017-05-05,180.82,181.5,179.22,180.3,1214981
2017-05-08,180.64,181.39,179.09,179.83,826441
2017-05-09,179.73,180.61,177.56,177.73,2222456
2017-05-10,177.92,180.29,177.51,180.13,1233085
2017-05-11,180.1,183.37,178.87,182.72,1782203
2017-05-12,181.27,183.79,180.72,181.44,1000458
2017-05-15,180.72,182.79,179.6,182.3,1363081
2017-05-16,182.18,182.56,179.57,180.81,1321267
2017-05-17,179.33,180.67,176.02,176.12,1938485
2017-05-18,176.1,178.5,175.17,176.69,1354568
2017-05-19,177.0,178.04,175.87,176.41,1900050
