Date,Open,High,Low,Close,Volume
2016-10-04,46.96,47.3,46.68,46.8,2043823
2016-10-05,47.06,47.19,46.42,46.55,3018934
2016-10-06,46.27,46.75,46.27,46.67,956159
2016-10-07,46.74,46.99,46.32,46.38,1048217
2016-10-10,46.59,46.84,46.44,46.77,1196615
2016-10-11,46.62,46.9,46.18,46.38,1099942
2016-10-12,46.32,46.32,45.8,45.91,944647
2016-10-13,45.71,46.17,45.63,45.89,1003389
2016-10-14,46.0,46.02,45.27,45.35,786588
2016-10-17,45.22,45.39,44.76,44.99,744734
2016-10-18,45.4,45.71,45.23,45.38,809128
2016-10-19,45.35,45.45,45.02,45.13,684233
2016-10-20,45.04,45.2,44.6,44.66,569303
2016-10-21,44.59,45.04,44.31,45.0,805859
2016-10-24,45.04,45.55,45.04,45.37,737508
2016-10-25,45.36,45.7,45.24,45.47,761921
2016-10-26,45.37,45.63,45.23,45.47,676663
2016-10-27,45.44,45.74,45.39,45.46,777796
2016-10-28,45.43,46.35,45.43,46.03,953052
2016-10-31,46.01,46.46,45.98,46.17,1159005
2016-11-01,46.16,46.26,45.65,45.77,766099
2016-11-02,45.85,46.21,45.73,46.11,864882
2016-11-03,46.36,46.39,45.79,45.95,1104541
2016-11-04,45.95,46.39,45.94,46.03,892741
2016-11-07,46.48,46.98,46.41,46.95,963364
2016-11-08,46.88,47.2,46.86,47.04,856945
2016-11-09,45.89,45.99,45.3,45.63,973026
2016-11-10,45.36,45.57,44.4,45.29,1569930
2016-11-11,45.29,45.53,44.89,45.34,624666
2016-11-14,45.08,45.38,44.93,45.27,1194573
2016-11-15,45.19,45.59,44.9,45.56,900826
2016-11-16,45.57,45.93,45.31,45.5,667164
2016-11-17,45.41,45.99,45.32,45.89,759348
2016-11-18,45.9,46.39,45.78,45.83,974743
2016-11-21,45.95,46.99,45.95,46.65,949054
2016-11-22,46.78,46.84,46.34,46.56,947847
2016-11-23,46.48,46.79,45.61,45.82,924517
2016-11-25,46.14,46.68,45.91,46.68,633441
2016-11-28,46.68,46.93,46.44,46.69,883711
2016-11-29,46.85,47.07,46.72,46.93,907330
2016-11-30,46.69,46.82,45.32,45.35,1336002
2016-12-01,45.43,45.55,44.5,44.6,1344989
2016-12-02,44.64,45.19,44.62,45.03,1020708
2016-12-05,44.98,45.27,44.89,45.08,1214709
2016-12-06,44.93,45.22,44.52,44.95,1217306
2016-12-07,44.01,44.85,43.82,44.36,1997463
2016-12-08,44.06,45.67,43.98,45.64,1646588
2016-12-09,45.54,46.61,45.48,45.87,1020171
2016-12-12,45.6,45.81,45.09,45.41,1161267
2016-12-13,45.74,45.93,45.32,45.56,897132
2016-12-14,45.68,45.82,44.71,44.75,2014487
2016-12-15,44.69,45.17,44.47,45.14,1070670
2016-12-16,45.3,45.63,45.12,45.36,2093084
2016-12-19,45.2,45.51,45.03,45.45,649165
2016-12-20,45.51,45.51,45.11,45.34,690091
2016-12-21,45.28,45.69,45.28,45.34,590192
2016-12-22,44.94,45.24,44.38,44.95,790341
2016-12-23,45.0,45.17,44.8,44.83,426197
2016-12-27,44.85,45.12,44.85,44.99,370077
2016-12-28,44.98,45.22,44.85,44.85,435367
2016-12-29,44.92,45.23,44.76,45.13,425412
2016-12-30,45.25,45.31,44.77,44.92,544251
2017-01-03,45.16,45.31,44.74,45.08,1010202
2017-01-04,45.44,45.86,45.21,45.58,911129
2017-01-05,45.28,45.63,44.85,45.28,802323
2017-01-06,45.02,45.22,44.9,45.06,806235
2017-01-09,44.9,45.04,44.74,44.75,628028
2017-01-10,44.63,44.76,44.29,44.57,706902
2017-01-11,44.45,44.81,44.25,44.35,716891
2017-01-12,44.3,44.57,43.78,44.17,1013249
2017-01-13,44.16,44.18,43.72,43.96,766280
2017-01-17,44.0,44.86,43.96,44.46,834549
2017-01-18,44.48,44.81,44.43,44.77,750963
2017-01-19,44.69,44.9,44.43,44.61,628657
2017-01-20,44.71,45.03,44.61,45.02,919508
