Date,Open,High,Low,Close,Volume
2016-10-04,360.5,361.52,355.26,356.03,711532
2016-10-05,357.63,359.72,355.67,358.24,705789
2016-10-06,358.25,359.23,356.04,356.8,707818
2016-10-07,356.99,358.6,355.5,357.21,789321
2016-10-10,360.01,362.0,357.98,358.8,461423
2016-10-11,357.26,357.26,350.39,351.87,557318
2016-10-12,352.47,353.97,350.39,351.1,500433
2016-10-13,348.52,350.94,344.42,349.34,576439
2016-10-14,354.8,357.27,350.78,354.91,790278
2016-10-17,355.42,356.97,352.95,354.6,624239
2016-10-18,355.5,359.67,355.44,356.59,704718
2016-10-19,356.74,357.18,352.72,352.72,813723
2016-10-20,352.61,354.71,348.78,349.17,1139050
2016-10-21,345.43,347.63,344.41,345.55,906905
2016-10-24,349.32,349.4,342.38,343.14,987940
2016-10-25,342.09,344.43,341.34,341.54,790381
2016-10-26,340.18,341.0,336.84,340.15,1149806
2016-10-27,341.63,342.57,337.15,340.28,703485
2016-10-28,341.75,342.45,337.77,339.69,614011
2016-10-31,341.49,343.14,339.02,341.24,809108
2016-11-01,343.36,343.42,338.53,340.96,796002
2016-11-02,340.86,341.72,337.43,338.61,668001
2016-11-03,339.47,343.11,338.71,341.14,714039
2016-11-04,341.36,348.72,339.9,345.8,1034794
2016-11-07,352.04,358.93,351.97,357.64,1080253
2016-11-08,356.04,356.84,351.95,353.49,777336
2016-11-09,352.92,365.94,349.04,364.42,1107351
2016-11-10,368.84,380.3,367.11,375.01,1442262
2016-11-11,371.85,373.95,367.79,371.19,660012
2016-11-14,373.78,375.44,369.79,373.81,772904
2016-11-15,373.82,374.22,367.51,372.15,1096757
2016-11-16,369.48,372.3,367.39,367.45,658965
2016-11-17,368.45,372.15,367.07,371.37,567167
2016-11-18,371.22,375.2,370.55,372.78,468931
2016-11-21,374.44,375.08,372.1,374.57,375640
2016-11-22,375.12,376.05,371.4,373.06,529095
2016-11-23,372.38,373.77,370.5,372.99,517837
2016-11-25,373.03,374.12,371.11,373.67,227062
2016-11-28,370.98,372.8,368.21,368.65,501797
2016-11-29,369.13,370.97,366.22,368.55,694626
2016-11-30,372.57,372.93,368.61,370.79,621879
2016-12-01,373.81,381.24,371.65,377.2,930236
2016-12-02,377.21,377.46,369.4,371.36,569010
2016-12-05,374.33,376.72,371.54,374.35,589242
2016-12-06,375.34,375.38,371.4,373.97,644176
2016-12-07,374.42,380.44,373.77,379.81,503808
2016-12-08,380.02,392.05,377.64,390.33,1115159
2016-12-09,391.9,391.95,386.2,388.54,934898
2016-12-12,394.28,396.64,385.26,390.28,1460881
2016-12-13,391.28,395.04,389.13,392.64,906956
2016-12-14,391.22,396.91,388.81,390.0,942688
2016-12-15,391.52,394.7,388.81,393.75,630221
2016-12-16,395.23,396.4,391.0,392.62,1023375
2016-12-19,392.25,393.55,389.0,389.77,812185
2016-12-20,392.41,399.46,392.22,398.45,716418
2016-12-21,398.82,399.09,392.21,393.53,672197
2016-12-22,390.26,390.26,385.33,387.12,863153
2016-12-23,387.12,388.84,384.35,385.74,579765
2016-12-27,388.01,388.58,385.62,387.49,285646
2016-12-28,388.38,388.74,380.71,381.03,506110
2016-12-29,381.34,384.19,378.92,379.0,485336
2016-12-30,381.56,382.35,378.64,380.54,515629
2017-01-03,384.62,387.95,382.28,386.43,743947
2017-01-04,384.65,386.97,383.16,386.66,680837
2017-01-05,384.98,386.7,380.08,382.54,468371
2017-01-06,383.57,385.47,381.43,384.3,453419
2017-01-09,384.35,385.43,380.01,380.42,505259
2017-01-10,381.78,382.28,378.55,380.31,452775
2017-01-11,379.67,382.47,377.1,380.95,948840
2017-01-12,379.62,379.87,372.21,378.29,777350
2017-01-13,378.69,386.95,375.95,379.35,620408
2017-01-17,377.1,377.1,373.34,374.8,647529
2017-01-18,376.16,378.04,373.39,378.0,508507
2017-01-19,377.67,379.7,376.1,377.35,456077
2017-01-20,379.28,381.63,378.83,381.4,660866
2017-01-23,381.34,381.34,376.03,378.06,503297
2017-01-24,380.1,383.39,378.54,381.38,615129
2017-01-25,384.98,388.82,383.89,388.33,596960
2017-01-26,382.55,388.28,378.41,379.42,837096
2017-01-27,380.45,381.37,372.9,375.06,686848
2017-01-30,374.81,375.53,370.7,375.18,591815
2017-01-31,374.69,375.27,372.2,373.98,714556
2017-02-01,375.21,378.11,370.87,373.0,619442
2017-02-02,366.45,372.45,365.83,371.64,832437
2017-02-03,372.0,378.64,371.57,378.0,953646
2017-02-06,374.55,378.83,374.55,377.42,546494
2017-02-07,377.63,379.0,376.52,376.89,547663
