Date,Open,High,Low,Close,Volume
2016-10-04,47.53,47.89,47.34,47.49,3997248
2016-10-05,47.45,47.65,47.12,47.15,4037673
2016-10-06,46.96,47.25,46.86,47.12,2323749
2016-10-07,47.2,47.22,46.61,46.83,2930359
2016-10-10,47.03,47.49,47.0,47.38,1837757
2016-10-11,47.38,47.5,46.86,46.98,2313067
2016-10-12,47.03,47.37,47.02,47.22,2214638
2016-10-13,46.99,47.05,46.49,46.92,1942269
2016-10-14,47.66,47.8,47.31,47.55,3231043
2016-10-17,47.59,47.64,47.42,47.5,1964849
2016-10-18,47.89,48.81,47.64,48.38,4202054
2016-10-19,48.4,48.59,47.44,47.85,3644546
2016-10-20,47.82,47.87,47.22,47.48,2761850
2016-10-21,47.28,48.58,47.0,48.01,4740614
2016-10-24,48.2,48.29,47.64,47.69,1960918
2016-10-25,47.74,48.04,47.68,47.84,1693793
2016-10-26,47.86,48.12,47.7,48.05,2208708
2016-10-27,47.73,47.87,47.42,47.46,1754995
2016-10-28,47.46,48.25,47.46,48.09,2360239
2016-10-31,48.03,48.42,47.99,48.18,2244869
2016-11-01,48.16,48.21,47.44,47.59,2501019
2016-11-02,47.64,47.87,47.4,47.63,2217801
2016-11-03,47.76,47.88,46.97,47.08,2345967
2016-11-04,47.11,47.31,46.55,46.56,1807759
2016-11-07,47.0,48.08,47.0,48.06,2644482
2016-11-08,47.93,48.86,47.93,48.68,4110066
2016-11-09,47.33,47.94,46.73,47.84,3039131
2016-11-10,36.93,37.36,33.73,34.3,12061900
2016-11-11,34.22,35.07,33.61,34.93,9027885
2016-11-14,34.9,35.79,34.82,35.49,7192036
2016-11-15,35.54,36.0,35.48,35.82,4426146
2016-11-16,35.86,36.37,35.86,36.27,4167677
2016-11-17,36.22,36.56,35.93,36.52,3199298
2016-11-18,36.49,36.82,36.36,36.8,5240429
2016-11-21,36.64,37.19,36.62,37.04,4294243
2016-11-22,37.17,37.67,37.15,37.55,3594303
2016-11-23,37.44,37.68,37.07,37.17,3240494
2016-11-25,37.21,37.72,37.21,37.71,1466645
2016-11-28,37.71,37.94,37.46,37.66,2546973
2016-11-29,37.7,37.95,37.56,37.72,3840386
2016-11-30,37.34,37.57,36.66,36.69,4139537
2016-12-01,36.38,36.61,35.96,36.47,3842143
2016-12-02,36.68,37.13,36.59,36.89,2924088
2016-12-05,36.92,37.28,36.81,37.15,2891874
2016-12-06,37.21,37.66,37.05,37.62,3352795
2016-12-07,37.55,38.01,37.49,37.79,3669294
2016-12-08,37.57,38.0,37.57,37.68,2318801
2016-12-09,37.77,38.54,37.44,38.44,4500267
2016-12-12,38.42,38.74,38.12,38.62,2264664
2016-12-13,38.64,38.93,38.36,38.41,2896961
2016-12-14,38.49,38.64,37.58,37.74,4613565
2016-12-15,37.8,38.52,37.67,38.42,4397635
2016-12-16,38.45,38.83,38.25,38.41,4293422
2016-12-19,38.66,38.84,38.25,38.36,3402344
2016-12-20,38.02,38.35,37.72,38.23,2736736
2016-12-21,38.11,38.41,37.93,38.0,3789260
2016-12-22,38.36,39.43,38.24,39.29,5734764
2016-12-23,39.22,39.87,39.21,39.77,2924982
2016-12-27,39.84,39.97,39.69,39.85,1601017
2016-12-28,39.83,39.93,38.74,39.54,1998701
2016-12-29,39.69,39.96,39.65,39.78,2385103
2016-12-30,39.85,39.85,39.48,39.55,2521327
2017-01-03,39.71,39.91,39.4,39.76,2608086
2017-01-04,39.8,39.88,38.89,39.09,4066026
2017-01-05,39.15,39.44,38.88,38.95,4367157
2017-01-06,38.83,38.99,38.73,38.74,3341213
2017-01-09,38.61,38.78,38.38,38.44,3046642
2017-01-10,38.39,38.57,38.16,38.29,2541606
2017-01-11,38.66,38.73,38.27,38.64,2568522
2017-01-12,38.53,38.87,38.31,38.51,2431215
2017-01-13,38.6,38.81,38.39,38.51,2237059
2017-01-17,38.5,38.67,38.34,38.61,3085670
2017-01-18,38.66,39.01,38.55,38.72,2607474
2017-01-19,38.7,38.86,38.58,38.69,2670636
2017-01-20,38.85,39.27,38.75,39.13,3572937
2017-01-23,39.04,39.27,38.8,38.89,4011260
2017-01-24,38.88,39.3,38.8,39.21,2190010
2017-01-25,39.25,39.64,39.18,39.22,2873767
2017-01-26,38.99,39.21,38.84,38.95,2147017
2017-01-27,39.03,39.12,38.77,38.99,1746568
2017-01-30,38.95,39.09,38.76,39.02,2104263
2017-01-31,38.72,39.15,38.72,39.09,2659368
2017-02-01,38.97,39.14,38.77,38.94,2922234
2017-02-02,39.07,39.44,39.0,39.24,2166552
2017-02-03,39.48,39.54,39.16,39.37,1757718
2017-02-06,39.44,39.47,39.13,39.23,2448747
2017-02-07,39.22,39.57,39.16,39.54,2892454
2017-02-08,39.56,39.61,39.26,39.52,2615662
2017-02-09,39.56,40.0,39.43,39.73,4269579
2017-02-10,39.69,39.99,39.27,39.84,1676822
2017-02-13,39.81,39.93,39.54,39.76,2259619
2017-02-14,39.61,39.9,39.52,39.79,1828523
2017-02-15,39.8,40.12,39.55,39.94,4632796
2017-02-16,39.96,40.29,39.74,39.93,2717443
2017-02-17,39.52,39.77,39.23,39.61,4081471
2017-02-21,39.7,40.5,39.65,40.2,5347403
2017-02-22,40.21,40.78,40.05,40.48,2689232
2017-02-23,40.49,40.74,40.36,40.5,2809682
2017-02-24,40.47,41.19,40.45,41.16,3342788
2017-02-27,41.0,41.03,40.8,40.89,3451988
2017-02-28,40.92,41.39,40.9,41.21,4935576
2017-03-01,41.36,41.68,41.18,41.21,3913022
2017-03-02,41.18,41.27,40.85,41.07,4585738
2017-03-03,41.02,41.2,40.93,41.15,2872236
2017-03-06,40.91,41.31,40.85,41.25,2271377
2017-03-07,41.13,41.31,40.72,40.75,3952519
2017-03-08,40.75,40.9,40.23,40.31,5106656
2017-03-09,40.39,40.69,40.2,40.57,4586666
2017-03-10,40.8,41.09,40.78,40.91,3101595
2017-03-13,40.82,41.04,40.78,41.02,2084597
2017-03-14,41.02,41.29,40.98,41.24,2189104
2017-03-15,41.09,41.65,40.91,41.5,3479445
2017-03-16,41.41,41.54,41.26,41.48,2645573
2017-03-17,41.42,41.63,41.34,41.42,3963939
2017-03-20,41.41,41.42,40.82,40.82,3835205
2017-03-21,40.39,41.09,40.23,40.79,5235442
2017-03-22,40.86,40.95,40.32,40.48,4049456
2017-03-23,40.81,41.29,40.32,40.35,4566438
2017-03-24,40.49,40.84,40.3,40.47,3503170
2017-03-27,40.33,40.56,40.04,40.14,3891175
2017-03-28,40.16,40.4,40.01,40.2,3278657
2017-03-29,40.19,40.73,40.17,40.59,3622270
2017-03-30,40.58,40.59,40.22,40.28,2237407
2017-03-31,40.39,40.61,40.33,40.34,2391969
2017-04-03,40.41,40.65,40.31,40.35,2276229
2017-04-04,40.31,40.43,40.08,40.22,2000586
2017-04-05,40.13,40.7,40.13,40.4,2316527
2017-04-06,40.39,40.64,40.25,40.48,2410708
2017-04-07,40.44,40.58,40.35,40.49,2446023
2017-04-10,40.48,40.69,40.41,40.57,2763382
2017-04-11,40.5,40.58,40.36,40.5,2162898
2017-04-12,40.37,40.71,40.31,40.62,2703615
2017-04-13,40.57,40.64,40.32,40.32,2399983
2017-04-17,40.36,40.46,40.23,40.46,1742256
