Date,Open,High,Low,Close,Volume
2016-10-04,88.5,88.95,87.18,87.51,4743263
2016-10-05,88.12,89.87,88.04,89.42,5189453
2016-10-06,88.96,89.66,88.71,89.29,3786939
2016-10-07,89.52,89.74,87.94,88.47,3774152
2016-10-10,89.1,89.5,88.14,88.22,3785658
2016-10-11,89.1,89.32,87.26,87.47,6471919
2016-10-12,87.5,87.75,87.02,87.58,3949984
2016-10-13,86.9,87.07,86.26,86.97,5676991
2016-10-14,87.83,88.42,87.56,87.67,3601023
2016-10-17,87.38,87.72,86.9,87.29,4479743
2016-10-18,88.11,88.2,86.77,87.22,3715717
2016-10-19,87.31,88.28,86.86,88.0,5943908
2016-10-20,87.06,87.27,86.23,86.63,4576568
2016-10-21,85.73,86.62,85.36,86.33,3592524
2016-10-24,86.12,87.13,85.54,85.99,5096454
2016-10-25,85.86,87.65,83.88,84.48,11639239
2016-10-26,83.81,84.39,82.88,84.13,6582085
2016-10-27,84.28,84.34,82.71,83.01,5003224
2016-10-28,83.32,84.17,83.0,83.88,4974567
2016-10-31,84.19,84.38,83.41,83.46,4679376
2016-11-01,83.47,83.65,81.65,82.24,5139628
2016-11-02,82.15,82.15,80.33,81.11,5228562
2016-11-03,81.64,81.67,80.68,81.27,3859001
2016-11-04,81.34,82.9,80.59,82.31,5745833
2016-11-07,83.74,84.16,82.97,83.75,3786427
2016-11-08,83.77,85.0,83.06,84.68,3407727
2016-11-09,89.78,93.2,89.36,91.2,19281888
2016-11-10,92.04,94.95,91.84,93.45,14174371
2016-11-11,93.39,94.34,91.82,93.01,7369906
2016-11-14,93.25,95.5,93.02,94.17,7552789
2016-11-15,93.46,94.46,92.64,94.44,4645386
2016-11-16,93.77,94.4,92.84,93.35,3297156
2016-11-17,93.5,93.5,92.4,92.78,3939078
2016-11-18,93.01,93.4,91.9,92.34,4715937
2016-11-21,93.13,93.85,92.78,92.9,3783223
2016-11-22,93.4,93.71,92.8,93.62,3172772
2016-11-23,94.81,96.42,94.22,96.18,6571098
2016-11-25,95.96,96.44,95.21,95.81,2006880
2016-11-28,95.51,95.86,94.47,94.9,4916004
2016-11-29,94.0,94.57,93.63,94.04,3806021
2016-11-30,95.75,95.9,94.35,95.56,4641863
2016-12-01,96.0,97.39,94.05,96.24,9361618
2016-12-02,95.36,96.15,94.93,95.14,5038257
2016-12-05,95.87,95.99,94.15,94.45,4980335
2016-12-06,94.1,95.31,94.07,95.22,3663143
