Date,Open,High,Low,Close,Volume
2016-10-04,93.59,93.59,90.54,90.86,3191356
2016-10-05,91.23,91.51,88.4,89.06,3829011
2016-10-06,88.9,89.79,88.22,88.84,2303082
2016-10-07,89.14,89.98,87.96,88.3,1617969
2016-10-10,88.31,89.0,88.1,88.7,1029223
2016-10-11,88.61,89.38,88.43,89.0,2321178
2016-10-12,88.83,91.82,88.83,91.45,3352186
2016-10-13,91.35,92.1,91.16,91.82,1888927
2016-10-14,91.94,92.98,91.82,92.03,2141435
2016-10-17,92.28,92.79,91.83,91.99,1347277
2016-10-18,92.49,92.8,91.6,91.82,2325199
2016-10-19,92.15,92.36,90.64,91.71,2302999
2016-10-20,91.72,91.81,90.8,91.54,2425503
2016-10-21,90.59,95.09,90.57,94.92,4441601
2016-10-24,95.54,95.84,94.2,95.14,3932867
2016-10-25,94.93,95.37,93.6,93.94,3137062
2016-10-26,93.42,94.27,92.11,92.53,2419314
2016-10-27,92.7,92.7,90.71,90.78,1803868
2016-10-28,90.97,91.71,90.83,91.22,1588505
2016-10-31,91.7,91.93,90.6,90.99,2559296
2016-11-01,91.33,91.59,89.5,89.94,2975836
2016-11-02,87.94,88.55,87.51,87.9,6492668
2016-11-03,88.14,88.38,87.53,87.67,1992219
2016-11-04,88.02,88.18,87.46,87.81,2655392
2016-11-07,89.09,89.53,88.35,89.04,5054068
2016-11-08,89.23,89.93,89.23,89.8,3664041
2016-11-09,88.5,88.74,85.27,85.73,5479382
2016-11-10,85.47,85.47,82.08,82.9,6994518
2016-11-11,83.03,84.0,81.69,82.25,9705530
2016-11-14,82.63,82.66,79.38,81.99,6627941
2016-11-15,82.17,83.1,81.9,82.79,4978859
2016-11-16,82.9,85.26,82.9,85.09,4909867
2016-11-17,85.01,85.83,84.51,85.11,3432698
2016-11-18,85.1,85.83,84.73,85.0,2357483
2016-11-21,85.21,85.41,84.1,84.55,2532639
2016-11-22,85.1,85.89,84.38,85.42,2218677
2016-11-23,84.91,85.27,83.76,84.16,2116198
2016-11-25,84.23,85.09,84.12,84.77,860687
2016-11-28,84.7,85.33,83.82,84.35,3068301
2016-11-29,84.45,85.54,83.9,85.23,2427529
2016-11-30,85.01,85.07,83.45,83.46,3883508
2016-12-01,83.19,83.33,80.82,81.53,3122691
2016-12-02,82.1,83.13,81.33,81.88,2660452
2016-12-05,81.78,83.28,81.47,83.26,2153533
2016-12-06,84.05,84.66,83.26,83.44,3265090
2016-12-07,83.72,84.85,83.39,84.74,2670127
2016-12-08,84.95,85.37,84.42,85.0,2137439
2016-12-09,85.16,85.65,84.81,85.57,1871292
2016-12-12,85.51,87.4,85.04,86.85,2789341
2016-12-13,87.23,88.1,87.04,87.96,2669936
2016-12-14,87.1,87.45,86.05,86.21,3017986
2016-12-15,86.1,86.6,85.33,85.89,2248017
2016-12-16,86.39,86.5,85.32,85.7,5407323
2016-12-19,85.94,87.46,85.71,87.26,1422179
2016-12-20,87.26,87.76,87.0,87.57,1245117
2016-12-21,87.61,88.25,87.11,87.13,1528108
2016-12-22,87.02,87.5,86.29,87.13,1272257
2016-12-23,87.4,87.81,86.97,87.24,562519
2016-12-27,87.44,87.96,87.2,87.53,790309
2016-12-28,87.69,87.88,86.68,86.77,1115575
2016-12-29,86.99,87.29,86.54,87.01,1681355
2016-12-30,87.13,87.14,86.4,86.77,1633082
2017-01-03,87.25,87.62,86.5,86.8,2472076
2017-01-04,87.07,87.51,87.03,87.32,1939480
2017-01-05,87.24,87.51,86.78,87.24,2400327
2017-01-06,87.24,87.33,85.45,85.5,2568834
2017-01-09,85.61,86.0,84.59,85.73,2141555
2017-01-10,85.53,85.69,83.96,84.36,2220656
2017-01-11,84.45,85.61,84.22,85.2,1645233
2017-01-12,85.11,85.43,84.63,85.18,1379707
2017-01-13,85.2,85.98,85.16,85.68,1270463
2017-01-17,85.63,87.5,85.59,87.36,1816740
2017-01-18,87.39,88.27,87.06,87.2,1318809
2017-01-19,87.06,87.25,85.67,85.8,1782009
2017-01-20,86.11,86.89,86.09,86.82,1842928
2017-01-23,86.9,87.36,86.83,87.06,1424919
2017-01-24,87.13,87.69,86.8,87.66,1885350
2017-01-25,88.03,88.14,86.8,87.18,1797360
2017-01-26,88.06,90.14,87.79,88.01,2120112
2017-01-27,88.16,88.54,86.68,86.85,1497628
2017-01-30,86.94,87.09,86.22,86.76,1390126
2017-01-31,87.35,87.86,86.84,87.83,3073156
2017-02-01,88.28,88.79,86.63,86.65,2286486
2017-02-02,86.71,87.88,86.5,87.77,1777499
2017-02-03,88.34,89.13,88.12,88.74,2090737
2017-02-06,88.72,88.72,86.94,87.04,1711667
2017-02-07,87.29,87.54,86.72,87.42,1093616
2017-02-08,87.5,88.27,87.37,87.66,1116509
2017-02-09,87.73,88.0,87.36,87.78,1052566
2017-02-10,87.53,87.71,86.93,87.56,1229103
2017-02-13,87.94,90.23,87.92,90.22,2225252
2017-02-14,90.03,90.34,89.17,90.25,2041517
2017-02-15,89.62,90.17,89.04,90.04,1717781
2017-02-16,90.1,90.97,90.1,90.5,1559224
2017-02-17,90.55,91.35,88.54,89.23,3408985
2017-02-21,89.21,90.11,88.83,90.0,2552571
2017-02-22,90.35,90.65,89.78,90.58,1865059
2017-02-23,90.9,92.11,90.64,91.26,2489998
2017-02-24,91.0,92.66,90.54,92.59,2147779
2017-02-27,92.66,93.11,91.88,92.57,1558322
2017-02-28,92.51,93.7,92.22,93.53,2294025
2017-03-01,93.43,93.43,91.91,93.01,1942714
2017-03-02,93.15,93.65,92.56,92.69,1416349
2017-03-03,92.45,92.77,90.85,91.75,2546492
2017-03-06,91.59,92.19,91.29,91.96,2135343
2017-03-07,91.9,92.77,91.24,91.5,1408466
2017-03-08,92.23,92.38,90.6,90.61,2164531
2017-03-09,90.73,90.88,90.02,90.51,2210670
2017-03-10,91.05,91.39,89.88,90.28,2127092
2017-03-13,90.41,90.78,90.06,90.6,2523015
2017-03-14,90.34,90.57,89.64,89.65,1838538
2017-03-15,88.86,90.33,88.71,89.92,2882962
2017-03-16,89.92,90.2,89.04,89.62,2528811
2017-03-17,89.6,90.32,89.53,89.8,2597675
2017-03-20,89.8,91.07,89.78,90.89,2404398
2017-03-21,91.18,92.06,90.62,90.7,3294076
2017-03-22,90.97,91.81,90.44,91.72,3937308
2017-03-23,91.66,93.27,91.44,93.0,2405388
2017-03-24,93.09,93.95,92.78,93.68,2232259
2017-03-27,93.48,94.06,93.3,93.96,2740499
2017-03-28,93.99,94.77,93.92,94.58,3497651
2017-03-29,94.63,95.45,94.4,94.54,1883938
2017-03-30,94.54,95.0,94.09,94.62,1384773
2017-03-31,94.25,94.75,93.92,94.45,2118026
2017-04-03,94.44,95.47,93.78,94.23,2128436
2017-04-04,94.22,94.28,93.69,93.83,1900634
2017-04-05,94.01,94.5,93.64,93.69,1609716
2017-04-06,93.6,94.49,93.38,94.38,1982385
2017-04-07,94.42,94.87,93.93,94.5,1324626
2017-04-10,94.54,95.03,94.51,94.98,1231749
2017-04-11,95.15,96.1,95.12,95.82,1860673
2017-04-12,95.5,96.48,95.36,96.45,1857595
2017-04-13,96.4,96.49,95.88,96.0,2056962
2017-04-17,96.43,96.75,95.9,96.3,2387556
2017-04-18,96.21,97.07,95.94,96.79,2008324
2017-04-19,96.87,97.3,96.28,96.52,1976126
2017-04-20,96.58,96.58,95.68,96.04,4264105
2017-04-21,95.83,96.21,95.14,95.53,2207034
2017-04-24,95.95,96.16,94.22,94.71,3261355
2017-04-25,96.73,97.0,93.51,94.27,2857364
2017-04-26,94.2,94.7,93.75,94.5,5034034
2017-04-27,94.85,95.59,94.69,95.02,2593892
2017-04-28,94.87,95.01,94.09,94.6,1821318
2017-05-01,94.88,95.21,94.14,94.69,2033757
2017-05-02,94.76,94.93,94.06,94.35,1960518
2017-05-03,94.64,94.78,93.87,94.07,1579576
2017-05-04,93.78,95.0,93.22,94.78,1672655
2017-05-05,94.87,96.03,94.7,95.92,1527010
2017-05-08,96.06,96.06,94.89,95.36,1663957
2017-05-09,95.37,95.48,94.63,94.95,1261112
2017-05-10,94.87,95.08,94.13,94.71,1446586
2017-05-11,94.53,94.85,94.14,94.42,1044252
2017-05-12,94.07,94.36,93.8,94.06,1383536
2017-05-15,94.15,95.82,93.91,95.73,1930613
2017-05-16,95.95,96.53,95.62,95.93,1578119
2017-05-17,96.42,98.98,96.18,98.12,4158658
2017-05-18,98.1,98.82,96.78,98.65,2280092
2017-05-19,98.83,99.53,98.06,99.44,2195171
2017-05-22,99.44,99.94,98.84,99.91,1887190
2017-05-23,100.01,101.22,99.85,100.78,2043259
2017-05-24,100.98,102.13,100.71,101.17,1883539
2017-05-25,100.69,103.19,100.69,102.78,1569560
2017-05-26,102.87,102.87,101.95,102.81,1821836
2017-05-30,102.75,103.93,102.62,103.52,3048731
2017-05-31,103.71,104.34,101.54,101.65,4980720
2017-06-01,102.01,103.58,101.67,103.45,1982905
2017-06-02,103.97,104.68,103.53,104.59,1848010
2017-06-05,104.32,104.64,103.4,103.46,1303532
2017-06-06,103.52,104.01,103.03,103.16,1219841
2017-06-07,103.36,103.81,102.6,103.21,924615
2017-06-08,103.39,103.56,100.36,101.18,2383511
2017-06-09,101.03,102.82,100.9,102.06,1482470
2017-06-12,100.46,102.47,99.59,102.21,3039002
2017-06-13,102.18,102.95,101.57,102.13,1928321
2017-06-14,101.98,102.99,101.62,101.91,2473282
2017-06-15,101.56,102.26,101.15,101.3,1642901
2017-06-16,101.14,101.95,100.77,101.18,3079377
2017-06-19,101.36,101.47,100.81,101.09,1796895
2017-06-20,101.28,101.51,99.95,100.62,1637616
2017-06-21,99.76,100.1,98.84,99.5,2825163
