Date,Open,High,Low,Close,Volume
2016-10-04,433.09,434.14,425.33,427.27,655556
2016-10-05,427.95,430.96,424.4,427.84,628819
2016-10-06,425.9,428.86,423.1,424.49,564275
2016-10-07,426.08,432.0,425.42,429.91,980473
2016-10-10,433.72,440.0,429.0,437.88,1281567
2016-10-11,437.74,437.74,418.0,423.02,2031257
2016-10-12,423.22,425.0,417.09,418.52,712979
2016-10-13,414.11,416.0,408.25,409.81,869874
2016-10-14,411.15,414.95,403.16,404.14,974281
2016-10-17,401.05,401.92,393.0,394.35,1244549
2016-10-18,395.7,398.0,389.1,393.96,1180670
2016-10-19,394.39,406.83,394.39,405.25,916877
2016-10-20,403.79,410.36,402.0,405.1,765179
2016-10-21,405.53,415.46,403.38,411.94,1034395
2016-10-24,416.44,417.83,407.93,413.35,1308913
2016-10-25,410.51,417.61,403.78,405.67,2218517
2016-10-26,387.24,388.85,362.82,368.02,6291276
2016-10-27,369.39,373.45,363.58,368.59,1936101
2016-10-28,368.68,373.0,366.19,370.08,1187432
2016-10-31,370.11,372.51,360.15,360.76,1264481
2016-11-01,360.28,364.78,352.96,359.92,1416781
2016-11-02,361.58,370.6,358.63,369.63,1600826
2016-11-03,367.32,376.73,366.51,374.71,1356830
2016-11-04,374.59,379.0,369.76,370.43,1015493
2016-11-07,377.05,386.79,373.67,382.49,1491750
2016-11-08,379.94,381.02,370.79,378.54,1318465
2016-11-09,371.5,380.99,368.9,369.52,2006935
2016-11-10,372.55,396.82,372.4,391.83,2187877
2016-11-11,390.35,398.95,388.13,397.08,1146396
2016-11-14,398.56,419.3,397.63,414.18,1869860
2016-11-15,412.99,413.2,397.92,400.0,1230102
2016-11-16,399.0,408.49,397.14,402.9,985154
2016-11-17,395.7,407.84,394.11,402.9,1118698
2016-11-18,407.37,417.37,400.71,411.8,1500654
2016-11-21,410.59,413.5,407.36,412.38,815113
2016-11-22,409.66,411.54,401.65,405.99,877167
2016-11-23,406.0,414.74,404.7,410.41,617200
2016-11-25,410.93,412.8,405.06,410.28,355646
2016-11-28,406.99,409.88,399.28,399.39,838756
2016-11-29,399.9,402.96,394.69,395.11,758016
2016-11-30,396.2,402.86,395.64,396.33,905136
2016-12-01,396.99,406.88,396.94,402.38,926609
2016-12-02,399.84,408.25,398.4,400.03,839346
2016-12-05,400.02,410.83,395.4,396.27,1128907
2016-12-06,379.92,381.77,362.55,366.37,4936986
2016-12-07,368.75,369.95,362.45,368.06,1600270
2016-12-08,368.15,375.23,366.49,369.06,1354234
2016-12-09,369.03,371.6,366.07,370.0,1286670
2016-12-12,375.31,384.52,374.25,382.48,2101789
2016-12-13,379.0,381.0,375.0,377.22,1127288
2016-12-14,376.83,385.2,374.0,375.7,1198801
2016-12-15,376.0,385.79,375.05,382.35,1117929
2016-12-16,383.05,394.88,383.05,392.07,1375953
2016-12-19,390.54,395.9,389.0,389.5,673329
2016-12-20,390.51,392.91,387.26,389.47,624335
2016-12-21,389.0,394.91,388.25,393.5,814613
2016-12-22,393.89,396.45,390.23,391.16,826116
2016-12-23,390.79,394.28,388.59,389.77,483199
2016-12-27,388.52,392.33,388.02,388.75,557812
2016-12-28,389.6,390.88,385.16,385.37,504863
2016-12-29,385.57,387.0,375.13,376.61,894298
2016-12-30,376.52,382.49,375.16,377.32,890470
2017-01-03,379.11,380.38,374.08,374.77,868896
2017-01-04,374.91,383.9,372.87,381.86,984463
2017-01-05,382.62,392.67,379.05,391.89,1316727
2017-01-06,391.5,399.8,390.36,398.44,1149646
2017-01-09,398.7,399.25,392.11,395.06,793405
2017-01-10,412.64,420.23,408.2,414.48,3214128
2017-01-11,412.85,418.32,410.35,413.93,1273917
2017-01-12,411.63,414.0,407.8,409.35,850428
2017-01-13,409.93,413.95,409.01,410.75,572714
2017-01-17,406.41,411.87,404.41,405.87,833798
2017-01-18,407.35,411.0,399.03,409.74,823846
2017-01-19,409.7,410.95,406.0,408.87,503020
2017-01-20,408.91,409.98,404.81,405.2,581311
2017-01-23,405.71,409.26,402.01,407.72,632364
2017-01-24,407.72,419.57,405.78,417.88,687911
2017-01-25,419.0,425.61,418.57,419.54,732060
2017-01-26,421.0,425.1,417.5,418.73,470457
