Date,Open,High,Low,Close,Volume
2016-10-04,26.95,27.18,26.84,26.93,908664
2016-10-05,27.11,27.21,26.59,26.61,1092162
2016-10-06,26.48,26.89,26.42,26.62,886486
2016-10-07,26.72,26.77,26.1,26.23,637361
2016-10-10,26.31,26.53,26.27,26.41,447140
2016-10-11,26.31,26.36,25.9,26.05,626893
2016-10-12,26.12,26.19,25.93,25.94,688181
2016-10-13,25.71,26.07,25.68,25.93,424457
2016-10-14,26.01,26.36,25.77,26.19,709624
2016-10-17,26.3,26.36,25.86,25.89,621523
2016-10-18,26.12,26.32,25.96,26.13,348884
2016-10-19,26.23,26.42,25.93,26.33,841510
2016-10-20,26.31,26.36,25.87,26.2,657145
2016-10-21,26.08,26.29,26.07,26.21,621137
2016-10-24,26.33,26.51,26.06,26.12,485089
2016-10-25,26.02,26.16,25.55,25.56,864211
2016-10-26,25.32,25.72,25.21,25.3,963209
2016-10-27,25.4,25.48,24.48,24.61,1429478
2016-10-28,24.62,25.1,24.51,24.95,1178265
2016-10-31,24.98,25.21,24.85,25.09,1300029
2016-11-01,25.17,25.45,25.08,25.33,1370693
2016-11-02,25.32,25.65,25.32,25.56,1246267
2016-11-03,25.56,25.89,25.44,25.81,1017609
2016-11-04,25.85,26.1,25.74,25.77,1179538
2016-11-07,26.19,26.4,26.0,26.34,1575600
2016-11-08,26.35,26.78,26.18,26.45,1614852
2016-11-09,25.96,27.86,25.72,27.39,2763100
2016-11-10,28.74,30.23,27.91,29.95,5020282
2016-11-11,29.98,30.48,29.7,30.42,3195226
2016-11-14,30.44,32.02,30.39,31.95,4562539
2016-11-15,31.97,32.49,31.3,31.42,2425167
2016-11-16,31.24,31.5,31.12,31.44,1132062
2016-11-17,31.46,32.2,31.41,32.08,1434607
2016-11-18,32.17,32.47,31.64,31.67,1873724
2016-11-21,31.09,31.46,30.77,31.31,2606740
2016-11-22,31.42,32.02,31.35,31.75,2030071
2016-11-23,31.69,32.01,31.6,31.73,2363920
2016-11-25,31.8,32.01,31.66,31.93,400260
2016-11-28,31.91,32.06,31.61,31.83,1873493
2016-11-29,31.94,32.82,31.66,32.45,1568855
2016-11-30,32.29,32.48,31.89,32.01,1404245
2016-12-01,32.04,32.13,31.72,31.85,1824301
2016-12-02,31.86,32.14,31.64,31.83,900380
2016-12-05,32.08,32.38,31.95,32.06,1129302
2016-12-06,32.18,32.38,31.7,32.2,1205124
2016-12-07,32.2,32.29,32.0,32.03,1875911
2016-12-08,32.13,32.78,32.04,32.61,1885812
2016-12-09,32.47,32.84,32.24,32.7,1490696
2016-12-12,32.68,32.78,31.48,31.65,1928192
2016-12-13,31.9,31.98,31.51,31.66,931102
2016-12-14,31.64,32.04,31.36,31.42,1507141
2016-12-15,31.44,31.83,31.29,31.49,1205753
2016-12-16,31.53,31.92,31.45,31.68,2125793
2016-12-19,31.64,32.52,31.6,32.33,1223508
2016-12-20,32.32,32.39,32.09,32.27,652420
2016-12-21,32.13,32.16,31.9,32.0,587588
2016-12-22,31.97,32.09,31.6,31.87,1131138
2016-12-23,31.93,31.93,31.52,31.89,371371
2016-12-27,31.94,32.11,31.92,32.02,892466
2016-12-28,31.98,32.22,31.57,31.69,816807
