Date,Open,High,Low,Close,Volume
2016-10-04,42.42,42.45,41.82,42.06,1858530
2016-10-05,42.28,42.68,42.01,42.48,1428818
2016-10-06,42.53,42.67,42.1,42.46,1145644
2016-10-07,42.5,42.56,41.84,42.15,943612
2016-10-10,42.42,42.85,42.28,42.35,1183058
2016-10-11,42.28,42.37,41.22,41.54,2612054
2016-10-12,41.6,42.0,41.42,41.66,1784546
2016-10-13,41.43,42.04,40.68,41.7,4479084
2016-10-14,41.96,42.32,41.72,41.82,3619250
2016-10-17,41.9,42.16,41.55,41.58,2202064
2016-10-18,42.1,42.8,42.0,42.66,3794714
2016-10-19,42.72,43.46,42.56,43.15,5034190
2016-10-20,44.82,44.92,43.06,43.17,7902492
2016-10-21,43.04,43.46,42.5,42.6,6087834
2016-10-24,43.0,43.36,42.89,43.08,4534792
2016-10-25,42.96,43.15,42.37,42.45,2542142
2016-10-26,42.46,42.81,41.93,41.95,1913876
2016-10-27,42.32,42.5,41.55,41.68,2123930
2016-10-28,41.7,42.6,41.69,42.26,3573552
2016-10-31,42.46,42.6,42.16,42.4,3402128
2016-11-01,42.58,42.7,42.08,42.5,2744212
2016-11-02,42.48,42.57,41.81,41.9,2404668
2016-11-03,42.08,42.2,41.7,41.72,1619436
2016-11-04,41.5,42.04,41.5,41.62,1498724
2016-11-07,42.41,42.9,42.14,42.76,1948368
2016-11-08,42.75,42.88,42.41,42.62,1314782
2016-11-09,41.73,43.08,41.16,42.98,2368334
2016-11-10,43.1,43.78,42.21,43.36,2904066
2016-11-11,43.2,43.3,42.58,42.78,2993270
2016-11-14,42.94,43.21,41.62,41.77,2485640
2016-11-15,41.96,43.1,41.84,43.02,2409782
2016-11-16,42.86,43.37,42.56,43.34,2180300
2016-11-17,43.28,44.1,42.95,43.99,2146668
2016-11-18,44.06,44.19,43.36,43.41,1949762
2016-11-21,43.6,44.08,43.51,43.99,1306116
2016-11-22,44.08,44.24,43.78,44.21,1171824
2016-11-23,44.04,44.18,43.42,43.84,2130704
2016-11-25,44.02,44.19,43.8,44.16,893934
2016-11-28,43.98,44.28,43.71,43.73,2078876
2016-11-29,43.66,44.27,43.66,43.97,1843478
2016-11-30,43.96,44.16,43.24,43.36,2395454
2016-12-01,43.25,43.68,42.49,42.74,2712120
2016-12-02,42.67,42.83,42.22,42.81,2400540
2016-12-05,43.3,44.54,43.02,44.5,3920822
2016-12-06,44.46,44.46,43.72,43.81,3019346
2016-12-07,43.8,44.56,43.46,44.54,2542378
2016-12-08,44.32,45.12,44.19,45.0,3192346
