Date,Open,High,Low,Close,Volume
2016-10-04,68.6,69.28,67.95,68.05,5178148
2016-10-05,68.0,68.33,66.5,66.97,4304766
2016-10-06,67.0,69.11,66.88,69.05,4248019
2016-10-07,69.28,69.86,69.07,69.66,3844324
2016-10-10,69.71,70.0,68.9,69.41,2914490
2016-10-11,69.43,69.45,68.21,68.7,3161559
2016-10-12,68.83,69.38,68.6,69.06,2210037
2016-10-13,68.95,69.74,68.49,69.35,2402851
2016-10-14,69.25,69.49,68.93,68.98,1761745
2016-10-17,69.32,69.54,68.28,68.49,2489937
2016-10-18,68.89,69.07,68.58,68.69,1314710
2016-10-19,68.8,69.0,68.35,68.7,1546872
2016-10-20,68.88,68.88,67.85,67.98,2497567
2016-10-21,67.68,68.23,67.09,67.93,2588846
2016-10-24,68.28,68.84,68.01,68.27,1888141
2016-10-25,68.09,68.36,67.92,68.17,1772117
2016-10-26,68.41,68.76,68.04,68.27,1533869
2016-10-27,68.47,68.64,67.41,67.45,2503678
2016-10-28,67.57,68.66,67.44,68.34,2089963
2016-10-31,68.41,69.22,68.34,69.09,2876192
2016-11-01,69.04,69.28,68.65,69.05,2738337
2016-11-02,68.85,69.79,68.85,69.6,2647851
2016-11-03,69.79,69.91,68.36,68.53,2980296
2016-11-04,68.57,69.15,68.04,68.53,2350386
2016-11-07,69.13,70.01,69.0,69.77,2142456
2016-11-08,69.83,70.08,68.92,69.72,1978029
2016-11-09,68.64,71.51,68.38,71.5,3273586
2016-11-10,71.75,74.6,71.73,74.38,6958964
2016-11-11,74.4,75.45,73.89,74.7,4009432
2016-11-14,75.0,76.9,74.98,76.66,4564067
2016-11-15,76.59,77.1,75.75,76.85,4336905
2016-11-16,77.71,77.75,76.48,76.64,2850519
2016-11-17,76.49,76.99,75.94,76.91,3201055
2016-11-18,76.79,77.11,76.18,76.87,3002736
2016-11-21,76.5,76.86,76.03,76.74,3173631
2016-11-22,77.51,80.0,77.51,79.3,4842501
2016-11-23,79.46,80.33,79.22,79.71,2452458
2016-11-25,80.15,80.67,79.73,80.06,1408662
2016-11-28,79.77,80.52,78.38,78.66,4354060
2016-11-29,78.6,78.83,77.42,78.31,4007257
2016-11-30,77.94,78.54,77.09,77.32,7159176
2016-12-01,72.49,74.16,70.59,73.48,13129293
2016-12-02,72.98,74.79,72.93,74.56,5708359
2016-12-05,74.94,76.45,74.65,76.37,3648827
2016-12-06,76.62,76.62,75.22,75.69,3029816
2016-12-07,75.44,77.12,75.44,77.1,3235375
2016-12-08,77.04,77.38,76.59,76.92,2192347
2016-12-09,76.74,77.53,76.66,77.2,2132907
2016-12-12,76.86,77.12,75.69,76.21,2847990
2016-12-13,76.04,76.92,74.62,75.96,4332205
2016-12-14,76.11,76.55,74.73,75.89,3004145
2016-12-15,76.03,77.18,75.99,77.11,2280133
2016-12-16,77.0,78.01,76.64,77.1,4312136
2016-12-19,76.62,77.11,75.88,75.95,1867290
2016-12-20,76.09,77.66,76.09,77.27,3486101
2016-12-21,77.0,78.06,76.53,77.43,1977652
2016-12-22,77.0,77.16,74.16,74.36,3475212
2016-12-23,74.52,75.21,73.98,74.14,1261133
2016-12-27,74.47,75.1,74.16,74.53,1491805
2016-12-28,74.81,75.0,73.75,74.02,1322336
2016-12-29,73.9,74.43,73.84,74.13,1135250
2016-12-30,74.1,74.44,73.67,74.07,1589389
2017-01-03,74.34,74.42,73.21,74.19,2003594
