Date,Open,High,Low,Close,Volume
2017-09-01,66.66,67.3,65.66,67.18,7341133
2017-09-05,67.02,67.17,64.98,64.98,10832692
2017-09-06,65.2,65.33,64.01,64.87,10345913
2017-09-07,64.6,64.95,64.22,64.68,6382521
2017-09-08,64.9,65.2,64.64,64.85,8099999
2017-09-11,65.25,67.16,65.2,66.85,11567033
2017-09-12,68.2,69.25,67.8,68.52,14631020
2017-09-13,68.9,69.6,68.29,69.5,9223585
2017-09-14,69.6,70.3,69.22,70.02,12264841
2017-09-15,70.26,70.7,69.5,69.86,32382148
2017-09-18,70.0,70.37,69.62,69.77,7193708
2017-09-19,70.02,70.11,69.64,70.05,6713280
2017-09-20,70.28,70.5,69.66,70.41,6812432
2017-09-21,70.41,70.5,70.1,70.32,4450285
2017-09-22,70.14,70.23,69.68,69.96,4078750
2017-09-25,70.07,70.38,69.21,70.34,6419196
2017-09-26,70.26,70.48,69.33,69.35,5244251
2017-09-27,69.52,69.52,68.27,68.8,6648474
2017-09-28,68.44,69.07,67.77,69.06,7885679
2017-09-29,69.0,69.41,68.57,69.23,5746573
2017-10-02,69.4,70.42,69.15,70.42,6029726
