Date,Open,High,Low,Close,Volume
2016-10-04,32.71,33.03,32.42,32.56,6656547
2016-10-05,32.4,32.47,32.08,32.15,8807270
2016-10-06,32.12,32.21,31.86,32.13,5676706
2016-10-07,32.25,32.25,31.04,31.62,10114479
2016-10-10,32.01,32.25,31.89,31.95,9297200
2016-10-11,31.96,31.98,31.14,31.46,9241168
2016-10-12,31.28,31.6,31.28,31.5,6354181
2016-10-13,31.79,31.82,31.08,31.51,10798720
2016-10-14,31.82,32.24,31.6,31.89,14392280
2016-10-17,32.39,32.39,31.38,31.81,11429784
2016-10-18,32.05,32.37,31.57,31.64,12512199
2016-10-19,31.91,32.64,31.72,32.52,23765803
2016-10-20,29.5,29.84,28.75,29.02,52625226
2016-10-21,29.06,29.19,28.6,29.06,24223523
2016-10-24,29.26,29.71,29.15,29.22,16402266
2016-10-25,29.2,29.39,28.94,29.05,10293267
2016-10-26,29.0,29.05,28.77,28.82,8944463
2016-10-27,28.97,29.07,28.63,28.81,11797840
2016-10-28,28.86,29.1,28.47,28.6,10716823
2016-10-31,28.77,28.77,28.44,28.51,8703389
2016-11-01,28.51,28.7,28.09,28.38,8536909
2016-11-02,28.24,28.51,28.11,28.26,8841111
2016-11-03,28.17,28.45,28.02,28.06,6215682
2016-11-04,28.1,28.29,27.94,27.95,7293722
2016-11-07,28.34,28.37,28.08,28.24,9122658
2016-11-08,28.09,28.25,27.63,28.03,14234894
2016-11-09,27.34,28.47,27.33,28.29,11695600
2016-11-10,28.39,28.75,27.82,28.16,12155837
2016-11-11,27.97,28.77,27.95,28.64,9603939
2016-11-14,28.63,28.74,27.86,27.89,12413821
2016-11-15,28.03,28.77,28.03,28.49,9482832
2016-11-16,28.39,28.89,28.31,28.33,10594125
2016-11-17,28.37,28.92,28.35,28.87,8889702
2016-11-18,28.84,28.95,28.56,28.69,11668691
2016-11-21,28.73,29.14,28.67,29.0,7376141
2016-11-22,29.44,29.44,28.93,29.06,7369241
2016-11-23,28.99,29.07,28.65,28.9,6033410
2016-11-25,28.94,28.99,28.75,28.95,3076016
2016-11-28,28.84,28.89,28.53,28.57,7245312
2016-11-29,28.56,28.8,28.5,28.51,7281590
2016-11-30,28.51,28.59,27.8,27.81,13777124
2016-12-01,27.92,28.01,27.28,27.39,9775441
2016-12-02,27.73,28.83,27.69,28.42,14437530
2016-12-05,28.55,28.9,28.32,28.35,10802850
2016-12-06,28.3,28.39,28.03,28.21,10387548
2016-12-07,28.14,28.99,28.14,28.91,10286921
2016-12-08,28.96,29.87,28.91,29.42,12263198
2016-12-09,29.61,30.1,29.42,29.97,13548980
2016-12-12,30.02,30.46,29.84,30.21,14940135
2016-12-13,30.36,30.52,29.81,29.82,11664270
2016-12-14,29.85,30.16,29.64,29.82,9624841
2016-12-15,29.87,29.97,29.65,29.73,10140574
2016-12-16,29.73,29.92,29.56,29.61,14682006
2016-12-19,29.7,29.8,29.32,29.38,7814545
2016-12-20,29.53,29.6,29.01,29.26,11237541
2016-12-21,29.14,29.39,29.09,29.36,8634796
2016-12-22,29.28,29.7,29.21,29.54,8865587
2016-12-23,29.82,29.82,29.42,29.79,8133374
2016-12-27,29.83,30.37,29.81,30.24,7513429
2016-12-28,30.24,30.25,29.93,30.01,8118900
2016-12-29,30.02,30.21,29.83,29.98,7119575
2016-12-30,30.38,30.38,29.57,29.69,8189666
2017-01-03,29.83,30.19,29.64,29.84,7665031
2017-01-04,29.91,30.01,29.51,29.76,9538779
2017-01-05,29.73,30.08,29.61,30.01,9062195
2017-01-06,29.97,31.16,29.78,31.05,13351423
2017-01-09,31.0,31.03,30.6,30.75,10532655
2017-01-10,30.67,30.72,29.84,30.25,13833143
2017-01-11,30.3,30.42,30.01,30.41,8168999
2017-01-12,30.8,30.8,30.1,30.35,7890497
2017-01-13,30.21,30.35,29.84,30.29,7822793
2017-01-17,30.33,30.69,30.11,30.29,7447149
2017-01-18,30.29,30.48,30.14,30.39,9523703
2017-01-19,30.26,30.84,30.19,30.72,14112364
2017-01-20,30.84,30.96,30.52,30.64,8496268
2017-01-23,30.64,30.65,30.06,30.27,9341136
2017-01-24,30.3,30.33,29.7,29.99,16925426
2017-01-25,30.25,30.5,30.11,30.23,25216974
2017-01-26,32.37,32.85,31.54,31.74,32044354
2017-01-27,31.95,32.61,31.36,32.51,17406740
2017-01-30,32.23,32.28,31.8,32.17,11247659
2017-01-31,31.89,32.0,31.53,31.83,9469076
2017-02-01,31.9,32.24,31.83,32.18,9700776
2017-02-02,32.06,32.21,31.86,31.97,6028585
2017-02-03,32.11,32.2,31.91,32.07,5423500
2017-02-06,32.01,32.24,31.86,32.03,5339846
2017-02-07,31.95,32.47,31.8,32.43,8135989
2017-02-08,32.45,33.41,32.28,33.25,17081163
2017-02-09,33.29,33.35,32.98,33.12,10465621
2017-02-10,33.11,33.84,33.06,33.63,13492272
2017-02-13,33.62,34.08,33.56,33.79,10744501
2017-02-14,33.61,33.96,33.57,33.63,7616370
2017-02-15,33.62,34.15,33.5,34.01,7994512
2017-02-16,33.84,34.14,33.46,33.54,8891838
2017-02-17,33.51,33.9,33.47,33.76,7797304
2017-02-21,33.76,34.23,33.76,33.92,7237496
2017-02-22,33.92,34.14,33.63,33.82,7068204
2017-02-23,33.78,33.93,33.54,33.6,6528369
2017-02-24,33.55,34.07,33.38,34.06,8098701
2017-02-27,34.05,34.3,33.82,34.28,7372977
2017-02-28,34.16,34.28,33.89,33.9,8105294
2017-03-01,34.11,34.43,34.1,34.27,5736123
2017-03-02,34.19,34.33,33.74,33.91,4698206
2017-03-03,33.86,33.87,33.39,33.74,6555859
2017-03-06,33.67,33.76,33.28,33.64,7728659
2017-03-07,33.71,33.83,33.4,33.47,6945534
2017-03-08,33.55,33.55,33.17,33.32,7871940
2017-03-09,33.27,33.35,33.02,33.18,5545782
2017-03-10,33.44,33.46,33.06,33.13,4977310
2017-03-13,33.13,33.22,32.74,32.81,10866190
2017-03-14,32.85,32.95,32.58,32.86,6829788
2017-03-15,33.02,33.17,32.56,32.89,9777759
2017-03-16,32.78,33.2,32.77,33.1,6925875
