Date,Open,High,Low,Close,Volume
2016-10-04,88.43,88.46,87.21,87.43,901392
2016-10-05,87.46,88.15,87.34,87.95,1274102
2016-10-06,87.77,88.74,87.7,88.31,1048992
2016-10-07,88.27,88.52,87.26,87.83,763707
2016-10-10,88.22,88.45,87.39,87.53,1246495
2016-10-11,87.34,87.67,87.0,87.28,1361442
2016-10-12,87.52,88.58,87.23,88.18,1376950
2016-10-13,87.37,88.53,87.13,88.15,1227625
2016-10-14,87.49,88.49,87.18,87.33,2200158
2016-10-17,87.2,88.01,87.2,87.54,1300756
2016-10-18,88.0,88.09,87.58,87.67,1107725
2016-10-19,87.6,87.89,87.21,87.6,1185119
2016-10-20,87.42,87.69,86.15,86.3,1729753
2016-10-21,86.09,86.62,85.45,86.51,1527324
2016-10-24,86.44,86.75,86.21,86.63,1616808
2016-10-25,86.74,87.02,86.11,86.18,1254742
2016-10-26,85.89,86.24,85.58,85.76,1488168
2016-10-27,86.12,86.14,85.28,85.92,1035301
2016-10-28,86.13,86.92,86.01,86.41,1419956
2016-10-31,86.51,87.72,86.39,87.13,1763026
2016-11-01,87.35,87.57,85.82,86.3,1980633
2016-11-02,83.27,84.63,81.16,81.6,6825094
2016-11-03,81.31,81.43,79.44,79.57,3706302
2016-11-04,79.6,80.46,79.01,79.02,1907007
2016-11-07,80.07,80.77,79.2,80.56,1683147
2016-11-08,80.45,81.02,80.14,80.31,1959097
2016-11-09,78.9,80.52,77.74,80.39,2496110
2016-11-10,80.16,80.19,78.1,78.21,2854139
2016-11-11,78.02,78.99,77.12,78.36,2290513
2016-11-14,78.33,78.36,77.19,77.6,1971086
2016-11-15,78.17,78.99,77.61,77.75,2839599
2016-11-16,77.63,77.8,76.65,77.01,2254026
2016-11-17,77.48,78.59,76.84,78.11,2316077
2016-11-18,77.86,78.04,77.37,77.41,2023079
2016-11-21,77.77,78.22,77.48,77.82,1330779
2016-11-22,77.9,78.03,77.46,77.73,1685959
2016-11-23,77.61,78.4,77.61,77.78,1212996
2016-11-25,78.0,78.78,78.0,78.65,834686
2016-11-28,78.17,79.3,77.87,78.44,1571728
2016-11-29,78.57,79.04,78.24,78.61,1648151
2016-11-30,78.83,79.63,77.67,77.7,2557583
2016-12-01,77.43,77.56,75.3,75.91,2188532
2016-12-02,76.12,76.72,75.68,75.84,2007407
2016-12-05,76.38,77.62,76.0,77.16,2759689
2016-12-06,77.41,77.6,76.85,77.46,2510010
2016-12-07,77.83,79.01,77.53,78.33,2564515
2016-12-08,78.5,79.32,78.3,79.29,2054587
2016-12-09,79.41,79.84,79.17,79.71,1618871
2016-12-12,79.7,79.71,77.84,78.23,2808802
2016-12-13,78.34,79.28,78.34,78.73,2195126
2016-12-14,78.79,79.37,77.8,77.96,3106928
2016-12-15,77.9,78.54,76.99,77.58,3175896
2016-12-16,76.98,77.49,76.03,76.13,4157031
2016-12-19,76.57,76.81,75.83,76.28,2437650
2016-12-20,76.74,77.65,76.4,77.63,2225963
2016-12-21,77.55,78.3,77.38,78.12,1972220
2016-12-22,78.38,78.92,77.8,78.78,2302755
2016-12-23,78.8,78.84,78.34,78.38,1289670
2016-12-27,78.33,78.52,78.0,78.23,1123724
2016-12-28,78.09,78.27,77.18,77.22,1221368
2016-12-29,77.53,77.88,77.04,77.27,852920
2016-12-30,77.31,77.47,76.28,76.49,1237427
2017-01-03,77.26,77.97,76.92,77.33,2075916
2017-01-04,77.53,78.99,77.5,78.7,1550507
2017-01-05,78.19,78.69,77.56,78.6,1587515
2017-01-06,78.64,79.5,78.3,79.16,1634591
2017-01-09,78.8,79.0,78.11,78.24,1397164
