Date,Open,High,Low,Close,Volume
2016-10-04,73.71,73.95,72.18,72.43,1132751
2016-10-05,72.76,73.08,72.1,72.87,1274749
2016-10-06,73.25,73.87,72.59,72.86,871482
2016-10-07,73.17,73.41,72.31,72.35,1260162
2016-10-10,72.83,73.59,72.65,72.95,1059911
2016-10-11,72.5,72.86,70.6,71.05,1341457
2016-10-12,70.8,71.13,70.09,70.35,917181
2016-10-13,69.65,70.93,68.39,70.37,2219860
2016-10-14,70.58,70.97,67.44,67.46,1542303
2016-10-17,67.3,67.58,65.3,65.92,1463673
2016-10-18,66.85,66.85,64.62,65.61,1454040
2016-10-19,65.87,66.32,64.98,65.98,1614562
2016-10-20,65.24,65.98,64.64,65.33,1428096
2016-10-21,65.0,65.42,64.11,64.35,1698671
2016-10-24,64.33,64.58,63.73,64.46,1453466
2016-10-25,65.01,66.55,64.62,64.92,2528207
2016-10-26,64.1,64.49,63.11,64.36,2523990
2016-10-27,64.3,68.52,64.2,66.42,2881461
2016-10-28,67.75,69.13,65.85,66.01,2302236
2016-10-31,66.17,66.61,65.52,66.0,1671844
2016-11-01,66.63,67.1,64.15,65.03,1429192
2016-11-02,64.37,65.12,63.31,64.14,1249348
2016-11-03,64.46,64.82,63.23,63.76,889813
2016-11-04,63.92,64.26,63.32,63.34,1154102
2016-11-07,64.37,66.12,63.91,65.75,1448776
2016-11-08,65.18,65.51,63.83,63.96,1426351
2016-11-09,63.24,66.52,63.24,65.71,1262177
2016-11-10,65.02,66.37,65.02,65.76,1138794
2016-11-11,65.28,66.32,64.32,65.7,1968374
2016-11-14,65.76,67.52,65.49,67.41,1659831
2016-11-15,68.31,70.44,68.08,68.78,1376090
2016-11-16,68.69,69.68,68.41,68.48,1177744
2016-11-17,69.05,69.59,66.66,66.9,1008393
2016-11-18,67.2,68.4,66.95,67.14,1304441
2016-11-21,68.49,70.4,68.02,70.32,1675785
2016-11-22,70.47,71.3,68.7,69.53,1202340
2016-11-23,69.15,71.29,69.05,71.19,1227081
2016-11-25,70.81,71.33,69.89,70.14,459367
2016-11-28,70.98,72.48,70.11,70.2,1639790
2016-11-29,68.66,71.46,68.0,70.97,1200811
2016-11-30,74.07,74.6,69.64,70.08,3106166
2016-12-01,71.63,73.47,71.22,71.97,1916173
2016-12-02,71.8,72.18,70.52,71.18,1371760
2016-12-05,72.26,74.22,72.03,72.83,2018246
2016-12-06,72.51,73.45,72.37,72.42,1211591
2016-12-07,72.53,73.56,72.3,73.33,1603993
2016-12-08,73.72,74.61,73.02,74.39,1144258
2016-12-09,74.34,75.74,74.28,74.7,1757049
2016-12-12,74.98,74.99,68.93,69.9,6547181
2016-12-13,70.48,71.35,69.18,70.89,2857400
2016-12-14,70.86,71.08,68.52,68.6,2885018
2016-12-15,67.4,68.98,66.19,67.23,2941016
2016-12-16,66.59,66.99,64.08,65.07,5010121
2016-12-19,65.47,66.4,64.65,65.78,2212258
2016-12-20,65.35,66.13,64.11,65.65,3051041
2016-12-21,66.82,68.16,66.21,67.06,1980964
2016-12-22,67.01,67.41,66.41,66.62,856496
2016-12-23,66.69,67.13,66.2,66.4,661531
2016-12-27,66.9,67.19,66.34,67.08,520369
2016-12-28,66.95,67.22,65.83,66.25,834480
2016-12-29,66.07,66.33,65.44,65.62,1049907
2016-12-30,65.7,66.47,65.05,65.4,1246891
2017-01-03,64.41,65.76,62.6,64.07,3012971
2017-01-04,64.3,65.57,63.66,65.19,1388889
2017-01-05,65.43,66.41,64.53,65.86,2827020
2017-01-06,65.77,66.29,65.1,65.33,1075117
2017-01-09,64.2,64.74,63.15,63.17,1339255
2017-01-10,63.61,64.01,62.64,63.34,2381333
2017-01-11,63.18,63.45,62.18,62.69,2465107
2017-01-12,63.22,63.5,62.71,62.94,1490021
2017-01-13,62.97,63.11,62.08,62.15,1291186
2017-01-17,62.33,62.59,61.68,62.11,2869880
2017-01-18,61.68,62.62,61.54,62.53,2035114
2017-01-19,62.63,62.9,62.14,62.49,1199621
2017-01-20,63.1,63.3,61.84,62.86,2152373
2017-01-23,62.48,63.2,61.99,62.42,1691930
2017-01-24,62.84,64.34,62.75,64.03,1718251
2017-01-25,64.21,64.64,63.93,64.12,962761
2017-01-26,64.58,65.55,64.38,65.27,2160273
2017-01-27,64.75,65.48,64.07,64.17,1617661
2017-01-30,63.55,63.89,61.51,61.91,1864358
2017-01-31,61.66,62.26,60.2,60.63,3073950
2017-02-01,61.52,61.52,60.51,60.78,4016086
2017-02-02,62.46,64.35,60.95,63.87,4876949
2017-02-03,63.18,65.26,63.18,65.07,3412242
2017-02-06,64.98,66.15,63.73,64.02,1971842
2017-02-07,64.14,64.15,62.15,62.29,2085069
2017-02-08,61.75,62.18,60.96,61.67,1694811
2017-02-09,62.7,64.16,61.55,63.75,2574515
2017-02-10,63.82,65.36,63.35,64.35,2141132
2017-02-13,63.95,64.05,62.51,62.53,1614851
2017-02-14,62.38,63.26,62.08,63.21,1038891
2017-02-15,63.15,64.29,63.06,64.03,1348467
2017-02-16,63.9,64.07,62.18,62.25,1665461
2017-02-17,61.91,63.22,61.58,62.07,1060461
2017-02-21,61.78,62.77,60.64,62.41,2045296
2017-02-22,61.89,62.6,60.45,60.55,2239364
2017-02-23,61.53,61.76,60.27,60.79,1521942
2017-02-24,60.78,61.46,59.7,59.94,1524801
2017-02-27,59.8,60.86,59.56,60.59,1630753
2017-02-28,60.37,60.48,59.56,59.89,1291272
2017-03-01,60.73,61.44,60.22,61.03,1473424
2017-03-02,60.65,61.48,60.41,60.74,1600822
2017-03-03,60.63,61.15,59.14,59.29,1671667
2017-03-06,60.13,60.82,59.39,60.09,2904766
2017-03-07,60.16,60.6,58.65,58.79,1748303
2017-03-08,58.94,59.8,57.85,57.97,1951590
2017-03-09,58.11,58.46,56.46,57.51,3439099
2017-03-10,58.06,58.26,56.75,57.08,3366340
2017-03-13,57.63,58.96,57.4,57.81,2590441
2017-03-14,57.08,57.77,56.79,57.34,2055251
2017-03-15,58.14,58.97,57.27,58.2,1919724
2017-03-16,58.22,58.29,57.47,57.55,1808036
2017-03-17,57.91,58.13,57.23,57.82,2779999
2017-03-20,57.51,58.23,56.96,58.07,1769862
2017-03-21,58.25,58.94,56.89,57.76,2843340
2017-03-22,57.53,57.59,56.38,56.76,1960718
2017-03-23,56.81,57.71,56.33,57.04,1764561
2017-03-24,57.06,57.86,56.7,57.3,2524379
2017-03-27,56.59,59.0,56.46,58.74,2398411
2017-03-28,58.68,60.02,58.23,59.66,1896247
2017-03-29,59.84,61.36,59.38,61.16,1942342
2017-03-30,61.28,61.72,60.5,60.68,2642100
2017-03-31,60.56,61.7,60.5,61.1,2181751
2017-04-03,61.13,61.34,59.56,60.9,2376329
2017-04-04,61.03,62.52,60.72,62.41,2002377
2017-04-05,63.04,63.28,62.1,62.22,2236047
2017-04-06,62.62,63.63,62.4,63.49,2139322
2017-04-07,63.5,63.61,62.8,63.0,1398924
2017-04-10,62.67,63.66,62.67,63.46,1193235
2017-04-11,63.15,63.98,62.71,63.6,1520644
2017-04-12,63.35,64.14,62.92,63.36,1578974
2017-04-13,63.64,63.7,62.47,62.62,1806538
2017-04-17,62.44,62.99,62.21,62.62,1509321
2017-04-18,62.05,62.95,61.75,62.58,1190600
2017-04-19,62.94,63.48,62.14,62.25,1833247
2017-04-20,62.5,64.01,62.21,63.27,1477710
2017-04-21,63.08,63.48,62.15,62.85,1505185
2017-04-24,63.1,63.5,62.42,62.68,1970553
2017-04-25,62.63,63.56,62.16,63.44,1656094
2017-04-26,62.9,64.45,62.9,63.89,3202733
2017-04-27,62.13,62.13,59.13,59.37,5985273
2017-04-28,60.06,60.23,57.84,58.14,3171778
2017-05-01,57.94,58.64,57.5,58.11,2065392
2017-05-02,58.41,60.23,58.3,59.06,2191335
2017-05-03,58.71,59.25,58.03,58.19,1695512
2017-05-04,57.76,57.76,55.36,56.25,3158630
2017-05-05,56.66,58.27,56.32,58.22,2621616
2017-05-08,57.86,58.1,56.86,57.13,2524970
2017-05-09,57.42,57.53,56.26,56.37,2231075
2017-05-10,56.81,57.45,56.41,57.08,2447151
2017-05-11,57.39,57.44,56.36,56.74,1740115
