Date,Open,High,Low,Close,Volume
2016-10-04,57.31,57.53,57.03,57.15,1008556
2016-10-05,57.43,57.45,56.42,56.48,1367311
2016-10-06,56.39,57.66,56.29,57.54,1406076
2016-10-07,57.41,57.48,55.7,55.7,1735500
2016-10-10,56.1,56.46,55.97,56.1,898999
2016-10-11,55.88,56.11,54.61,54.78,1368841
2016-10-12,54.89,55.74,54.8,55.53,1006394
2016-10-13,55.05,55.26,54.36,55.13,887821
2016-10-14,55.44,55.85,55.04,55.04,966317
2016-10-17,55.27,55.74,55.01,55.61,1024488
2016-10-18,55.87,55.87,54.78,54.81,1073221
2016-10-19,54.72,54.89,53.42,53.89,3305491
2016-10-20,53.7,54.22,53.52,54.12,1656096
2016-10-21,53.74,54.35,53.54,54.29,816314
2016-10-24,54.7,55.68,54.69,55.37,1612128
2016-10-25,54.9,54.9,52.26,52.31,3072475
2016-10-26,52.23,53.5,52.05,53.16,2952906
2016-10-27,53.75,55.14,53.25,54.02,4004060
2016-10-28,53.83,54.25,53.25,53.73,2400565
2016-10-31,54.06,55.07,53.89,54.63,1969288
2016-11-01,54.62,54.63,52.66,53.34,1803918
2016-11-02,53.29,53.85,52.82,53.14,1908276
2016-11-03,53.16,53.39,52.56,52.84,1732923
2016-11-04,53.06,53.74,52.8,52.86,1107268
2016-11-07,53.76,54.58,53.41,54.55,1481048
2016-11-08,54.33,54.7,53.89,54.39,1217944
2016-11-09,53.75,54.97,53.34,54.7,1790684
2016-11-10,55.06,55.99,54.88,55.74,1732144
2016-11-11,55.59,56.3,55.0,55.24,1116528
2016-11-14,55.59,56.14,55.26,56.08,1344899
2016-11-15,56.56,57.13,56.24,57.11,1791788
2016-11-16,56.91,57.1,55.96,56.16,975799
2016-11-17,56.51,57.49,56.27,57.4,1141877
2016-11-18,57.3,57.75,57.02,57.59,1187545
2016-11-21,57.77,58.39,57.41,58.07,1226975
2016-11-22,57.93,58.08,56.58,56.75,1338286
2016-11-23,56.75,57.14,56.45,57.08,697456
2016-11-25,57.1,57.41,56.89,57.36,319691
2016-11-28,57.12,57.41,55.68,56.18,1208829
2016-11-29,56.33,56.96,56.06,56.2,1625081
2016-11-30,56.31,56.61,55.13,55.15,1357306
