Date,Open,High,Low,Close,Volume
2016-10-04,174.72,175.12,172.86,173.6,1492742
2016-10-05,174.89,175.26,173.84,174.26,1202755
2016-10-06,174.33,174.33,172.41,173.09,1260360
2016-10-07,172.62,173.24,171.72,173.01,1418184
2016-10-10,173.34,174.59,173.14,174.21,1221599
2016-10-11,173.8,174.09,173.05,174.08,1462086
2016-10-12,174.12,174.49,173.07,173.54,1253264
2016-10-13,172.12,172.2,169.66,170.95,1432829
2016-10-14,172.29,172.89,170.87,170.98,803571
2016-10-17,170.94,171.37,170.22,170.84,1051540
2016-10-18,172.09,172.49,170.51,170.74,900285
2016-10-19,171.02,171.18,169.58,170.46,1086825
2016-10-20,170.41,170.62,169.48,169.7,836046
2016-10-21,168.19,170.25,168.0,170.2,924658
2016-10-24,171.31,172.49,170.3,172.08,1848300
2016-10-25,171.34,172.45,171.26,171.93,1132658
2016-10-26,170.96,174.24,170.51,173.59,1772668
2016-10-27,174.69,175.22,172.74,174.4,1499657
2016-10-28,174.57,176.35,173.4,174.25,1502716
2016-10-31,175.14,176.12,174.24,174.32,992888
2016-11-01,174.25,174.32,170.16,171.53,1955591
2016-11-02,172.0,173.47,171.6,172.38,1457289
2016-11-03,172.71,173.71,172.11,173.65,1264954
2016-11-04,173.4,175.73,172.86,174.8,1558754
2016-11-07,176.85,180.69,176.85,180.02,2451915
2016-11-08,179.28,182.78,178.84,181.31,2012395
2016-11-09,178.55,182.4,176.44,181.17,2874179
2016-11-10,182.0,185.0,181.23,183.57,2298084
2016-11-11,183.0,184.89,182.11,183.69,1560368
2016-11-14,184.5,186.53,183.46,186.16,2168098
2016-11-15,185.77,185.83,182.98,185.39,1446956
2016-11-16,184.89,186.0,182.75,183.82,1262237
2016-11-17,184.13,185.34,183.46,185.08,928392
2016-11-18,184.71,187.33,183.98,187.29,1334442
2016-11-21,187.33,188.25,186.74,188.15,1295338
2016-11-22,188.5,188.5,187.55,188.08,1162042
2016-11-23,188.75,190.29,188.05,190.12,889156
2016-11-25,190.62,191.84,190.6,191.53,653169
2016-11-28,190.58,191.15,189.49,190.03,1746550
2016-11-29,190.0,191.35,190.0,190.32,1077732
2016-11-30,191.5,192.58,190.78,191.67,1533590
2016-12-01,192.0,193.88,192.0,192.19,1767563
2016-12-02,192.1,193.65,192.1,192.8,1542866
2016-12-05,193.7,194.95,193.0,194.5,1409815
2016-12-06,194.36,194.46,191.6,193.33,1238329
2016-12-07,193.32,196.72,192.28,196.52,1886138
2016-12-08,196.75,197.3,193.6,197.07,2951610
2016-12-09,196.29,196.99,195.13,196.6,1957386
2016-12-12,195.87,198.24,195.7,197.64,1442740
2016-12-13,198.66,201.57,197.5,201.02,2237920
2016-12-14,200.78,201.0,197.61,197.92,2533169
2016-12-15,197.73,199.77,197.27,197.92,1216364
2016-12-16,198.82,199.36,195.45,196.48,3589621
2016-12-19,196.67,198.07,195.75,197.62,1498058
2016-12-20,198.92,199.49,196.55,198.74,3068001
2016-12-21,194.5,195.97,192.04,192.12,6405992
2016-12-22,192.24,192.46,190.78,190.89,2030077
2016-12-23,191.48,193.02,190.81,191.86,1677369
2016-12-27,191.97,192.53,190.51,190.55,966457
2016-12-28,190.83,191.57,188.02,188.45,1555398
2016-12-29,188.85,189.64,186.42,186.95,1293105
2016-12-30,187.8,187.96,185.68,186.2,1323201
2017-01-03,186.57,189.67,186.57,187.7,1708350
2017-01-04,188.5,189.4,187.36,188.71,1290348
2017-01-05,188.71,190.37,187.95,188.41,1207787
2017-01-06,188.11,191.74,187.9,190.25,1658437
2017-01-09,189.58,190.53,189.01,189.69,1279154
2017-01-10,189.06,189.9,188.35,188.42,1358098
2017-01-11,188.25,189.44,188.0,189.24,1045295
2017-01-12,188.66,188.87,186.34,187.38,1177894
2017-01-13,187.79,188.7,186.68,187.01,1140632
2017-01-17,186.12,186.74,184.44,186.05,1343809
2017-01-18,186.44,187.98,185.75,187.23,902954
2017-01-19,187.27,188.1,185.68,186.17,1061296
2017-01-20,186.02,187.0,184.37,185.73,2192856
2017-01-23,185.81,186.71,184.3,185.46,1070520
2017-01-24,185.51,191.99,185.51,191.61,2138495
2017-01-25,191.6,194.02,190.61,192.95,1807030
2017-01-26,192.31,192.94,191.14,192.58,1067550
2017-01-27,192.77,196.42,191.8,195.92,1991368
2017-01-30,195.48,195.48,191.18,193.25,2304075
2017-01-31,190.28,190.48,186.16,189.11,2952325
2017-02-01,189.28,189.3,184.71,186.27,2076140
2017-02-02,186.12,186.92,183.87,184.61,1461851
2017-02-03,186.09,188.94,185.39,188.21,1356345
2017-02-06,190.43,190.75,187.73,188.2,1352466
2017-02-07,188.2,188.67,187.19,188.02,1158524
2017-02-08,187.75,188.28,186.81,187.96,955647
2017-02-09,188.2,190.12,187.83,188.57,1347816
2017-02-10,188.78,191.0,188.31,190.86,1188336
2017-02-13,191.05,193.15,190.63,192.57,1068266
2017-02-14,192.09,193.07,191.33,192.46,945344
2017-02-15,192.77,194.79,192.22,194.67,1308709
2017-02-16,194.38,194.72,192.16,193.35,1143753
2017-02-17,192.8,193.7,192.3,193.7,808101
2017-02-21,194.37,195.57,193.76,195.36,1269635
2017-02-22,194.42,194.5,192.61,193.83,2126083
2017-02-23,194.0,194.5,190.71,191.18,1806466
2017-02-24,190.74,193.11,190.12,193.11,2209925
2017-02-27,192.97,194.43,191.77,194.37,1777043
