Date,Open,High,Low,Close,Volume
2016-10-04,76.91,77.17,75.93,76.46,1114821
2016-10-05,76.88,77.87,76.34,76.87,1761587
2016-10-06,76.91,78.33,76.88,78.28,1888410
2016-10-07,78.46,78.69,77.29,77.63,1691463
2016-10-10,77.88,78.15,77.37,77.41,1114978
2016-10-11,77.08,77.09,76.02,76.49,1394691
2016-10-12,76.59,77.29,76.28,77.19,964769
2016-10-13,76.68,76.93,75.93,76.33,1508508
2016-10-14,76.67,77.45,76.49,76.5,904803
2016-10-17,76.68,76.73,75.76,75.81,1156071
2016-10-18,76.45,76.61,75.88,75.95,1174008
2016-10-19,76.21,76.53,76.02,76.32,986257
2016-10-20,76.31,76.36,74.85,75.29,2186131
2016-10-21,74.82,75.31,74.41,75.01,1086906
2016-10-24,75.52,76.04,75.23,75.9,1478072
2016-10-25,75.79,75.86,75.44,75.56,1511494
2016-10-26,75.37,75.9,75.02,75.15,888424
2016-10-27,74.96,75.04,73.57,74.09,3173817
2016-10-28,74.23,74.99,74.14,74.37,1866285
2016-10-31,74.43,74.62,73.25,73.92,1785073
2016-11-01,73.91,77.1,73.89,76.85,4195859
2016-11-02,76.61,76.81,74.88,75.05,2216426
2016-11-03,75.05,75.38,74.76,74.97,1101455
2016-11-04,74.9,75.9,74.86,75.42,1433385
2016-11-07,76.38,76.81,76.23,76.5,1776055
2016-11-08,76.5,77.0,76.01,76.6,967563
2016-11-09,75.68,77.15,74.96,76.9,1567660
2016-11-10,77.2,77.4,75.86,77.05,1999281
2016-11-11,76.66,77.4,76.21,76.32,1732011
2016-11-14,76.45,76.98,74.81,75.19,2011490
2016-11-15,75.54,75.86,74.63,74.74,1909508
2016-11-16,74.75,75.22,74.44,75.1,1442311
2016-11-17,75.34,75.95,74.92,75.87,1796304
2016-11-18,75.95,77.56,75.8,77.12,2242406
2016-11-21,77.24,77.88,77.17,77.53,1506744
2016-11-22,77.46,77.77,76.98,77.64,1484507
2016-11-23,77.68,79.0,77.68,79.0,2044889
2016-11-25,79.06,79.23,78.56,78.76,682647
2016-11-28,78.79,79.0,78.34,78.67,1303000
2016-11-29,78.85,79.1,78.56,78.9,1174470
2016-11-30,78.84,79.09,77.17,77.19,1867090
2016-12-01,77.17,77.2,75.39,75.73,1672812
2016-12-02,75.76,75.89,74.95,75.0,1742652
2016-12-05,75.55,75.77,75.11,75.28,2022444
2016-12-06,75.52,75.63,74.98,75.51,1812374
2016-12-07,74.73,75.66,73.97,75.62,2811351
2016-12-08,75.55,75.56,74.71,75.12,1787429
2016-12-09,75.12,75.72,74.98,75.56,1456379
2016-12-12,75.4,76.1,75.37,75.78,1813280
2016-12-13,76.06,76.39,75.3,75.34,1590729
2016-12-14,75.23,76.6,75.03,75.92,2777181
2016-12-15,76.11,77.78,75.6,77.35,2132676
2016-12-16,77.55,77.74,76.27,76.64,7858259
2016-12-19,76.71,76.95,75.92,76.08,1740481
2016-12-20,76.25,76.56,75.68,76.46,1692343
2016-12-21,76.29,77.22,76.03,76.69,960249
2016-12-22,76.52,76.52,75.59,75.8,2082270
2016-12-23,76.03,76.82,75.78,76.02,993118
2016-12-27,76.11,76.91,75.86,76.67,1186458
2016-12-28,76.6,76.87,76.12,76.58,1561931
2016-12-29,76.65,77.12,76.51,77.0,1471959
2016-12-30,77.0,77.14,75.4,75.64,1610119
2017-01-03,76.28,77.05,75.88,76.98,1646556
2017-01-04,76.86,78.25,76.86,78.24,1556527
2017-01-05,78.25,78.79,77.75,78.05,1150149
2017-01-06,78.51,79.02,77.68,78.89,973712
2017-01-09,78.92,78.94,78.02,78.04,963590
2017-01-10,78.07,78.33,77.64,77.65,796031
2017-01-11,77.43,77.72,77.0,77.39,1201347
2017-01-12,76.98,77.23,76.09,77.05,2217267
2017-01-13,76.95,77.45,76.7,77.37,1228319
2017-01-17,77.26,78.75,77.08,78.7,2186977
2017-01-18,78.87,79.54,78.16,79.46,2633158
2017-01-19,79.26,79.31,78.58,79.15,1590928
2017-01-20,79.56,79.98,79.24,79.79,3061399
2017-01-23,79.8,80.34,79.62,80.07,2794749
2017-01-24,80.0,80.08,79.48,80.03,1901666
2017-01-25,80.0,80.28,79.72,79.88,1741571
2017-01-26,79.9,79.96,79.28,79.56,1703239
2017-01-27,79.9,79.93,79.53,79.81,952077
2017-01-30,79.89,79.89,78.89,79.6,670488
2017-01-31,79.57,79.82,78.87,79.42,1308313
2017-02-01,79.68,79.79,78.76,79.02,1315169
2017-02-02,78.86,79.38,78.56,79.06,1022956
2017-02-03,79.58,80.3,79.09,79.4,1601488
2017-02-06,79.39,79.58,78.9,79.35,2472739
2017-02-07,76.76,77.73,75.52,77.3,6833976
2017-02-08,78.0,80.36,77.63,79.84,4695971
2017-02-09,79.78,81.0,79.65,80.75,2147246
2017-02-10,80.96,81.39,80.46,80.46,1924927
2017-02-13,80.87,81.12,80.47,80.91,1068805
2017-02-14,80.8,80.96,80.31,80.5,1168516
2017-02-15,80.5,81.48,80.38,81.41,1620389
2017-02-16,81.33,81.74,80.81,81.72,1052790
2017-02-17,81.57,82.05,81.04,82.05,1028137
2017-02-21,81.74,82.37,81.73,82.17,1294280
2017-02-22,81.91,82.99,81.81,82.82,1131298
2017-02-23,83.0,83.2,82.5,83.09,1508917
2017-02-24,82.0,83.86,81.73,83.84,2348316
2017-02-27,83.75,83.8,82.24,82.63,2054390
2017-02-28,82.69,82.75,82.05,82.27,1752869
2017-03-01,82.68,83.37,82.51,83.02,1535505
2017-03-02,82.7,82.97,82.22,82.27,1080497
2017-03-03,82.23,83.08,82.0,82.95,1112443
2017-03-06,82.43,83.0,82.32,82.7,1198269
2017-03-07,82.48,82.98,82.41,82.64,974001
2017-03-08,82.7,82.73,82.04,82.22,1335987
2017-03-09,82.25,82.61,81.65,81.98,1453848
2017-03-10,82.25,82.63,81.52,82.23,2445922
2017-03-13,82.2,82.89,82.02,82.72,1315021
2017-03-14,82.59,82.9,82.1,82.46,848623
2017-03-15,82.52,82.7,82.06,82.52,1494814
2017-03-16,82.5,82.62,81.84,81.95,1095279
2017-03-17,82.35,82.39,81.75,81.83,1929899
2017-03-20,81.92,81.92,80.54,81.02,1651988
2017-03-21,80.78,81.11,79.84,80.05,1813943
2017-03-22,80.26,80.48,79.82,79.9,1352811
2017-03-23,79.8,80.17,79.46,79.82,1249575
