Date,Open,High,Low,Close,Volume
2016-10-04,51.54,51.54,50.22,50.35,1204265
2016-10-05,50.85,51.42,50.67,51.33,1033727
2016-10-06,51.22,51.54,51.01,51.35,886452
2016-10-07,51.23,51.41,50.56,50.67,1517848
2016-10-10,51.35,51.51,50.72,51.17,836034
2016-10-11,50.72,50.99,49.61,50.0,1407607
2016-10-12,49.92,50.57,49.59,50.52,1723759
2016-10-13,49.86,50.55,49.38,50.32,1275743
2016-10-14,50.05,50.51,49.4,49.4,1841606
2016-10-17,49.35,50.05,49.26,49.76,1342213
2016-10-18,50.41,52.0,49.83,50.53,1206876
2016-10-19,50.75,50.78,50.01,50.07,1078009
2016-10-20,49.77,49.84,49.32,49.35,856848
2016-10-21,48.8,49.59,48.57,49.52,814870
2016-10-24,49.92,50.08,49.53,49.86,610457
2016-10-25,49.7,49.89,49.46,49.77,1146822
2016-10-26,49.35,50.75,48.95,50.65,978995
2016-10-27,50.82,50.85,50.32,50.67,1058098
2016-10-28,50.85,52.63,50.85,52.11,1880879
2016-10-31,52.21,52.39,51.47,51.99,1165035
2016-11-01,52.21,52.56,51.25,51.89,1760060
2016-11-02,51.58,52.42,51.12,51.49,1794089
2016-11-03,51.6,52.1,50.83,51.79,1989230
2016-11-04,44.18,45.8,44.05,44.8,11166551
2016-11-07,45.35,45.5,44.55,44.86,2812105
2016-11-08,44.35,44.82,44.17,44.58,2448558
2016-11-09,46.39,51.74,46.25,49.11,4687768
2016-11-10,49.5,50.79,49.5,50.4,2830097
2016-11-11,50.3,50.77,49.02,49.13,3580158
2016-11-14,49.4,51.55,49.21,51.51,3605378
2016-11-15,51.52,51.93,50.83,51.92,2407500
2016-11-16,51.48,51.67,50.55,50.8,2593368
2016-11-17,51.11,51.5,50.72,51.28,1354008
2016-11-18,51.4,51.51,51.12,51.34,933296
2016-11-21,51.59,52.55,51.47,52.25,1368585
2016-11-22,52.53,52.98,52.19,52.8,1534661
2016-11-23,52.47,54.92,52.19,54.22,2543176
2016-11-25,54.5,54.9,54.12,54.82,1148022
