Date,Open,High,Low,Close,Volume
2016-10-04,63.86,63.92,62.89,63.05,3617990
2016-10-05,62.61,62.88,62.03,62.36,5118137
2016-10-06,62.16,62.64,62.02,62.42,3091402
2016-10-07,62.4,62.59,61.64,62.13,2759316
2016-10-10,62.45,62.77,62.17,62.44,2846973
2016-10-11,62.28,62.38,61.71,61.95,3007468
2016-10-12,62.17,62.31,61.88,62.13,2832534
2016-10-13,61.76,62.26,61.68,62.22,2683177
2016-10-14,62.42,62.48,61.73,61.78,3337151
2016-10-17,62.48,62.48,61.71,61.77,3404134
2016-10-18,62.24,62.25,61.73,61.91,5041271
2016-10-19,61.95,61.95,61.34,61.57,4423251
2016-10-20,61.56,61.56,60.94,61.0,4403112
2016-10-21,60.79,60.92,60.44,60.71,3710024
2016-10-24,60.99,61.24,60.58,60.89,3040488
2016-10-25,60.97,61.14,60.85,61.1,2012004
2016-10-26,61.2,61.32,60.77,60.84,1852594
2016-10-27,61.01,61.22,60.63,60.72,2277540
2016-10-28,60.84,61.85,60.79,61.66,2750120
2016-10-31,61.7,62.02,61.5,61.98,2745301
2016-11-01,62.16,62.19,61.39,61.63,3450335
2016-11-02,61.62,61.91,61.36,61.38,2889573
2016-11-03,61.36,61.66,61.05,61.12,2317137
2016-11-04,61.05,61.21,60.65,60.65,2578310
2016-11-07,61.03,61.94,60.91,61.83,3173873
2016-11-08,61.86,63.93,61.84,63.71,4599907
2016-11-09,62.42,62.95,61.17,62.74,4893173
2016-11-10,62.42,62.51,60.81,61.07,6338255
2016-11-11,61.09,61.65,60.55,61.04,3329707
2016-11-14,60.93,61.47,60.66,61.2,3466531
2016-11-15,61.47,61.62,61.0,61.3,3852388
2016-11-16,61.33,61.72,61.06,61.26,3284265
2016-11-17,61.32,61.68,60.97,61.36,2901438
2016-11-18,61.36,61.63,60.98,61.26,2227876
2016-11-21,61.03,61.78,60.95,61.63,2392799
2016-11-22,61.93,62.8,61.92,62.68,2739474
2016-11-23,62.42,62.75,61.39,61.48,2563370
2016-11-25,61.74,62.3,61.74,62.3,1069482
2016-11-28,62.12,62.38,61.88,62.08,2206324
2016-11-29,62.25,62.81,61.79,62.66,3143566
2016-11-30,62.33,62.4,60.91,60.94,5940025
2016-12-01,60.92,60.92,60.37,60.59,3215648
