Date,Open,High,Low,Close,Volume
2016-10-04,77.18,77.68,76.15,76.44,1813808
2016-10-05,78.51,79.24,76.55,79.04,2975203
2016-10-06,78.92,79.09,77.49,78.98,1406236
2016-10-07,78.98,79.0,75.18,76.01,2157756
2016-10-10,76.16,77.08,75.49,75.6,1242734
2016-10-11,75.6,75.6,73.12,73.7,1598302
2016-10-12,73.65,74.17,73.06,73.81,1082127
2016-10-13,73.22,73.68,72.14,73.35,919536
2016-10-14,73.83,74.4,73.01,73.04,927066
2016-10-17,72.84,73.47,72.84,73.01,684291
2016-10-18,73.95,74.69,73.41,74.21,766415
2016-10-19,74.25,74.52,74.15,74.37,652835
2016-10-20,74.26,74.44,73.51,73.59,888343
2016-10-21,73.03,73.12,72.53,72.88,933825
2016-10-24,73.45,74.26,73.41,74.06,886467
2016-10-25,73.88,73.95,72.78,73.27,645569
2016-10-26,72.89,74.76,72.89,73.66,850801
2016-10-27,73.91,74.33,72.39,72.47,703702
2016-10-28,72.58,73.72,72.37,72.59,953017
2016-10-31,72.9,73.15,72.28,72.52,847428
2016-11-01,72.88,73.18,71.05,71.75,1137638
2016-11-02,71.55,71.79,70.55,70.63,924986
2016-11-03,70.91,70.91,70.2,70.48,741930
2016-11-04,71.25,71.89,70.6,70.81,1129225
2016-11-07,72.09,72.12,71.32,71.82,1044935
2016-11-08,71.5,72.91,71.08,72.63,969035
2016-11-09,70.43,72.95,70.43,72.81,1104843
2016-11-10,73.22,73.58,70.14,70.93,1750920
2016-11-11,70.79,71.01,69.41,69.49,1643359
2016-11-14,69.74,69.99,66.24,66.57,3170042
2016-11-15,65.3,69.01,64.63,68.05,3117411
2016-11-16,67.99,70.05,67.95,69.94,1912068
2016-11-17,70.33,70.48,69.18,69.76,1117502
2016-11-18,69.93,70.84,69.65,70.71,1235957
2016-11-21,70.94,72.06,70.78,71.99,1126834
2016-11-22,71.97,72.24,70.76,71.72,876497
2016-11-23,71.46,72.14,71.09,72.09,869081
2016-11-25,71.93,72.17,71.84,72.09,227914
2016-11-28,72.14,72.34,71.44,71.54,1110746
2016-11-29,71.6,71.78,70.45,70.59,1119282
2016-11-30,70.96,71.11,68.55,68.55,1452191
2016-12-01,68.9,68.94,65.91,66.42,2428714
2016-12-02,66.39,68.25,66.08,68.13,1684632
2016-12-05,68.53,70.05,68.53,69.73,1686522
2016-12-06,70.13,70.31,69.22,69.9,1416560
2016-12-07,70.2,70.98,69.28,70.87,1064390
2016-12-08,70.78,71.86,70.14,71.78,962318
2016-12-09,71.67,72.24,71.46,72.19,1174530
2016-12-12,71.71,72.62,71.02,71.24,1095972
2016-12-13,71.51,72.49,71.51,71.85,1045738
2016-12-14,71.85,72.17,71.18,71.46,1102073
2016-12-15,71.22,72.09,70.6,70.63,1085341
2016-12-16,70.92,70.92,69.97,70.29,1741857
2016-12-19,70.47,71.4,70.47,70.78,958086
2016-12-20,71.37,71.63,70.92,71.42,1097579
2016-12-21,71.54,71.71,70.48,70.87,931461
2016-12-22,70.77,70.77,69.77,70.03,705191
2016-12-23,70.2,70.42,69.91,70.3,600927
2016-12-27,70.49,70.84,70.22,70.73,496705
2016-12-28,70.72,70.85,69.33,69.67,894415
2016-12-29,69.8,69.95,69.17,69.82,1022324
2016-12-30,69.9,69.93,68.98,69.41,941145
2017-01-03,69.98,70.95,69.04,70.5,1640316
2017-01-04,70.69,73.13,70.44,73.13,1769728
2017-01-05,72.77,73.94,72.77,73.42,1741394
2017-01-06,73.55,74.61,73.22,74.45,1581759
2017-01-09,78.4,80.88,78.06,79.79,3860222
2017-01-10,80.26,80.45,77.86,77.88,2196731
2017-01-11,77.33,78.41,77.21,78.23,1330386
2017-01-12,77.81,77.96,76.72,77.6,1660258
2017-01-13,77.47,78.08,77.24,77.74,1104723
2017-01-17,77.35,78.13,77.18,78.04,1204644
2017-01-18,78.28,79.36,78.14,78.62,1759755
2017-01-19,79.16,79.62,78.75,79.39,2011880
2017-01-20,79.47,79.84,78.76,79.08,1443011
2017-01-23,78.87,79.07,77.81,78.39,1192616
2017-01-24,78.39,79.1,78.24,79.03,953891
2017-01-25,79.28,79.54,77.96,78.28,1260327
2017-01-26,77.7,78.03,76.71,76.8,1292707
2017-01-27,77.58,77.98,76.86,77.44,1222922
2017-01-30,77.1,77.89,75.88,77.81,1287628
2017-01-31,77.71,77.71,76.65,77.28,790482
2017-02-01,77.59,77.85,76.44,77.05,1188644
2017-02-02,76.63,77.1,76.03,76.72,1062590
2017-02-03,77.29,79.29,77.14,78.6,2023552
2017-02-06,78.05,78.5,77.62,78.18,931449
2017-02-07,78.13,79.38,77.85,78.7,1376188
2017-02-08,78.54,79.78,78.06,79.07,1002529
2017-02-09,79.0,79.33,78.11,78.62,1103478
