Date,Open,High,Low,Close,Volume
2016-10-04,161.24,164.15,161.23,162.27,2469912
2016-10-05,163.32,166.57,163.0,166.4,2548215
2016-10-06,167.18,167.29,164.82,167.15,2858217
2016-10-07,167.5,169.98,166.24,169.83,3390244
2016-10-10,170.52,171.75,170.1,171.04,2532001
2016-10-11,169.84,170.87,167.91,169.04,2679967
2016-10-12,169.04,169.99,168.3,169.3,2404792
2016-10-13,167.6,167.63,165.51,167.42,2713705
2016-10-14,171.6,172.95,169.11,170.52,5282325
2016-10-17,170.5,171.27,168.45,169.0,3061380
2016-10-18,172.01,173.47,171.1,172.63,4482486
2016-10-19,173.37,175.68,173.18,174.51,3676036
2016-10-20,174.0,175.79,173.8,174.51,2471135
2016-10-21,172.84,174.9,172.51,174.67,2004401
2016-10-24,175.5,175.79,174.35,175.12,1943200
2016-10-25,175.04,175.96,174.64,175.55,2423299
2016-10-26,174.79,177.9,173.93,177.07,2533800
2016-10-27,178.19,178.85,176.57,177.75,3021949
2016-10-28,178.51,178.51,175.46,177.14,2042775
2016-10-31,177.68,178.5,177.23,178.24,1828180
2016-11-01,179.0,179.18,176.61,178.06,2900633
2016-11-02,177.07,177.5,176.07,176.58,2104770
2016-11-03,176.77,177.97,176.21,176.21,1972746
2016-11-04,176.33,177.34,174.73,175.92,1846465
2016-11-07,179.0,181.5,179.0,181.48,3338783
2016-11-08,180.11,182.68,178.46,181.92,2646158
2016-11-09,185.0,193.54,183.45,192.63,7823835
2016-11-10,194.53,204.67,194.0,200.87,11345422
2016-11-11,198.25,205.0,198.25,203.94,6290179
2016-11-14,204.15,211.77,204.15,209.18,8248097
2016-11-15,206.56,211.2,205.17,211.19,4893793
2016-11-16,207.35,208.08,204.83,206.26,5276156
2016-11-17,206.26,209.69,205.67,209.63,3560820
2016-11-18,209.87,212.07,209.72,210.35,4278161
2016-11-21,211.46,211.69,209.18,211.08,2860229
2016-11-22,211.36,211.95,209.89,211.11,2945664
2016-11-23,211.5,213.41,209.37,212.31,3734360
2016-11-25,211.36,212.75,211.0,211.38,1973959
2016-11-28,210.0,211.76,209.6,210.35,3297394
2016-11-29,209.99,212.92,209.92,211.75,2577591
2016-11-30,215.2,220.77,214.97,219.29,6507871
2016-12-01,220.93,227.16,220.35,226.63,7606546
2016-12-02,226.0,226.25,221.22,223.36,5297420
2016-12-05,225.52,229.2,225.24,228.55,4599300
2016-12-06,230.18,232.67,227.9,231.38,5259347
2016-12-07,230.4,236.09,230.4,235.56,6595232
2016-12-08,236.88,242.42,236.0,241.45,7343669
2016-12-09,240.61,242.0,238.88,241.85,5456047
2016-12-12,240.5,242.83,236.37,237.17,5022038
2016-12-13,239.0,240.18,235.5,238.55,4680464
2016-12-14,235.67,243.12,235.37,239.93,6172391
2016-12-15,242.49,245.57,241.62,243.0,4829694
2016-12-16,242.8,243.19,238.4,238.9,6876447
2016-12-19,238.34,239.74,236.26,239.07,3743284
2016-12-20,240.52,243.65,240.23,243.09,4487687
2016-12-21,242.24,242.4,240.08,241.44,3277750
2016-12-22,241.23,242.86,239.55,240.12,2637229
2016-12-23,239.54,241.9,238.91,240.97,2187498
2016-12-27,241.95,242.59,240.4,241.56,1998164
2016-12-28,243.69,244.5,240.44,240.65,3052978
2016-12-29,240.75,241.07,236.64,238.18,2619021
2016-12-30,238.51,240.5,237.4,239.45,2355544
2017-01-03,242.7,244.97,237.97,241.57,4384246
2017-01-04,241.44,243.32,240.03,243.13,2728709
2017-01-05,242.72,243.23,236.78,241.32,3562618
2017-01-06,242.29,246.2,241.37,244.9,3591079
2017-01-09,243.25,244.69,241.47,242.89,3022766
2017-01-10,240.87,243.44,239.05,242.57,3432904
2017-01-11,242.77,245.84,242.0,245.76,3532563
2017-01-12,245.06,245.47,241.57,243.84,4022328
2017-01-13,245.43,247.77,242.91,244.3,4186076
2017-01-17,242.94,243.06,235.61,235.74,6277192
2017-01-18,236.0,237.69,231.52,234.29,7590482
2017-01-19,234.07,234.75,230.62,231.41,4561821
2017-01-20,231.62,233.23,230.54,232.2,5211836
2017-01-23,231.86,233.75,230.75,232.67,3136161
2017-01-24,231.86,236.06,230.84,233.68,4448152
2017-01-25,235.53,237.33,234.48,237.25,3716771
2017-01-26,237.47,240.79,237.47,239.58,4195574
2017-01-27,236.9,237.97,236.01,236.95,3253114
2017-01-30,235.58,236.29,231.52,233.9,3803259
2017-01-31,232.85,234.35,228.16,229.32,5156419
2017-02-01,230.51,232.86,229.52,230.67,4024490
2017-02-02,228.51,232.33,227.05,230.41,2775736
2017-02-03,234.52,241.11,234.2,240.95,7381005
2017-02-06,239.6,243.65,239.17,239.98,4639232
2017-02-07,241.15,241.44,239.39,239.62,2660247
2017-02-08,238.3,238.94,236.31,237.73,2744667
2017-02-09,238.8,243.29,237.42,241.55,3550836
2017-02-10,243.37,244.16,241.23,242.72,3072771
2017-02-13,244.49,247.48,244.49,246.27,2998225
2017-02-14,246.01,250.0,245.69,249.46,4141460
2017-02-15,250.58,251.95,248.51,250.54,4296636
2017-02-16,250.3,250.78,248.44,249.44,2286305
2017-02-17,247.51,250.56,247.11,250.38,3262325
2017-02-21,251.0,252.65,250.71,251.76,2794893
2017-02-22,250.06,252.35,250.0,251.73,2378769
2017-02-23,251.31,251.9,249.32,251.19,2594747
2017-02-24,247.7,248.88,246.1,247.35,3565388
