Date,Open,High,Low,Close,Volume
2016-10-04,128.53,129.92,127.95,128.2,4848592
2016-10-05,128.32,129.03,127.52,127.58,4115427
2016-10-06,126.87,130.45,126.43,130.19,7472410
2016-10-07,129.83,130.41,127.88,128.31,5511856
2016-10-10,128.45,128.94,127.25,127.25,4349741
2016-10-11,126.85,127.08,125.46,125.85,5113918
2016-10-12,125.85,127.16,125.71,126.69,3545903
2016-10-13,126.25,126.66,125.17,126.29,3655714
2016-10-14,126.9,127.56,126.42,126.42,4462055
2016-10-17,126.18,126.8,124.88,125.14,3753022
2016-10-18,126.15,126.25,125.15,125.74,3563302
2016-10-19,125.76,126.09,124.51,125.89,4095509
2016-10-20,125.95,127.08,125.57,126.25,3543223
2016-10-21,125.31,126.8,125.25,126.6,3234121
2016-10-24,127.23,128.14,127.23,127.78,3824784
2016-10-25,126.27,126.27,123.29,123.34,8731869
2016-10-26,122.83,123.75,122.4,122.71,5456080
2016-10-27,122.71,123.46,121.85,122.26,4261602
2016-10-28,122.7,124.09,122.21,123.58,4497717
2016-10-31,123.35,123.5,121.62,122.01,5671525
2016-11-01,121.69,122.25,119.2,119.89,7492561
2016-11-02,119.93,121.29,119.82,120.29,4846031
2016-11-03,120.34,120.93,120.08,120.18,5113496
2016-11-04,120.54,121.9,120.06,120.91,4607581
2016-11-07,122.5,123.98,122.31,123.75,5510441
2016-11-08,123.95,125.42,123.6,124.25,6105908
2016-11-09,120.95,126.26,120.32,126.02,8052506
2016-11-10,126.72,130.1,126.51,129.03,8736986
2016-11-11,129.06,130.13,128.72,129.85,5496122
2016-11-14,130.5,130.64,126.94,127.67,11438461
2016-11-15,127.07,127.67,122.92,124.4,13445388
2016-11-16,123.6,125.7,123.28,125.33,9793361
2016-11-17,125.87,129.14,125.7,128.93,6739135
2016-11-18,128.93,129.36,127.72,128.33,4428888
2016-11-21,128.28,128.9,127.41,128.22,4072116
2016-11-22,128.38,131.3,128.38,130.98,5535796
2016-11-23,131.36,131.99,130.86,131.21,3610508
2016-11-25,131.86,132.14,131.07,131.57,2545977
2016-11-28,131.25,131.65,130.17,130.64,4858978
2016-11-29,130.35,130.78,129.25,129.62,4127122
2016-11-30,129.34,130.32,128.81,129.4,6973817
2016-12-01,129.34,130.35,129.0,129.47,5398674
2016-12-02,129.04,130.62,128.91,129.87,3738338
2016-12-05,130.32,130.46,129.56,129.68,4065425
2016-12-06,130.13,130.14,128.68,128.74,4292631
2016-12-07,128.75,133.06,128.75,132.46,6987286
2016-12-08,132.21,133.13,131.58,132.53,4975419
2016-12-09,132.51,133.4,131.1,133.39,5174577
2016-12-12,133.13,134.66,133.13,134.58,6276457
2016-12-13,134.55,136.89,134.55,136.54,6886268
2016-12-14,136.05,136.88,135.75,135.98,7036307
2016-12-15,136.51,137.32,135.77,135.84,5839829
2016-12-16,136.11,136.61,135.05,135.11,9429345
2016-12-19,135.06,136.5,134.79,135.44,3463558
2016-12-20,135.65,137.24,135.43,137.11,4301529
2016-12-21,136.93,137.24,136.56,136.83,2705523
2016-12-22,136.25,137.0,135.18,135.43,4094846
2016-12-23,135.65,135.99,134.79,135.05,2337685
2016-12-27,134.76,135.72,134.71,135.26,2254948
2016-12-28,135.57,135.86,134.66,135.07,3369386
2016-12-29,135.02,135.85,134.63,135.1,2777885
2016-12-30,135.64,135.82,133.83,134.08,4149140
2017-01-03,135.1,135.51,133.59,134.31,5300410
2017-01-04,134.34,135.94,134.21,135.5,4055284
2017-01-05,134.98,135.46,133.78,133.9,3821073
2017-01-06,133.97,134.33,133.05,133.53,3827482
2017-01-09,133.22,134.76,133.14,134.31,4310227
2017-01-10,134.0,136.38,133.77,136.1,5928339
2017-01-11,136.1,136.38,134.74,135.7,4643728
2017-01-12,135.51,135.53,133.94,135.07,3600181
2017-01-13,134.92,135.75,134.76,135.04,3117703
2017-01-17,135.09,136.48,134.76,135.93,3976936
2017-01-18,135.9,136.3,134.92,136.16,3869678
2017-01-19,136.0,136.78,134.93,135.39,5078666
2017-01-20,135.26,136.0,134.6,135.6,4853902
2017-01-23,135.31,138.27,135.0,138.07,7056159
2017-01-24,137.88,138.38,137.3,138.06,4055080
2017-01-25,138.45,139.37,137.43,137.48,3631714
2017-01-26,138.01,139.18,137.71,138.46,2931605
2017-01-27,138.8,138.83,137.7,138.33,3149464
2017-01-30,137.99,138.49,136.86,138.47,2705039
2017-01-31,137.63,138.62,136.85,137.58,3227039
2017-02-01,137.66,137.96,136.53,137.44,2968801
2017-02-02,137.47,137.55,136.56,136.95,2197649
2017-02-03,137.26,138.47,136.97,137.98,2654729
