Date,Open,High,Low,Close,Volume
2016-10-04,115.97,115.98,114.58,114.88,2522176
2016-10-05,115.1,115.82,115.1,115.26,2122923
2016-10-06,115.32,115.89,115.0,115.61,3271259
2016-10-07,107.02,107.56,105.25,106.94,20446322
2016-10-10,107.27,107.96,106.21,106.8,8423126
2016-10-11,106.43,106.43,105.26,105.78,8347150
2016-10-12,105.83,107.75,105.73,107.43,7245113
2016-10-13,106.83,108.68,106.55,108.26,5118365
2016-10-14,109.99,110.07,108.55,109.0,5307134
2016-10-17,108.86,109.4,107.96,108.04,3621559
2016-10-18,109.16,109.17,107.71,107.87,3258816
2016-10-19,108.01,108.66,107.41,108.27,3126166
2016-10-20,108.08,108.58,107.72,108.14,4080660
2016-10-21,107.96,109.6,107.51,108.96,3373386
2016-10-24,109.43,110.12,108.81,109.26,3455660
2016-10-25,109.5,109.51,108.61,109.07,3532951
2016-10-26,108.86,109.75,108.54,109.43,2133682
2016-10-27,109.76,109.89,108.42,108.83,2912052
2016-10-28,109.4,110.88,108.93,109.83,2878656
2016-10-31,109.96,110.17,109.52,109.68,2542359
2016-11-01,109.87,110.19,108.83,109.15,2931513
2016-11-02,109.39,109.39,108.01,108.46,4639498
2016-11-03,108.75,108.82,108.01,108.35,3741822
2016-11-04,108.48,109.2,108.01,108.25,3140285
2016-11-07,109.83,111.34,109.45,111.25,4672502
2016-11-08,111.0,111.51,110.51,110.62,3281938
2016-11-09,111.05,113.14,109.73,112.36,4567463
2016-11-10,113.11,114.5,112.82,113.19,6553559
2016-11-11,113.11,113.51,112.74,113.25,3295715
2016-11-14,113.62,114.36,112.84,113.04,2677070
2016-11-15,113.06,113.44,112.09,113.12,2793997
2016-11-16,112.47,112.83,111.87,112.27,2472485
2016-11-17,112.59,113.39,112.44,113.1,2193113
2016-11-18,112.98,113.0,111.89,112.09,2879131
2016-11-21,112.24,112.48,111.78,112.21,2523254
2016-11-22,112.53,112.76,112.1,112.52,2152556
2016-11-23,112.77,113.96,112.77,113.83,2630418
2016-11-25,113.92,114.36,113.52,114.17,831276
2016-11-28,114.16,114.19,113.34,113.85,2617445
2016-11-29,113.46,114.49,113.29,113.34,3334551
2016-11-30,113.73,114.74,113.28,113.94,5896813
2016-12-01,113.24,114.05,112.81,113.67,3807541
2016-12-02,113.96,114.0,112.17,112.45,3537095
2016-12-05,112.9,113.8,112.71,112.88,3026269
2016-12-06,113.34,113.66,112.66,113.07,2545556
2016-12-07,113.37,116.81,112.81,116.51,7456760
2016-12-08,116.34,117.14,114.83,115.65,5211971
2016-12-09,115.16,116.43,115.03,116.23,2915337
2016-12-12,116.4,117.41,115.68,117.41,5700171
2016-12-13,117.63,118.4,117.3,118.09,4255186
2016-12-14,117.84,118.62,116.28,116.51,4154782
2016-12-15,116.31,117.49,116.15,116.34,3984422
2016-12-16,113.64,117.58,113.6,116.38,7634326
2016-12-19,117.0,118.06,116.8,117.29,3596034
2016-12-20,117.45,118.08,117.3,117.71,2720036
2016-12-21,117.58,117.9,116.93,117.2,2750960
2016-12-22,117.34,117.5,116.61,116.92,3241353
2016-12-23,117.31,117.45,116.72,116.99,1426219
2016-12-27,117.01,117.55,116.8,117.03,1146939
2016-12-28,117.18,117.36,115.7,115.75,2599421
2016-12-29,116.12,116.58,115.8,116.0,1667306
2016-12-30,116.2,116.2,115.42,115.85,2285556
2017-01-03,116.63,116.9,115.56,116.18,3025410
2017-01-04,116.64,116.97,116.03,116.5,2941631
