Date,Open,High,Low,Close,Volume
2016-10-04,95.22,95.82,94.85,95.03,1199567
2016-10-05,95.01,95.27,94.52,94.71,2303295
2016-10-06,94.46,95.57,94.46,95.11,1569737
2016-10-07,95.36,95.52,94.28,95.21,1231371
2016-10-10,95.21,96.54,95.21,95.59,754425
2016-10-11,95.74,95.9,94.34,94.63,719769
2016-10-12,94.69,95.23,94.6,94.95,688445
2016-10-13,94.64,95.91,94.2,95.65,1022246
2016-10-14,95.95,97.18,95.94,96.43,1566730
2016-10-17,96.4,96.76,95.98,96.74,749557
2016-10-18,97.24,97.4,96.24,96.31,776468
2016-10-19,96.2,96.32,95.08,95.63,696960
2016-10-20,95.69,95.8,95.01,95.12,753211
2016-10-21,95.02,95.39,94.03,95.36,1112674
2016-10-24,95.7,96.0,94.98,95.29,648160
2016-10-25,95.5,95.86,94.98,95.81,703597
2016-10-26,95.9,96.52,95.4,96.15,775768
2016-10-27,96.68,97.56,95.34,95.51,2422827
2016-10-28,97.7,103.36,97.7,102.4,4346814
2016-10-31,102.44,103.04,101.46,102.46,1724933
2016-11-01,102.6,102.6,101.45,101.99,1138662
2016-11-02,101.9,102.44,101.16,101.84,1055049
2016-11-03,101.72,101.83,100.39,100.68,838481
2016-11-04,100.8,101.06,99.79,100.0,853261
2016-11-07,100.56,101.71,100.45,101.6,1830812
2016-11-08,101.66,102.95,101.17,101.19,1240886
2016-11-09,99.32,101.02,98.3,100.46,1354945
2016-11-10,100.22,100.22,96.93,97.27,2392999
2016-11-11,97.18,98.35,96.26,97.25,779002
2016-11-14,97.12,99.14,96.5,98.92,1484856
2016-11-15,98.93,99.86,98.71,99.13,1202082
2016-11-16,99.2,100.1,99.05,99.3,942748
2016-11-17,99.09,100.02,98.19,99.16,1350718
2016-11-18,98.96,99.63,97.91,98.56,1218231
2016-11-21,97.47,98.36,96.69,97.79,1232846
2016-11-22,98.14,98.28,97.52,97.72,1033683
2016-11-23,97.44,97.88,96.39,97.16,1083563
2016-11-25,97.68,97.98,97.05,97.73,564405
2016-11-28,97.65,98.48,97.5,97.84,931433
2016-11-29,97.77,98.72,97.06,98.13,1040336
2016-11-30,97.45,98.0,96.53,96.64,4424195
2016-12-01,96.5,97.34,95.68,96.28,1090123
2016-12-02,96.58,97.64,96.2,97.08,825619
2016-12-05,96.95,98.14,96.46,97.89,706474
2016-12-06,98.08,98.7,97.51,98.49,1279844
2016-12-07,98.55,99.29,97.66,99.16,883536
2016-12-08,99.08,99.48,98.29,98.44,947204
2016-12-09,98.43,100.69,98.12,100.3,1725051
2016-12-12,100.25,101.74,100.04,101.1,823911
2016-12-13,101.18,101.96,100.52,100.89,696440
2016-12-14,101.12,101.47,99.6,99.99,731565
2016-12-15,100.1,101.06,98.85,100.71,1377677
2016-12-16,100.91,101.62,100.11,101.16,929254
2016-12-19,101.3,101.54,100.62,101.46,566671
2016-12-20,100.69,102.8,100.65,102.61,928410
2016-12-21,102.97,104.03,102.64,103.17,1002871
2016-12-22,103.5,105.27,103.4,104.44,1505306
2016-12-23,104.41,104.5,103.31,103.62,581534
2016-12-27,103.57,104.04,103.5,103.8,362305
2016-12-28,103.7,103.7,102.89,103.15,467134
2016-12-29,103.07,104.2,103.07,103.99,625130
2016-12-30,103.58,103.85,102.51,103.43,732968
2017-01-03,103.84,104.4,103.26,103.92,686290
2017-01-04,104.15,104.7,103.84,104.12,844226
2017-01-05,103.12,104.26,103.01,103.45,1581821
2017-01-06,104.45,105.22,103.71,104.51,916500
2017-01-09,104.51,104.73,103.54,103.89,890189
2017-01-10,104.38,105.14,103.85,104.83,1126110
2017-01-11,104.48,105.59,104.41,104.95,940975
2017-01-12,104.74,105.48,104.31,104.68,763127
2017-01-13,104.59,105.24,104.35,104.85,679908
2017-01-17,104.82,105.41,104.42,105.17,902355
2017-01-18,105.23,106.28,104.97,105.65,1184670
2017-01-19,105.64,105.7,104.85,105.22,462958
2017-01-20,105.79,106.2,104.97,105.57,623496
2017-01-23,105.56,105.64,104.98,105.3,696101
2017-01-24,105.44,107.25,105.13,106.52,849684
2017-01-25,106.6,106.8,106.0,106.3,699751
2017-01-26,105.97,106.2,105.56,105.67,767207
2017-01-27,105.98,106.02,104.6,105.51,1035277
2017-01-30,105.79,106.09,104.55,105.07,1321827
2017-01-31,105.79,106.3,105.05,105.47,1702805
2017-02-01,105.29,105.94,104.51,105.12,1233994
2017-02-02,105.46,106.07,104.92,105.59,1520776
2017-02-03,103.6,107.44,101.61,106.98,2708558
2017-02-06,107.0,107.7,106.32,107.41,1095059
2017-02-07,107.45,108.06,107.06,107.19,1447611
2017-02-08,107.0,107.5,106.71,106.98,893758
2017-02-09,107.23,109.58,107.23,108.11,1935487
2017-02-10,108.24,108.61,107.44,107.62,979445
2017-02-13,107.5,108.4,107.32,108.21,654517
2017-02-14,107.99,108.4,107.44,108.34,686518
2017-02-15,108.01,109.08,107.68,108.8,1058125
2017-02-16,109.23,109.57,107.36,107.65,1465139
2017-02-17,106.83,107.76,106.51,107.25,1749503
2017-02-21,107.5,108.87,107.12,108.48,1906925
2017-02-22,107.79,108.16,107.58,107.95,839770
2017-02-23,108.09,109.31,107.97,108.65,880584
2017-02-24,108.7,108.99,108.18,108.9,1055640
2017-02-27,108.69,109.0,107.73,107.8,744433
2017-02-28,108.18,109.09,108.12,108.35,1554322
2017-03-01,108.6,109.9,107.82,109.4,1708971
2017-03-02,109.58,109.66,108.58,109.13,1059419
2017-03-03,108.79,109.11,108.09,108.66,883788
2017-03-06,107.97,108.71,107.89,108.6,775203
2017-03-07,108.67,108.88,108.08,108.15,803242
2017-03-08,108.01,108.75,107.32,108.57,1696757
2017-03-09,108.8,109.55,108.28,109.36,993657
2017-03-10,109.8,109.85,108.72,108.93,735630
2017-03-13,108.64,108.93,108.38,108.7,768833
2017-03-14,108.7,108.86,108.28,108.52,679388
2017-03-15,108.61,109.56,108.53,109.29,857571
2017-03-16,109.23,109.5,108.5,109.47,604342
2017-03-17,109.76,109.76,108.96,109.01,1361844
2017-03-20,109.01,109.17,108.49,108.85,946504
2017-03-21,108.42,108.93,107.98,108.11,1196582
2017-03-22,108.4,108.71,107.12,107.94,1173764
2017-03-23,107.92,108.74,107.65,108.1,707552
2017-03-24,108.38,108.62,107.48,107.98,794527
2017-03-27,107.66,108.53,107.45,108.26,854412
2017-03-28,108.03,109.9,107.72,109.15,1338894
2017-03-29,109.1,109.73,108.68,109.61,792894
2017-03-30,109.39,109.62,108.54,108.9,933402
2017-03-31,108.89,109.68,108.25,109.25,1034433
2017-04-03,108.93,109.33,108.66,108.92,1008205
2017-04-04,108.43,108.55,107.74,108.39,935417
2017-04-05,108.52,109.8,108.23,109.07,912700
2017-04-06,109.07,109.27,108.52,108.88,535534
2017-04-07,109.02,109.8,108.61,109.52,961085
2017-04-10,109.62,109.79,108.04,108.32,1426049
2017-04-11,108.13,108.48,107.77,108.41,737166
2017-04-12,108.44,109.1,108.02,109.05,596112
2017-04-13,108.95,108.96,108.15,108.2,571882
2017-04-17,108.31,108.85,108.17,108.7,557401
2017-04-18,108.71,110.0,108.63,109.47,857363
2017-04-19,109.56,109.78,108.36,108.63,656399
2017-04-20,108.74,109.09,108.09,108.8,940267
2017-04-21,108.6,108.74,107.38,107.4,1075170
2017-04-24,107.64,108.62,107.64,108.44,864822
2017-04-25,108.54,108.89,108.29,108.46,941515
2017-04-26,108.62,108.71,106.51,107.5,1788521
2017-04-27,107.79,108.49,107.24,107.38,897814
2017-04-28,106.99,108.26,106.84,108.2,1067208
2017-05-01,108.0,108.2,107.05,107.05,893797
2017-05-02,107.12,107.42,106.71,107.06,879950
2017-05-03,106.82,107.02,106.0,106.74,1231008
2017-05-04,107.39,108.15,106.7,107.28,1136872
2017-05-05,107.65,107.65,107.2,107.55,684657
2017-05-08,107.39,107.49,106.79,107.0,1342086
2017-05-09,106.97,107.28,106.15,106.41,732489
2017-05-10,106.44,107.12,106.18,106.63,791243
2017-05-11,106.33,106.74,106.02,106.55,768702
2017-05-12,106.45,107.23,106.43,107.07,590242
2017-05-15,106.99,107.99,106.8,107.85,802164
2017-05-16,107.99,108.0,107.08,107.21,595437
2017-05-17,106.89,109.65,106.73,108.77,1258063
2017-05-18,108.7,111.18,108.26,110.76,1779578
2017-05-19,110.76,112.15,110.08,111.98,1573202
2017-05-22,111.85,113.36,111.85,112.77,1359819
2017-05-23,112.39,113.82,112.16,113.14,1254190
2017-05-24,113.1,114.47,113.04,114.36,1200596
2017-05-25,114.26,115.74,114.03,115.31,1884426
2017-05-26,115.31,116.49,114.69,115.96,992973
2017-05-30,115.89,115.89,115.05,115.52,729956
2017-05-31,115.73,116.16,115.21,115.27,1652033
2017-06-01,115.59,115.82,114.84,115.82,1279299
2017-06-02,115.27,116.0,114.76,115.88,1058753
2017-06-05,115.72,115.76,115.19,115.43,1320200
2017-06-06,115.43,116.02,115.1,115.48,650021
2017-06-07,115.16,115.55,114.89,115.48,711251
2017-06-08,115.52,115.52,113.49,113.81,1222562
2017-06-09,113.87,114.16,113.26,114.02,833194
2017-06-12,114.22,114.47,113.25,113.6,677647
2017-06-13,113.18,114.26,112.66,114.21,721428
2017-06-14,114.35,115.33,114.19,114.39,745223
2017-06-15,114.04,115.34,113.51,114.88,1356778
2017-06-16,115.0,115.17,110.72,111.83,2287761
2017-06-19,111.96,112.66,110.98,112.3,1259013
2017-06-20,112.34,112.45,111.42,111.59,780527
2017-06-21,111.85,112.53,111.28,111.57,842832
2017-06-22,111.37,111.59,110.49,110.52,763270
2017-06-23,110.29,110.7,109.37,109.81,1264502
2017-06-26,110.11,110.7,109.69,110.28,1089535
2017-06-27,110.03,110.1,108.05,108.18,1025177
2017-06-28,108.65,108.86,107.6,107.67,825865
2017-06-29,107.65,107.65,106.05,106.62,917348
2017-06-30,106.78,108.73,106.78,107.37,1620924
2017-07-03,107.05,107.58,106.29,106.64,716407
2017-07-05,106.64,106.79,105.85,106.31,1715041
2017-07-06,106.38,107.29,106.02,106.43,1198316
2017-07-07,106.66,106.86,105.86,105.91,751731
2017-07-10,106.12,106.26,104.94,104.97,948674
2017-07-11,104.99,105.16,103.77,104.06,1672568
2017-07-12,104.53,105.01,104.36,104.83,951978
2017-07-13,104.84,105.04,104.4,104.8,644819
2017-07-14,105.08,105.63,105.05,105.47,570742
2017-07-17,105.45,106.44,105.3,106.29,843398
