Date,Open,High,Low,Close,Volume
2016-10-04,37.52,37.65,36.91,37.0,2266782
2016-10-05,37.27,37.28,36.28,36.75,2568413
2016-10-06,36.65,36.8,36.3,36.7,1225498
2016-10-07,36.58,36.82,36.26,36.41,1427361
2016-10-10,36.41,36.7,36.35,36.57,994047
2016-10-11,36.67,36.68,35.82,36.12,1384873
2016-10-12,36.16,36.55,35.91,36.26,1212906
2016-10-13,36.19,36.46,35.84,36.17,1147670
2016-10-14,36.27,36.76,36.27,36.6,1807726
2016-10-17,36.65,36.74,36.49,36.58,1404660
2016-10-18,36.72,37.39,36.59,37.3,1685897
2016-10-19,37.29,37.68,37.17,37.53,1843336
2016-10-20,37.53,37.68,37.28,37.65,2130182
2016-10-21,37.51,37.79,37.22,37.64,1730589
2016-10-24,37.71,37.85,37.61,37.81,1213611
2016-10-25,37.84,37.85,37.55,37.61,1303080
2016-10-26,37.39,37.78,37.27,37.4,3006416
2016-10-27,37.53,37.53,36.86,36.88,1273677
2016-10-28,36.97,37.24,36.88,36.9,1432267
2016-10-31,37.0,37.32,36.68,36.79,1468665
2016-11-01,36.9,37.27,36.28,36.82,6937891
2016-11-02,36.82,37.17,36.68,36.8,2368061
2016-11-03,36.9,36.9,36.11,36.16,2513340
2016-11-04,36.1,36.25,35.32,35.53,2842594
2016-11-07,35.9,35.94,35.02,35.73,2904839
2016-11-08,35.6,35.88,35.29,35.6,2191531
2016-11-09,35.47,35.81,35.15,35.41,3803938
2016-11-10,35.55,36.11,35.29,35.31,2987988
2016-11-11,35.33,35.96,35.28,35.49,3254720
2016-11-14,35.49,35.92,34.95,34.99,2057153
2016-11-15,35.17,35.66,34.13,34.75,2973886
2016-11-16,34.58,35.04,34.58,34.95,2394480
2016-11-17,35.09,35.46,34.93,35.4,1589844
2016-11-18,35.36,35.39,34.88,34.94,2439141
2016-11-21,35.15,36.02,35.15,35.82,2870469
2016-11-22,35.69,36.05,35.61,36.01,2450058
2016-11-23,35.75,36.08,35.33,35.47,1744969
2016-11-25,35.5,35.74,35.37,35.47,453936
2016-11-28,35.49,36.02,35.41,35.82,3244056
2016-11-29,35.78,36.0,35.54,35.64,2248913
2016-11-30,35.9,36.18,35.69,35.94,8228307
2016-12-01,35.88,36.15,35.01,35.11,2153568
2016-12-02,35.21,35.32,34.69,34.88,4293530
2016-12-05,34.96,35.17,34.79,34.9,2646352
2016-12-06,34.95,35.25,34.75,35.12,4843846
2016-12-07,35.2,35.49,35.09,35.28,4843725
2016-12-08,35.31,36.03,35.25,35.72,4060741
2016-12-09,35.84,35.98,35.6,35.7,2406553
2016-12-12,35.76,36.06,35.62,35.76,2696860
2016-12-13,35.98,36.1,35.19,35.42,3655845
2016-12-14,35.25,35.32,34.44,34.49,3822363
2016-12-15,34.58,35.38,34.41,34.69,3437680
2016-12-16,34.75,34.95,34.44,34.76,4160178
2016-12-19,34.62,34.83,34.2,34.58,2589259
2016-12-20,34.64,35.31,34.45,35.21,3075531
2016-12-21,35.3,35.57,35.02,35.41,2140719
2016-12-22,35.42,35.63,35.07,35.49,1933880
2016-12-23,35.36,35.8,35.33,35.39,1530149
2016-12-27,35.24,35.6,35.0,35.3,1471936
2016-12-28,35.45,35.45,34.95,35.26,1874053
2016-12-29,35.19,35.4,34.97,35.11,1282244
2016-12-30,35.09,35.58,35.09,35.41,2637317
2017-01-03,35.62,36.12,35.56,35.92,2792168
2017-01-04,35.92,36.23,35.78,36.2,1651319
2017-01-05,36.11,36.58,36.11,36.29,1786706
2017-01-06,36.18,36.78,36.11,36.66,1541366
2017-01-09,36.56,36.8,36.44,36.57,1395515
2017-01-10,36.57,36.74,36.47,36.61,1242192
2017-01-11,36.58,36.82,36.52,36.77,1556735
2017-01-12,36.68,36.86,36.44,36.8,1070778
2017-01-13,36.8,37.11,36.73,37.03,1969065
2017-01-17,37.4,38.34,37.03,38.33,4523418
2017-01-18,38.39,38.63,38.2,38.6,3165118
2017-01-19,38.4,38.75,38.07,38.17,2763940
