Date,Open,High,Low,Close,Volume
2016-10-04,36.31,36.6,36.08,36.56,5100909
2016-10-05,36.76,37.58,36.57,37.36,5997801
2016-10-06,37.17,37.86,36.73,37.68,6813617
2016-10-07,37.89,38.37,37.55,38.04,6688988
2016-10-10,38.22,38.48,37.44,37.54,4378288
2016-10-11,37.53,37.72,37.14,37.24,3830653
2016-10-12,37.24,37.74,36.97,37.54,3730443
2016-10-13,37.29,37.34,36.39,36.8,4712896
2016-10-14,35.97,36.27,35.19,35.57,7822320
2016-10-17,35.53,36.21,34.88,35.09,7208845
2016-10-18,35.25,35.35,34.8,35.2,4659079
2016-10-19,35.15,35.61,34.9,35.59,3200765
2016-10-20,35.6,36.06,35.48,35.87,3277901
2016-10-21,35.76,36.52,35.59,36.51,3349076
2016-10-24,36.69,37.04,36.4,36.64,2991949
2016-10-25,36.24,36.35,35.81,35.93,4082318
2016-10-26,35.82,36.38,35.76,35.95,3899398
2016-10-27,36.0,36.17,35.13,35.3,5347221
2016-10-28,35.32,35.9,35.24,35.56,4083239
2016-10-31,36.02,36.56,35.8,36.49,6991042
2016-11-01,36.44,37.35,36.42,36.84,7156028
2016-11-02,36.86,37.09,36.56,36.89,5097251
2016-11-03,37.04,37.46,36.81,36.89,5952334
2016-11-04,36.97,37.46,36.8,36.85,4210241
2016-11-07,37.23,37.8,37.1,37.77,4792338
2016-11-08,37.71,38.24,37.48,37.87,5347968
2016-11-09,37.19,38.91,36.75,38.38,11462487
2016-11-10,39.99,42.0,39.6,40.53,18878735
2016-11-11,40.49,41.37,40.17,41.36,9285733
2016-11-14,41.1,43.94,41.1,41.56,13391242
2016-11-15,41.57,41.79,40.45,41.39,7689786
2016-11-16,41.79,42.06,41.2,41.84,5874239
2016-11-17,41.94,43.09,41.68,43.05,6277021
2016-11-18,42.72,43.22,41.96,43.03,5055445
2016-11-21,43.14,43.6,42.85,43.19,3919340
2016-11-22,43.74,44.68,43.48,44.46,6643895
2016-11-23,44.21,45.16,44.19,44.91,5411744
2016-11-25,45.15,45.41,44.09,44.14,3061509
2016-11-28,43.75,44.0,42.86,43.13,7049142
2016-11-29,43.27,43.61,42.39,42.49,5770546
2016-11-30,42.39,42.66,41.58,42.2,6986774
2016-12-01,42.01,43.45,41.9,42.42,5248235
2016-12-02,42.49,43.04,42.25,42.48,3662473
2016-12-05,42.62,43.0,41.52,41.91,7201829
2016-12-06,41.8,42.68,41.33,42.4,6825860
2016-12-07,42.56,43.23,42.35,43.18,4518899
2016-12-08,43.21,43.79,42.67,43.07,4230558
2016-12-09,43.04,43.08,42.17,42.44,3613151
2016-12-12,42.24,42.3,40.37,40.46,8359123
2016-12-13,40.25,40.92,39.99,40.71,5360146
2016-12-14,40.58,40.92,40.14,40.16,4294584
2016-12-15,40.09,40.66,40.05,40.14,6317024
2016-12-16,39.77,39.78,37.32,37.47,12889767
2016-12-19,37.36,37.88,36.94,37.0,7911111
2016-12-20,37.25,38.16,37.25,37.95,6167077
2016-12-21,37.86,37.97,37.48,37.51,2991224
2016-12-22,37.53,37.67,36.05,36.17,6756141
2016-12-23,36.28,36.93,36.26,36.48,4269404
2016-12-27,36.67,37.23,36.26,36.53,4671261
2016-12-28,36.61,36.93,36.12,36.28,3521569
2016-12-29,36.24,36.6,35.92,36.29,3121602
2016-12-30,36.36,36.5,35.61,35.81,3788295
2017-01-03,36.13,36.2,34.79,35.23,9777618
2017-01-04,35.51,36.4,35.48,35.84,9508705
2017-01-05,31.57,31.85,30.51,30.86,29249122
2017-01-06,30.82,31.52,30.55,30.82,11484816
2017-01-09,30.88,30.99,30.35,30.46,9250337
2017-01-10,30.64,30.68,30.12,30.3,10683650
