Date,Open,High,Low,Close,Volume
2016-10-04,102.03,102.21,101.04,101.22,2881907
2016-10-05,101.32,102.67,101.32,102.4,3768727
2016-10-06,102.4,103.17,102.02,102.94,3875630
2016-10-07,103.05,103.49,101.98,102.25,4225571
2016-10-10,102.7,103.37,102.55,102.65,2376543
2016-10-11,102.54,102.63,100.82,101.35,3412894
2016-10-12,101.56,101.91,101.05,101.36,3467809
2016-10-13,100.75,101.49,99.78,100.65,3657359
2016-10-14,101.1,102.2,100.81,100.88,3280440
2016-10-17,100.96,101.26,100.62,100.85,1975512
2016-10-18,101.78,102.12,101.06,101.73,2624478
2016-10-19,101.8,102.85,101.63,102.73,3305249
2016-10-20,102.79,103.37,102.35,102.55,2945336
2016-10-21,102.13,103.0,101.96,102.85,3018831
2016-10-24,103.15,103.92,102.96,103.19,2565640
2016-10-25,103.09,103.24,102.29,102.88,4869340
2016-10-26,102.56,103.46,102.53,103.22,3355991
2016-10-27,103.19,104.3,103.19,103.6,5096126
2016-10-28,105.05,107.83,104.61,106.9,9282807
2016-10-31,107.4,108.93,106.47,107.02,5819961
2016-11-01,107.0,107.12,104.79,104.96,7076472
2016-11-02,104.28,105.0,104.0,104.0,3527547
2016-11-03,103.52,104.46,103.51,103.78,3127329
2016-11-04,103.9,104.43,103.03,103.03,3067158
2016-11-07,104.58,106.03,104.53,105.96,3067483
2016-11-08,105.74,106.47,105.53,105.7,2864292
2016-11-09,104.91,106.45,103.86,106.19,4774953
2016-11-10,106.66,107.14,102.45,104.5,6584263
2016-11-11,103.86,105.06,103.66,104.62,3300333
2016-11-14,105.02,105.1,100.36,101.14,7106775
2016-11-15,101.38,102.99,101.38,102.48,4633090
2016-11-16,102.43,104.0,102.43,104.0,4567900
2016-11-17,104.4,105.25,103.74,104.45,3096198
2016-11-18,104.65,105.1,104.3,104.78,3274975
2016-11-21,104.78,106.0,104.69,105.94,2650805
2016-11-22,106.0,106.13,104.74,105.93,4570145
2016-11-23,105.6,105.91,104.29,104.56,4955392
2016-11-25,104.62,105.73,104.53,105.73,1566890
2016-11-28,105.42,105.42,103.05,103.36,5401709
2016-11-29,103.68,104.37,103.34,103.82,3356613
2016-11-30,103.54,104.28,101.38,102.2,6889198
2016-12-01,102.33,102.58,99.51,100.18,5452096
2016-12-02,100.25,101.14,99.82,101.1,3981126
2016-12-05,101.87,103.66,101.8,103.55,5428094
2016-12-06,103.82,103.98,101.8,102.0,4975235
2016-12-07,103.02,105.57,102.62,105.25,5423503
2016-12-08,105.18,105.49,103.86,104.82,3024709
2016-12-09,104.81,105.1,104.0,104.41,2541027
2016-12-12,104.34,104.4,103.16,103.28,3827659
2016-12-13,103.57,104.6,102.94,103.32,4297700
2016-12-14,102.91,104.84,102.91,103.28,3515753
2016-12-15,104.43,105.71,104.0,104.35,3774508
2016-12-16,104.82,104.82,103.05,103.43,4659700
2016-12-19,103.7,104.2,103.45,103.54,2980942
2016-12-20,104.05,104.56,103.14,104.54,2354402
2016-12-21,104.48,104.97,103.9,104.17,1952688
2016-12-22,104.43,104.76,103.16,104.31,2464555
2016-12-23,104.3,105.16,104.01,104.71,1610663
2016-12-27,104.9,105.64,104.7,104.8,2160732
2016-12-28,104.7,104.78,103.54,103.68,2552285
2016-12-29,103.81,104.37,103.44,103.77,2858590
2016-12-30,103.86,104.06,102.98,103.25,3834723
