Date,Open,High,Low,Close,Volume
2016-10-04,102.82,102.88,102.1,102.15,3305007
2016-10-05,101.09,103.36,101.09,103.18,4512000
2016-10-06,103.25,103.77,103.2,103.5,3371163
2016-10-07,103.75,103.89,103.25,103.36,2391704
2016-10-10,103.77,103.89,102.9,102.97,989674
2016-10-11,102.7,103.49,102.27,103.33,1803877
2016-10-12,103.36,103.4,102.31,102.32,1601222
2016-10-13,101.8,102.8,101.54,102.54,2187386
2016-10-14,102.68,102.8,101.64,102.11,3217128
2016-10-17,102.02,102.38,101.62,102.17,1729583
2016-10-18,102.89,103.0,102.1,102.67,2022257
2016-10-19,103.0,103.2,102.32,102.49,1443959
2016-10-20,102.09,102.96,101.72,102.86,1777270
2016-10-21,102.34,102.46,101.62,102.07,2857501
2016-10-24,101.63,102.61,101.4,102.0,3744383
2016-10-25,102.0,102.0,101.14,101.4,2187509
2016-10-26,101.26,101.74,100.99,101.33,1688596
2016-10-27,101.52,101.6,100.88,101.02,1533766
2016-10-28,101.15,101.58,100.51,100.98,1546366
2016-10-31,100.93,101.53,100.5,100.77,1660683
2016-11-01,100.63,101.0,100.24,100.69,1878706
2016-11-02,100.55,100.85,99.68,99.78,2514790
2016-11-03,99.74,99.78,98.6,98.81,3254091
2016-11-04,98.81,99.4,98.36,98.52,1948389
2016-11-07,99.05,99.49,98.56,99.19,1692944
2016-11-08,99.32,99.71,98.61,99.44,1561848
2016-11-09,98.25,99.57,98.1,98.94,3115929
2016-11-10,99.21,99.4,97.75,97.93,3367798
2016-11-11,97.62,98.2,97.35,97.9,3138504
2016-11-14,97.68,98.53,97.44,98.09,1721536
2016-11-15,97.87,99.71,97.65,99.09,3894156
2016-11-16,99.46,101.99,99.38,100.73,3627931
2016-11-17,100.68,101.16,100.25,100.66,1928710
2016-11-18,100.6,101.27,100.29,101.21,1368350
2016-11-21,101.0,101.5,100.9,101.32,1458273
2016-11-22,101.88,102.14,101.39,101.75,1727782
2016-11-23,101.37,102.44,100.87,102.42,1375158
2016-11-25,102.11,102.61,102.02,102.56,964523
2016-11-28,102.3,102.56,101.52,102.03,1630755
2016-11-29,101.91,102.59,101.56,102.39,1261307
