Date,Open,High,Low,Close,Volume
2016-10-04,62.48,62.95,61.94,62.46,7897397
2016-10-05,62.7,63.04,62.48,62.8,7871322
2016-10-06,62.49,62.69,61.74,62.66,11430486
2016-10-07,62.77,62.99,62.03,62.77,10775249
2016-10-10,64.21,64.86,63.44,63.9,20345855
2016-10-11,63.53,63.55,61.75,61.93,13955380
2016-10-12,62.4,62.63,61.58,61.66,10121895
2016-10-13,62.25,62.95,61.94,62.51,14541462
2016-10-14,62.72,62.86,62.13,62.14,12204208
2016-10-17,62.05,62.05,60.8,61.52,13054599
2016-10-18,61.9,62.62,61.83,62.09,9987994
2016-10-19,62.13,62.3,61.81,61.87,5582664
2016-10-20,61.95,62.26,61.69,61.92,6323380
2016-10-21,61.55,61.9,61.03,61.2,7406681
2016-10-24,61.4,61.48,60.64,60.75,9942972
2016-10-25,60.27,62.19,59.55,61.95,15188534
2016-10-26,61.74,61.85,60.55,60.87,9957770
2016-10-27,61.15,62.06,61.0,61.29,10350697
2016-10-28,61.02,61.07,58.45,58.84,20358443
2016-10-31,59.09,59.15,58.37,58.72,14254834
2016-11-01,59.0,59.58,58.51,59.3,14347359
2016-11-02,59.06,59.51,58.75,58.84,10724665
2016-11-03,59.18,59.22,58.29,58.43,11323033
2016-11-04,58.69,59.26,58.61,58.82,11318595
2016-11-07,59.52,60.21,59.48,60.05,10478263
2016-11-08,59.82,60.78,59.52,60.51,7942104
2016-11-09,63.96,65.0,62.76,64.18,27851126
2016-11-10,64.54,65.46,64.52,64.96,17862251
2016-11-11,64.08,64.51,63.58,63.95,14059705
2016-11-14,64.0,64.09,63.24,63.53,10124450
2016-11-15,63.68,63.73,63.08,63.65,7290447
2016-11-16,63.7,63.95,62.45,62.63,10780233
2016-11-17,62.51,62.79,62.12,62.7,8361274
2016-11-18,62.57,62.62,61.73,61.87,7696863
2016-11-21,61.94,62.39,61.72,62.3,6836678
2016-11-22,62.5,62.65,61.2,61.7,9592213
2016-11-23,60.33,61.7,59.82,61.64,10242995
2016-11-25,61.82,62.4,61.75,62.21,3501268
2016-11-28,61.78,62.06,61.62,61.8,7449431
2016-11-29,61.95,62.46,61.92,62.19,10034927
2016-11-30,62.31,62.32,60.99,61.19,12530731
2016-12-01,61.3,61.37,60.65,60.76,8398879
2016-12-02,61.05,61.52,60.62,61.13,7993092
2016-12-05,61.52,61.53,59.84,60.25,12985234
2016-12-06,60.18,60.39,59.61,60.28,10659613
2016-12-07,59.7,60.06,58.62,60.06,14049574
2016-12-08,59.73,60.36,59.5,60.12,8586550
