Date,Open,High,Low,Close,Volume
2016-10-04,75.13,75.6,74.01,74.42,978526
2016-10-05,74.7,74.94,74.12,74.35,1084420
2016-10-06,74.34,74.78,74.05,74.64,626971
2016-10-07,74.79,74.79,73.74,74.48,683025
2016-10-10,74.89,74.99,74.4,74.67,501097
2016-10-11,74.66,74.7,73.09,73.5,874190
2016-10-12,74.21,74.97,73.55,73.76,1578530
2016-10-13,73.55,73.55,72.3,73.06,1231386
2016-10-14,73.53,74.05,73.34,73.58,766086
2016-10-17,73.66,73.98,73.09,73.13,792669
2016-10-18,73.79,74.2,73.68,73.8,477671
2016-10-19,74.03,74.2,73.43,73.8,671523
2016-10-20,73.75,73.94,73.4,73.57,510185
2016-10-21,73.11,73.69,72.98,73.62,586553
2016-10-24,74.11,74.91,73.87,74.49,591640
2016-10-25,74.35,74.53,73.74,74.16,946293
2016-10-26,74.07,74.4,73.55,73.58,651711
2016-10-27,73.67,73.93,73.22,73.48,1016547
2016-10-28,73.56,74.23,72.75,72.83,1036786
2016-10-31,72.71,73.04,72.05,72.58,1020705
2016-11-01,72.9,72.98,71.82,72.32,648833
2016-11-02,72.29,72.75,71.51,71.57,1075943
2016-11-03,71.71,72.3,71.24,71.29,1308751
2016-11-04,72.56,76.02,72.54,75.9,2657164
2016-11-07,76.78,77.74,76.64,77.71,1407454
2016-11-08,77.83,79.08,77.52,78.56,1517229
2016-11-09,77.46,79.44,77.09,78.96,1344992
2016-11-10,79.3,79.83,78.57,79.19,918924
2016-11-11,79.13,80.5,79.01,80.38,1340713
2016-11-14,80.5,81.37,80.46,80.6,1141155
2016-11-15,80.9,81.83,80.69,81.8,1390162
2016-11-16,81.79,82.2,80.49,80.51,1395217
2016-11-17,80.39,81.43,79.93,80.35,1262523
2016-11-18,80.6,80.6,79.88,79.98,724772
2016-11-21,80.21,80.4,79.06,79.83,1203033
2016-11-22,80.04,80.64,79.59,80.31,1083719
2016-11-23,80.36,81.01,80.0,80.26,1134359
2016-11-25,80.25,81.2,80.25,80.98,392779
2016-11-28,80.82,81.07,80.55,80.86,768969
2016-11-29,80.66,81.3,80.65,81.11,674079
2016-11-30,81.12,81.2,80.1,80.25,1589526
2016-12-01,80.25,80.85,78.81,79.19,1158519
2016-12-02,79.16,79.68,78.7,79.5,949253
2016-12-05,79.85,80.92,79.32,80.92,1568626
2016-12-06,81.19,82.27,80.79,82.22,1258541
2016-12-07,82.34,83.28,82.05,83.27,1240997
2016-12-08,83.32,83.57,82.65,83.3,757530
2016-12-09,83.31,83.43,82.64,82.79,686375
2016-12-12,82.63,82.74,81.95,82.6,913574
2016-12-13,82.24,83.9,82.09,83.24,642019
2016-12-14,83.35,83.72,82.71,82.9,641443
2016-12-15,82.9,83.95,82.56,83.46,714567
2016-12-16,83.68,83.86,82.99,83.4,1613158
2016-12-19,83.34,84.26,82.61,83.93,739436
2016-12-20,84.1,84.41,83.6,83.76,533205
2016-12-21,83.86,87.55,83.71,84.0,2054412
2016-12-22,84.12,84.44,83.26,83.72,639389
2016-12-23,83.62,83.8,83.21,83.41,399932
2016-12-27,83.41,84.07,83.39,83.52,477038
2016-12-28,83.6,83.73,82.74,82.86,329795
2016-12-29,82.85,83.47,82.54,82.87,414522
2016-12-30,83.17,83.34,82.56,82.89,500925
2017-01-03,83.39,83.92,83.02,83.6,1028958
2017-01-04,83.55,83.93,83.12,83.49,778225
2017-01-05,83.24,83.63,82.0,82.64,735134
2017-01-06,82.88,83.41,82.51,82.89,587858
2017-01-09,82.89,83.11,82.58,83.02,853340
2017-01-10,82.96,83.08,82.13,82.63,627094
2017-01-11,82.3,82.91,82.3,82.88,522754
2017-01-12,82.61,82.61,81.63,82.18,624444
2017-01-13,82.39,83.09,82.07,82.27,542541
2017-01-17,81.81,82.1,80.57,80.73,865736
2017-01-18,80.97,81.68,80.55,81.65,709339
2017-01-19,81.69,82.26,81.28,81.86,566706
2017-01-20,82.07,82.51,81.83,82.36,616416
2017-01-23,82.64,83.5,81.95,82.44,855697
2017-01-24,82.58,84.82,82.32,84.35,1126392
2017-01-25,84.69,85.44,84.49,85.29,994824
2017-01-26,85.11,85.29,83.35,83.36,1298859
2017-01-27,83.38,83.38,81.68,82.98,1238580
2017-01-30,82.39,83.07,81.18,81.7,1685585
2017-01-31,81.35,81.7,79.9,80.71,1381219
