Date,Open,High,Low,Close,Volume
2016-10-04,67.71,69.99,67.58,69.83,1985651
2016-10-05,70.25,72.09,70.05,71.9,1686515
2016-10-06,71.79,72.08,71.31,72.04,1188152
2016-10-07,72.04,72.08,71.31,71.95,1168574
2016-10-10,72.35,72.74,72.0,72.07,643869
2016-10-11,71.88,72.04,70.6,71.07,887655
2016-10-12,71.16,71.7,70.78,71.11,639495
2016-10-13,70.35,70.35,68.78,69.81,994343
2016-10-14,70.57,71.3,70.31,70.59,951755
2016-10-17,70.8,71.63,70.01,70.27,935952
2016-10-18,71.2,71.36,70.84,70.95,814680
2016-10-19,69.93,71.59,69.46,71.13,1696983
2016-10-20,71.14,71.98,70.89,70.98,1044637
2016-10-21,70.27,71.02,70.0,70.98,1652285
2016-10-24,71.46,71.65,70.94,70.98,885565
2016-10-25,70.97,71.28,70.27,70.32,1124593
2016-10-26,70.12,71.59,69.92,71.46,927640
2016-10-27,71.95,72.77,71.32,72.4,1915766
2016-10-28,72.71,72.79,71.77,72.4,1394543
2016-10-31,72.72,72.91,72.37,72.42,1170923
2016-11-01,72.88,72.92,72.11,72.72,1513195
2016-11-02,72.44,72.5,71.62,72.02,1060597
2016-11-03,72.35,73.16,72.11,72.38,1060336
2016-11-04,72.58,72.88,71.94,72.08,953478
2016-11-07,73.56,74.0,72.91,74.0,1538548
2016-11-08,73.87,74.45,73.16,73.98,1155531
2016-11-09,74.97,77.28,74.32,77.15,2389844
2016-11-10,77.49,79.78,76.87,78.52,3109624
2016-11-11,78.12,80.01,78.06,79.88,2266039
2016-11-14,80.62,82.91,80.21,82.82,3620448
2016-11-15,82.24,83.09,80.67,82.97,2310439
2016-11-16,81.98,82.34,80.55,81.04,1595281
2016-11-17,81.1,81.97,80.93,81.5,1469239
2016-11-18,81.64,82.15,81.33,81.5,1300105
2016-11-21,81.71,82.28,81.01,81.89,1150098
2016-11-22,82.13,82.13,81.2,81.91,1033209
2016-11-23,82.23,82.59,81.0,82.02,1191514
2016-11-25,82.25,82.5,81.77,82.15,471621
2016-11-28,81.54,82.12,80.49,80.59,1326914
2016-11-29,80.86,81.68,80.86,81.14,1181194
2016-11-30,81.75,82.9,81.32,82.15,1475814
2016-12-01,82.56,85.97,81.62,85.42,2831535
2016-12-02,84.96,85.54,83.77,84.51,1718997
2016-12-05,85.05,86.19,84.95,85.4,1575966
2016-12-06,85.59,86.4,85.0,86.38,991334
2016-12-07,86.33,89.38,86.33,89.31,3020414
2016-12-08,88.81,90.53,88.39,89.77,1841878
2016-12-09,89.37,89.5,88.71,89.37,1834004
2016-12-12,89.42,89.96,88.09,88.81,1441346
2016-12-13,88.78,89.57,88.04,89.0,2055758
2016-12-14,88.35,90.4,87.51,88.5,2419245
2016-12-15,88.9,90.96,88.4,90.06,1801495
2016-12-16,90.3,90.5,88.34,88.46,2301875
2016-12-19,88.54,88.97,87.47,88.67,874055
2016-12-20,89.33,90.69,88.9,90.15,1203916
2016-12-21,89.66,90.27,89.0,90.08,877424
2016-12-22,90.28,90.42,89.27,89.7,866291
2016-12-23,89.66,89.66,88.81,89.53,434113
2016-12-27,89.52,89.98,88.44,89.84,393092
2016-12-28,90.34,90.49,89.05,89.21,661368
2016-12-29,89.21,89.6,87.86,88.63,773390
2016-12-30,89.07,89.25,88.39,89.05,770417
2017-01-03,90.34,90.5,88.95,89.64,1445315
2017-01-04,89.99,90.68,88.89,90.49,1338314
2017-01-05,90.38,90.85,89.0,90.1,1261490
