Date,Open,High,Low,Close,Volume
2016-10-04,14.88,14.99,14.66,14.69,5543919
2016-10-05,14.67,15.22,14.63,15.17,4856891
2016-10-06,15.06,15.18,14.73,15.08,5427000
2016-10-07,15.09,15.1,14.45,14.52,1357101
2016-10-10,14.5,14.74,14.15,14.25,1420454
2016-10-11,14.3,14.3,13.85,14.0,866747
2016-10-12,13.95,14.05,13.75,13.75,905604
2016-10-13,13.7,13.95,13.58,13.85,643866
2016-10-14,14.3,14.3,13.65,13.75,595131
2016-10-17,13.75,13.8,13.62,13.8,418146
2016-10-18,14.0,14.05,13.65,13.9,711822
2016-10-19,14.0,14.1,13.8,14.0,673354
2016-10-20,14.25,14.25,13.5,13.8,782940
2016-10-21,13.6,13.85,13.55,13.7,690551
2016-10-24,13.75,13.85,13.2,13.2,2206871
2016-10-25,13.3,13.7,12.9,13.0,772987
2016-10-26,12.9,13.25,12.9,13.15,747559
2016-10-27,13.0,13.0,12.42,12.6,1382923
2016-10-28,12.6,12.8,12.45,12.5,782046
2016-10-31,12.5,12.7,12.4,12.4,1360170
2016-11-01,12.5,12.7,12.2,12.4,969806
2016-11-02,12.4,12.45,12.05,12.1,966033
2016-11-03,12.1,12.4,12.05,12.15,1115547
2016-11-04,12.25,12.4,12.1,12.15,1182448
2016-11-07,12.3,12.6,12.2,12.5,626836
2016-11-08,11.5,12.2,11.25,12.1,1284401
2016-11-09,12.0,12.55,11.85,12.35,749470
2016-11-10,12.35,12.55,12.05,12.35,1141340
2016-11-11,12.2,12.45,12.15,12.35,1225606
2016-11-14,12.35,12.7,12.25,12.5,1271113
2016-11-15,12.45,12.6,12.3,12.35,671610
2016-11-16,12.25,12.45,12.05,12.35,850416
2016-11-17,12.35,12.5,12.25,12.35,462615
2016-11-18,12.3,12.4,12.15,12.2,475325
2016-11-21,12.2,12.25,12.0,12.05,742108
2016-11-22,12.0,12.15,11.9,12.0,781874
2016-11-23,12.05,12.15,11.95,12.1,536465
2016-11-25,12.2,12.32,12.1,12.1,373967
2016-11-28,12.15,12.32,12.05,12.1,1033620
2016-11-29,12.05,12.15,11.75,11.9,677437
2016-11-30,11.9,12.02,11.78,11.95,497066
2016-12-01,11.95,12.15,11.85,12.0,539672
2016-12-02,12.05,12.15,12.0,12.05,1113124
2016-12-05,12.05,12.15,11.95,12.05,715981
2016-12-06,12.05,12.15,11.95,12.05,1248175
2016-12-07,12.05,12.25,12.0,12.15,1564313
2016-12-08,12.15,12.35,12.1,12.2,1207127
2016-12-09,12.2,12.5,12.2,12.4,686638
2016-12-12,12.3,12.48,12.3,12.3,1064554
2016-12-13,12.35,12.55,12.15,12.25,2570753
2016-12-14,12.25,12.42,12.15,12.2,892050
2016-12-15,12.25,12.4,11.98,12.05,744951
2016-12-16,12.1,12.2,11.85,12.0,1498866
2016-12-19,12.0,12.15,11.95,12.15,478710
2016-12-20,12.15,12.2,11.9,11.95,966166
2016-12-21,12.0,12.12,11.85,12.05,712737
2016-12-22,12.05,12.15,11.95,12.05,363390
2016-12-23,12.1,12.15,12.0,12.05,182187
2016-12-27,12.1,12.25,12.1,12.25,298471
2016-12-28,12.25,12.3,12.0,12.05,376326
2016-12-29,12.0,12.1,11.85,12.05,685790
2016-12-30,12.15,12.15,11.75,11.8,550932
2017-01-03,11.95,12.25,11.9,12.05,913020
2017-01-04,12.05,12.3,12.05,12.25,736554
2017-01-05,12.2,12.35,12.18,12.25,812078
2017-01-06,12.25,12.4,12.1,12.25,367920
2017-01-09,12.25,12.45,12.25,12.4,471092
2017-01-10,12.35,12.5,12.28,12.5,638893
2017-01-11,12.45,12.55,12.32,12.55,800314
2017-01-12,12.5,12.6,12.3,12.45,1156985
2017-01-13,12.45,12.58,12.4,12.45,381690
2017-01-17,12.4,12.72,12.3,12.7,530072
2017-01-18,12.7,12.7,12.4,12.55,867626
2017-01-19,12.55,12.6,12.4,12.45,439784
2017-01-20,12.45,12.55,12.35,12.35,644177
2017-01-23,12.35,12.45,12.3,12.4,471367
2017-01-24,12.35,12.63,12.3,12.6,359058
2017-01-25,12.6,12.8,12.55,12.7,791996
2017-01-26,12.75,12.8,12.5,12.55,424234
2017-01-27,12.55,12.7,12.5,12.65,613250
2017-01-30,12.7,12.7,12.45,12.7,445588
2017-01-31,12.7,12.7,12.4,12.65,457659
2017-02-01,12.65,12.75,12.5,12.7,379529
2017-02-02,12.7,12.7,12.5,12.6,414060
2017-02-03,12.6,12.65,12.5,12.6,280066
2017-02-06,12.6,12.7,12.55,12.55,185795
2017-02-07,12.55,12.6,12.4,12.55,386514
2017-02-08,12.55,12.55,12.35,12.45,283591
2017-02-09,12.4,12.75,12.4,12.75,494645
2017-02-10,12.5,13.75,12.5,13.6,749174
2017-02-13,13.7,13.8,13.35,13.35,658726
2017-02-14,13.4,13.5,13.25,13.35,561356
2017-02-15,13.2,13.52,13.2,13.45,1495515
2017-02-16,13.45,13.5,13.28,13.4,557255
2017-02-17,13.4,13.55,13.2,13.5,634187
2017-02-21,13.5,13.8,13.4,13.65,850299
2017-02-22,13.65,13.65,13.4,13.6,421981
2017-02-23,13.65,13.65,13.38,13.5,441741
2017-02-24,13.5,13.5,13.22,13.4,277347
2017-02-27,13.4,13.5,13.3,13.4,596660
2017-02-28,13.35,13.4,13.1,13.2,515750
2017-03-01,13.3,13.5,13.25,13.4,353815
2017-03-02,13.4,13.45,13.15,13.25,455784
2017-03-03,13.25,13.25,13.1,13.25,417255
2017-03-06,13.15,13.3,13.1,13.25,328753
2017-03-07,13.2,13.4,12.9,13.0,499694
2017-03-08,12.9,13.05,12.78,12.8,458465
2017-03-09,12.9,12.9,12.66,12.8,406123
2017-03-10,12.85,12.9,12.55,12.8,322801
2017-03-13,12.7,12.75,12.52,12.55,441392
2017-03-14,12.55,12.7,12.5,12.7,294926
2017-03-15,12.75,12.95,12.6,12.9,386535
2017-03-16,12.8,12.98,12.8,12.9,274475
2017-03-17,12.95,13.05,12.85,12.95,559092
2017-03-20,13.0,13.0,12.82,12.9,210688
2017-03-21,13.0,13.05,12.8,12.85,610908
2017-03-22,12.95,12.95,12.75,12.95,593350
2017-03-23,12.95,13.02,12.85,12.95,804044
2017-03-24,13.0,13.08,12.88,12.95,512857
2017-03-27,12.9,13.05,12.85,12.95,553414
2017-03-28,12.95,13.3,12.95,13.25,548858
2017-03-29,13.25,13.5,13.2,13.45,790627
2017-03-30,13.5,13.8,13.4,13.7,2143179
2017-03-31,13.7,13.7,13.32,13.5,511279
2017-04-03,13.55,13.55,13.2,13.25,446278
2017-04-04,13.25,13.35,13.1,13.15,569526
2017-04-05,13.15,13.2,12.92,13.05,455116
2017-04-06,13.0,13.09,12.85,12.95,396022
2017-04-07,12.9,12.95,12.85,12.9,159220
2017-04-10,12.9,13.05,12.85,12.9,300946
2017-04-11,12.85,12.95,12.8,12.85,382299
2017-04-12,12.9,13.0,12.82,12.95,416380
2017-04-13,12.85,12.95,12.7,12.7,320222
2017-04-17,12.8,12.9,12.7,12.85,279680
2017-04-18,12.85,12.85,12.6,12.7,413404
2017-04-19,12.75,12.95,12.75,12.85,249767
2017-04-20,12.85,13.45,12.85,13.35,457792
2017-04-21,13.3,13.4,13.12,13.3,453437
2017-04-24,13.4,13.45,13.3,13.35,1093413
2017-04-25,13.4,13.5,13.35,13.45,199996
