Date,Open,High,Low,Close,Volume
2016-10-04,276.35,277.94,273.56,274.37,666055
2016-10-05,275.39,276.55,274.61,274.86,544115
2016-10-06,274.43,277.78,273.11,277.56,520988
2016-10-07,278.62,278.62,274.64,275.38,505553
2016-10-10,275.8,278.49,275.69,277.73,318772
2016-10-11,277.19,277.19,274.27,274.59,572752
2016-10-12,273.94,276.94,273.91,276.26,638803
2016-10-13,275.27,279.01,274.57,278.89,614720
2016-10-14,280.1,283.2,279.12,279.32,521282
2016-10-17,279.07,280.41,277.76,277.97,820586
2016-10-18,279.84,281.11,276.32,278.07,510047
2016-10-19,276.01,281.48,273.55,278.06,902033
2016-10-20,277.36,279.79,273.65,273.88,733731
2016-10-21,272.78,276.25,271.8,275.56,665064
2016-10-24,277.92,279.53,277.25,279.29,622952
2016-10-25,278.03,280.39,277.2,280.27,725523
2016-10-26,279.95,279.95,276.86,277.16,963641
2016-10-27,270.0,273.52,251.62,253.0,3364244
2016-10-28,253.02,264.26,253.02,263.5,2725857
2016-10-31,263.68,265.25,261.34,264.44,1378772
2016-11-01,263.9,265.93,262.45,264.24,1055232
2016-11-02,264.09,265.97,262.55,262.7,808962
2016-11-03,262.71,264.49,261.22,261.84,719026
2016-11-04,259.67,263.98,259.67,261.2,1064036
2016-11-07,264.75,264.87,259.0,259.61,1324844
2016-11-08,259.36,261.86,258.33,259.58,1038825
2016-11-09,254.28,265.19,250.07,264.15,1109778
2016-11-10,264.0,266.44,261.08,262.54,943239
2016-11-11,261.43,264.51,261.05,262.79,967433
2016-11-14,263.16,264.17,261.04,262.14,1522945
2016-11-15,267.89,269.21,263.41,268.05,1192820
2016-11-16,267.14,269.98,265.56,269.9,867738
2016-11-17,268.38,272.29,267.95,270.99,841766
2016-11-18,269.75,272.19,264.92,265.74,915560
2016-11-21,265.75,270.67,265.58,270.01,812212
2016-11-22,271.68,275.17,270.06,275.0,812728
2016-11-23,275.29,277.69,273.4,275.47,801952
2016-11-25,275.0,279.0,274.92,276.61,324195
2016-11-28,276.71,279.36,274.38,274.63,609164
2016-11-29,274.63,278.2,274.34,275.39,561880
2016-11-30,275.72,276.44,274.14,274.5,895299
2016-12-01,273.62,276.19,272.42,273.06,751627
2016-12-02,273.27,275.36,272.17,273.94,722707
2016-12-05,274.45,277.81,274.43,276.47,911459
2016-12-06,277.51,278.79,276.02,277.68,506856
2016-12-07,278.23,285.45,278.1,285.2,892263
