Date,Open,High,Low,Close,Volume
2016-10-04,45.25,45.56,44.37,44.74,901313
2016-10-05,44.74,45.34,44.56,45.11,1155973
2016-10-06,44.87,45.37,44.6,45.36,735543
2016-10-07,45.51,45.59,45.05,45.34,836811
2016-10-10,45.59,46.16,45.2,45.92,508593
2016-10-11,45.67,46.36,45.16,45.5,884438
2016-10-12,45.43,45.56,45.02,45.5,842089
2016-10-13,45.27,45.48,45.11,45.3,1145569
2016-10-14,45.42,45.43,44.41,44.41,939464
2016-10-17,44.4,44.52,44.07,44.09,544291
2016-10-18,44.57,44.84,44.15,44.58,608170
2016-10-19,44.66,44.79,44.35,44.39,574001
2016-10-20,44.21,44.33,43.77,44.05,1017963
2016-10-21,43.81,44.11,43.41,43.91,732370
2016-10-24,44.12,44.36,43.76,43.8,595572
2016-10-25,43.78,44.48,43.38,44.44,1439170
2016-10-26,44.35,44.51,42.84,42.97,1383093
2016-10-27,43.06,43.18,42.38,42.63,1274517
2016-10-28,42.44,43.06,42.08,42.76,1091694
2016-10-31,42.56,43.01,42.12,42.71,1048657
2016-11-01,43.0,44.98,42.75,43.94,2973098
2016-11-02,44.01,45.82,43.76,45.34,2103523
2016-11-03,45.52,46.17,45.28,45.38,1839398
2016-11-04,45.38,46.07,45.26,45.76,1009677
2016-11-07,46.46,46.8,46.22,46.67,795220
2016-11-08,46.57,46.83,46.16,46.67,822539
2016-11-09,46.89,47.14,46.0,47.01,874435
2016-11-10,47.47,47.92,46.86,47.48,1510176
2016-11-11,47.33,47.88,46.9,47.66,823436
2016-11-14,47.77,47.99,47.23,47.88,838594
2016-11-15,48.0,48.23,47.63,48.07,1034890
2016-11-16,48.05,48.66,47.91,48.36,939717
2016-11-17,48.27,48.68,48.14,48.23,820627
2016-11-18,47.75,47.92,46.23,46.49,2349938
2016-11-21,46.52,49.26,46.47,47.51,4286950
2016-11-22,39.21,40.52,36.46,39.56,14685248
2016-11-23,39.61,40.15,38.15,39.26,7456609
2016-11-25,39.25,39.33,38.5,39.05,1927006
2016-11-28,38.87,39.05,38.24,38.8,2736265
2016-11-29,38.69,38.92,38.62,38.87,2411362
2016-11-30,38.54,39.27,38.51,38.74,4448787
2016-12-01,38.71,39.19,38.69,39.04,2179612
2016-12-02,39.04,39.43,38.93,39.2,1708161
2016-12-05,39.48,39.66,39.21,39.61,1551302
2016-12-06,39.8,40.42,39.76,40.37,2573076
2016-12-07,40.36,40.36,39.83,39.93,1783105
2016-12-08,39.9,40.02,39.78,39.83,1988653
