Date,Open,High,Low,Close,Volume
2016-10-04,97.21,97.62,96.06,96.1,5558945
2016-10-05,96.3,96.46,95.37,95.68,4646391
2016-10-06,95.23,96.04,95.0,95.64,3175249
2016-10-07,95.89,96.56,95.7,96.02,4056337
2016-10-10,96.44,96.63,96.09,96.25,2205487
2016-10-11,96.2,96.25,95.15,95.52,4611431
2016-10-12,95.54,96.43,95.4,96.09,4133941
2016-10-13,95.93,96.68,95.44,96.2,4769046
2016-10-14,96.33,96.74,95.82,95.83,3156276
2016-10-17,95.83,95.98,95.26,95.51,4097941
2016-10-18,96.97,97.1,95.92,96.56,6262328
2016-10-19,96.23,96.77,95.69,95.98,5552010
2016-10-20,95.96,96.29,95.44,95.57,3872573
2016-10-21,95.92,97.29,95.8,96.31,5274790
2016-10-24,96.79,97.01,96.41,96.91,4105349
2016-10-25,97.15,97.15,96.24,96.58,3456346
2016-10-26,96.58,96.97,95.84,96.05,3312943
2016-10-27,96.32,96.89,95.68,95.78,3612902
2016-10-28,96.11,96.73,95.78,96.31,4146986
2016-10-31,96.48,96.5,96.04,96.44,3327161
2016-11-01,96.63,96.74,95.75,96.08,3978527
2016-11-02,96.14,96.52,95.9,96.05,3820917
2016-11-03,96.29,96.58,95.88,96.23,2569930
2016-11-04,96.15,96.59,95.33,95.49,3138843
2016-11-07,96.37,97.35,96.3,97.33,4785202
2016-11-08,97.2,98.21,97.2,97.86,3227019
2016-11-09,96.04,96.07,93.1,94.35,8933857
2016-11-10,92.71,92.99,90.02,90.5,14941125
2016-11-11,90.46,90.76,88.7,88.95,7938929
2016-11-14,89.2,89.41,86.9,87.33,12032511
2016-11-15,87.5,88.28,87.23,87.5,8715873
2016-11-16,87.79,88.72,87.38,87.92,8201794
2016-11-17,88.05,89.74,87.94,89.27,8751067
2016-11-18,89.38,89.82,88.27,89.09,6470994
2016-11-21,89.38,89.68,88.96,89.62,5408592
2016-11-22,89.9,90.24,89.2,90.0,4837647
2016-11-23,89.75,89.75,88.54,88.89,4967906
2016-11-25,88.92,89.51,88.92,89.29,3850451
2016-11-28,89.37,90.35,89.29,90.24,5077234
2016-11-29,90.13,90.62,90.0,90.6,4130679
2016-11-30,90.18,90.61,88.25,88.28,8426703
2016-12-01,87.85,88.1,86.78,87.77,6168909
2016-12-02,88.16,88.7,87.64,88.08,4818431
2016-12-05,87.92,88.32,87.57,87.77,5204382
2016-12-06,87.73,88.46,87.67,88.18,3541847
2016-12-07,88.31,89.89,87.9,89.87,4960596
2016-12-08,89.36,89.8,88.71,89.39,4247065
2016-12-09,89.52,90.53,89.4,90.24,4298030
2016-12-12,90.42,91.05,90.34,90.82,3805119
2016-12-13,91.11,92.16,91.01,92.03,4900362
2016-12-14,92.26,92.63,90.21,90.72,6651979
2016-12-15,90.29,90.77,89.75,89.9,5550535
2016-12-16,90.08,91.43,89.62,91.31,7723613
2016-12-19,91.55,91.55,90.69,91.46,4334373
2016-12-20,90.19,90.73,88.9,90.7,4586781
2016-12-21,90.76,91.69,90.64,91.31,4294421
2016-12-22,91.01,91.67,90.76,91.61,3682219
2016-12-23,91.73,91.74,91.28,91.58,2547832
2016-12-27,91.53,91.78,91.09,91.33,1990764
2016-12-28,91.03,91.32,90.61,90.94,2290708
2016-12-29,90.95,92.0,90.74,91.73,3107586
2016-12-30,91.79,92.15,91.3,91.49,3314591
2017-01-03,91.79,92.0,90.92,91.23,5020899
2017-01-04,90.53,91.12,90.12,90.42,6694960
2017-01-05,90.69,91.76,90.53,91.13,4840145
2017-01-06,91.39,91.96,90.73,91.84,3826077
2017-01-09,91.09,91.44,90.83,91.31,3529324
2017-01-10,91.66,91.66,90.31,90.52,4203360
2017-01-11,90.65,90.96,90.33,90.44,3603539
2017-01-12,90.45,90.86,90.25,90.51,3000708
2017-01-13,90.42,90.7,89.97,90.4,3054565
2017-01-17,90.63,92.56,90.15,92.36,6363309
2017-01-18,92.6,93.52,92.54,93.49,5236822
2017-01-19,93.36,93.97,93.23,93.85,5563269
2017-01-20,94.13,94.68,94.07,94.57,5628698
2017-01-23,94.61,94.81,94.32,94.76,3350306
2017-01-24,94.92,95.94,94.88,95.78,4945315
2017-01-25,95.67,96.97,95.49,96.39,5352985
2017-01-26,96.56,96.89,96.26,96.36,3524600
2017-01-27,96.58,96.84,95.83,96.32,3055309
2017-01-30,96.51,96.52,95.63,95.96,3403157
2017-01-31,96.11,96.39,95.75,96.13,4173356
2017-02-01,95.61,97.0,95.2,95.95,5264332
2017-02-02,97.93,99.32,97.25,98.84,6169575
2017-02-03,99.18,101.43,99.1,101.11,6655181
2017-02-06,100.83,100.84,99.92,100.0,5905702
2017-02-07,100.0,101.78,99.94,101.63,5450109
2017-02-08,101.45,102.99,101.39,102.63,4881531
2017-02-09,102.33,102.91,101.73,102.77,3125812
