Date,Open,High,Low,Close,Volume
2016-10-04,64.1,64.39,62.01,62.18,1734542
2016-10-05,62.36,63.05,62.19,62.23,1410282
2016-10-06,61.84,62.19,61.08,61.57,1189522
2016-10-07,61.75,61.75,59.95,60.23,868695
2016-10-10,60.58,60.88,59.78,59.78,719349
2016-10-11,59.38,59.86,58.62,59.15,1340641
2016-10-12,59.48,59.85,58.95,59.62,796865
2016-10-13,58.93,58.97,58.03,58.81,791396
2016-10-14,59.28,59.51,58.56,58.74,829621
2016-10-17,58.79,59.16,58.51,59.0,1128584
2016-10-18,59.76,59.79,58.9,59.44,1103222
2016-10-19,59.11,59.53,58.26,58.95,750568
2016-10-20,58.65,59.0,58.06,58.28,996102
2016-10-21,57.6,58.5,57.38,58.37,798256
2016-10-24,58.94,59.33,58.6,58.94,832070
2016-10-25,57.96,57.98,55.01,55.92,2338862
2016-10-26,55.35,56.23,55.23,55.4,1252215
2016-10-27,55.45,55.6,54.77,54.83,926753
2016-10-28,55.1,55.55,54.76,55.15,1402856
2016-10-31,55.47,55.87,54.91,55.13,1845342
2016-11-01,55.13,55.36,54.3,54.92,1562808
2016-11-02,54.95,54.95,53.85,53.92,1613873
2016-11-03,54.13,54.29,53.8,54.15,1190553
2016-11-04,54.02,55.41,54.02,54.7,826589
2016-11-07,55.56,55.93,55.34,55.49,1766313
2016-11-08,55.4,55.99,55.04,55.93,1405113
2016-11-09,55.68,57.88,55.36,57.3,1618398
2016-11-10,57.95,60.66,57.91,60.24,2371380
2016-11-11,59.99,60.66,59.2,59.45,1228536
2016-11-14,59.73,60.31,59.56,59.94,881601
2016-11-15,59.85,60.04,58.7,58.9,1012079
2016-11-16,58.37,58.74,58.27,58.29,1176070
2016-11-17,58.31,58.43,57.8,57.95,905239
2016-11-18,57.83,58.24,57.7,57.8,1728433
2016-11-21,58.37,58.7,58.0,58.22,1002612
2016-11-22,58.69,58.71,57.96,57.99,794095
2016-11-23,57.72,58.18,57.5,57.83,1159734
2016-11-25,57.8,58.07,57.44,58.06,465386
2016-11-28,57.86,58.02,56.99,57.06,1032872
2016-11-29,56.9,57.07,56.16,56.21,1419304
2016-11-30,56.93,57.71,56.93,57.46,1476050
2016-12-01,57.96,59.79,57.82,58.81,1287153
2016-12-02,58.8,58.88,58.34,58.78,1346613
2016-12-05,59.32,59.87,59.04,59.68,1073706
2016-12-06,59.31,60.16,59.31,60.13,1143334
2016-12-07,60.29,61.39,60.0,61.35,1093965
2016-12-08,61.38,61.53,60.54,60.64,977904
2016-12-09,60.02,60.78,59.9,60.24,795101
2016-12-12,60.47,60.75,59.73,59.88,647182
2016-12-13,60.11,60.13,58.76,58.96,1176794
2016-12-14,58.76,59.16,57.64,57.73,979367
2016-12-15,57.33,58.08,56.93,57.0,1412639
2016-12-16,57.05,57.76,56.43,56.55,3838444
2016-12-19,56.74,57.39,56.54,57.15,1066749
2016-12-20,57.44,57.82,56.72,57.12,1076237
2016-12-21,57.3,57.67,56.96,57.06,1089387
2016-12-22,56.91,57.01,56.52,56.82,688029
2016-12-23,57.02,57.2,56.68,56.82,681295
2016-12-27,56.96,57.33,56.6,57.28,441555
2016-12-28,57.42,57.59,56.23,56.26,693142
2016-12-29,56.44,56.74,56.31,56.51,602315
2016-12-30,56.79,56.79,55.76,56.07,887446
2017-01-03,56.92,57.96,56.78,57.95,1277426
2017-01-04,57.94,58.19,57.66,58.15,1023563
2017-01-05,57.94,58.43,57.34,58.07,828790
2017-01-06,58.02,58.56,57.92,58.01,681088
2017-01-09,57.77,58.0,56.53,56.57,873594
2017-01-10,56.94,57.34,56.66,56.93,951678
2017-01-11,56.94,57.77,56.82,57.47,643676
2017-01-12,57.44,57.67,56.71,57.27,622538
2017-01-13,58.18,58.83,58.07,58.71,872230
2017-01-17,58.67,59.0,58.01,58.5,1333263
2017-01-18,58.48,58.78,58.26,58.74,696876
2017-01-19,58.65,59.25,58.38,58.93,890111
2017-01-20,59.16,59.25,58.54,58.8,607200
2017-01-23,58.58,59.24,58.05,58.8,746181
2017-01-24,59.0,60.3,58.77,60.23,922048
2017-01-25,60.2,61.6,60.1,61.5,1261219
2017-01-26,61.26,61.87,60.54,60.83,952084
2017-01-27,60.8,61.33,60.77,61.05,1168581
2017-01-30,60.62,60.99,59.88,60.76,1208655
2017-01-31,60.31,60.76,58.42,58.63,3292331
2017-02-01,58.61,59.54,57.48,58.12,2098504
2017-02-02,58.14,58.22,57.44,57.82,1192620
2017-02-03,58.29,58.46,57.98,58.39,1286257
2017-02-06,58.16,58.21,57.44,57.89,1059571
2017-02-07,58.15,58.44,57.76,58.14,1034815
2017-02-08,57.97,58.02,57.65,57.96,1137609
2017-02-09,57.94,58.67,57.94,58.3,1474682
2017-02-10,58.46,58.76,58.16,58.72,1054387
2017-02-13,58.73,59.69,58.73,59.48,1320789
2017-02-14,59.35,59.46,58.5,58.62,1218740
2017-02-15,58.44,59.21,58.26,59.15,644150
2017-02-16,59.12,59.12,58.04,58.54,1371432
2017-02-17,58.32,58.32,57.63,58.13,871907
2017-02-21,58.11,59.41,58.02,59.34,876079
2017-02-22,58.95,59.19,58.61,58.9,697496
2017-02-23,59.23,59.53,58.08,58.48,1192303
2017-02-24,57.96,58.31,57.7,58.15,1943141
2017-02-27,58.29,58.8,57.89,58.62,2078947
2017-02-28,58.43,58.8,57.84,58.06,1073996
2017-03-01,58.87,60.09,58.75,59.86,2076653
2017-03-02,59.61,59.84,58.72,58.77,861911
2017-03-03,58.81,59.21,58.34,59.15,836768
2017-03-06,58.62,59.29,58.59,58.86,834851
2017-03-07,58.8,59.19,58.59,58.9,915588
2017-03-08,59.1,59.42,58.84,59.31,1219317
2017-03-09,59.31,59.69,58.93,59.2,1278273
2017-03-10,59.73,60.23,59.68,60.11,2512631
2017-03-13,60.18,60.92,60.18,60.81,2090634
2017-03-14,60.32,60.51,59.41,60.4,1142524
2017-03-15,61.13,63.2,60.73,62.71,2566392
2017-03-16,62.88,63.17,62.53,62.64,1142817
2017-03-17,62.8,63.1,62.69,62.87,1377154
2017-03-20,62.91,62.99,61.94,62.2,862003
2017-03-21,62.48,62.78,60.78,60.89,1444489
2017-03-22,60.96,61.36,60.6,60.94,998754
2017-03-23,60.62,61.52,60.62,60.96,638013
2017-03-24,61.1,61.33,60.31,60.72,668092
2017-03-27,59.77,61.34,59.38,61.06,941806
2017-03-28,61.06,63.13,60.76,62.76,1409569
2017-03-29,62.6,63.43,62.31,63.07,1142118
2017-03-30,62.86,63.45,62.82,62.89,1147967
2017-03-31,62.6,63.23,62.21,62.78,1261103
2017-04-03,62.99,63.17,61.61,62.27,1001019
2017-04-04,62.23,62.86,61.75,62.84,1084489
2017-04-05,63.1,63.54,62.12,62.38,1264311
2017-04-06,62.51,63.38,62.24,62.82,676250
2017-04-07,62.64,63.21,62.58,62.79,688433
2017-04-10,62.73,63.55,62.63,63.12,752140
2017-04-11,63.06,63.59,62.66,63.44,813202
2017-04-12,63.47,63.47,62.16,62.35,872318
2017-04-13,62.19,62.8,62.06,62.16,775313
2017-04-17,62.56,63.31,62.12,63.31,785694
2017-04-18,62.77,63.28,62.61,62.94,896795
2017-04-19,62.92,63.03,61.98,62.22,699944
2017-04-20,62.5,63.01,62.5,62.8,1359004
2017-04-21,62.96,62.97,62.24,62.57,1166831
2017-04-24,63.62,64.0,63.18,63.27,1735113
2017-04-25,63.5,64.78,62.6,64.66,2585295
2017-04-26,64.6,65.66,64.6,64.97,2049913
