Date,Open,High,Low,Close,Volume
2016-10-04,33.95,34.0,32.75,32.9,9571682
2016-10-05,32.95,33.0,32.35,32.65,10898333
2016-10-06,32.56,32.71,32.38,32.5,8117127
2016-10-07,32.53,33.24,32.08,32.25,8085645
2016-10-10,32.32,32.57,32.26,32.51,3945845
2016-10-11,32.46,32.6,32.12,32.19,4339836
2016-10-12,32.44,32.71,32.35,32.52,5738189
2016-10-13,32.46,33.4,32.37,33.0,12995499
2016-10-14,32.96,33.17,32.8,32.92,5691635
2016-10-17,32.95,33.15,32.86,33.06,3411441
2016-10-18,33.28,33.47,33.02,33.41,3877357
2016-10-19,33.33,33.53,33.23,33.36,3401751
2016-10-20,33.42,33.68,33.29,33.58,5049774
2016-10-21,33.42,33.58,33.14,33.32,3454896
2016-10-24,33.43,33.6,33.23,33.53,2485034
2016-10-25,33.43,33.74,33.4,33.7,2796173
2016-10-26,33.62,33.91,33.43,33.84,2950520
2016-10-27,33.67,33.83,33.54,33.68,3846972
2016-10-28,33.7,33.95,33.63,33.81,3562326
2016-10-31,33.96,34.56,33.85,34.34,5208645
2016-11-01,34.98,34.98,33.87,34.0,6690148
2016-11-02,33.93,34.11,33.52,33.91,4624450
2016-11-03,33.91,34.44,33.8,34.1,4769091
2016-11-04,34.27,34.45,34.0,34.02,3861508
2016-11-07,34.17,34.55,33.84,34.55,4026789
2016-11-08,34.61,34.93,34.49,34.74,3378909
2016-11-09,34.05,34.13,33.45,33.58,5569588
2016-11-10,33.41,33.67,32.46,33.11,6914564
2016-11-11,33.11,33.56,32.97,33.15,4951889
2016-11-14,33.0,33.09,32.6,32.86,7600709
2016-11-15,33.0,33.26,32.86,33.24,5239104
2016-11-16,33.34,33.43,32.67,32.87,3562041
2016-11-17,32.8,33.07,32.76,32.83,2987604
2016-11-18,32.89,33.1,32.67,32.84,2901138
2016-11-21,32.98,33.36,32.85,33.34,4023942
2016-11-22,33.24,33.46,33.07,33.32,3352141
2016-11-23,33.02,33.24,32.7,32.81,3219576
2016-11-25,32.89,33.46,32.89,33.32,1783866
2016-11-28,33.41,34.31,33.41,34.15,4966645
2016-11-29,34.08,34.38,34.03,34.19,4035469
2016-11-30,33.75,34.12,33.46,33.46,6759935
2016-12-01,33.28,33.34,32.78,33.1,4619657
2016-12-02,33.32,33.57,33.07,33.34,3488736
2016-12-05,33.17,33.27,32.87,33.25,5499019
2016-12-06,33.3,33.37,32.94,33.08,4690115
2016-12-07,32.8,33.11,32.69,33.1,4298447
2016-12-08,32.9,33.23,32.71,33.11,4636791
2016-12-09,33.17,33.55,33.13,33.51,4871078
2016-12-12,33.43,34.06,33.39,33.94,3809299
2016-12-13,33.98,34.25,33.86,34.21,3751918
2016-12-14,34.41,34.62,33.68,33.78,4936943
2016-12-15,33.56,34.24,33.52,34.15,4126308
2016-12-16,34.21,34.9,34.07,34.63,9949666
2016-12-19,34.77,34.84,34.14,34.58,3911555
2016-12-20,34.57,34.7,34.4,34.5,3195270
2016-12-21,34.46,34.8,34.41,34.43,2770055
2016-12-22,34.4,34.49,34.19,34.46,2621166
2016-12-23,34.51,34.51,34.1,34.29,1730578
2016-12-27,34.29,34.36,34.07,34.21,2290593
2016-12-28,34.28,34.3,33.78,33.86,3203190
2016-12-29,33.99,34.33,33.88,34.26,2885678
2016-12-30,34.31,34.36,33.95,34.05,2751938
2017-01-03,34.05,34.21,33.78,34.03,3366963
2017-01-04,34.05,34.51,34.0,34.1,3187421
2017-01-05,34.17,34.32,33.79,34.3,3497125
2017-01-06,34.17,34.59,34.08,34.56,3542674
2017-01-09,34.54,34.67,34.16,34.22,5474746
2017-01-10,34.15,34.2,33.72,33.94,3255388
2017-01-11,33.96,34.32,33.93,34.24,2423149
2017-01-12,34.23,34.62,34.19,34.5,3872535
2017-01-13,34.41,34.51,34.18,34.36,2692933
2017-01-17,34.22,34.78,34.22,34.69,6164678
2017-01-18,34.63,34.74,34.48,34.54,2218783
2017-01-19,34.31,34.56,34.13,34.23,2360227
2017-01-20,34.29,34.41,34.09,34.4,2596527
2017-01-23,34.47,34.63,34.28,34.36,2403104
2017-01-24,34.36,34.67,34.26,34.61,2801331
2017-01-25,34.49,34.66,34.39,34.52,2582737
2017-01-26,34.5,34.74,34.26,34.41,2140389
2017-01-27,34.5,34.54,34.14,34.27,2556072
2017-01-30,34.34,34.39,34.08,34.38,3147583
2017-01-31,34.4,34.92,34.34,34.84,5204272
2017-02-01,34.66,35.39,34.58,34.95,4932307
2017-02-02,35.09,35.36,34.89,35.28,3231888
2017-02-03,35.33,35.58,35.3,35.46,3200182
2017-02-06,35.56,35.63,35.22,35.24,4001895
2017-02-07,35.34,35.49,35.23,35.4,2205968
2017-02-08,35.31,35.68,35.3,35.65,2601361
2017-02-09,35.6,35.7,35.31,35.42,3444333
2017-02-10,35.35,35.62,35.34,35.5,3706985
2017-02-13,35.54,35.73,35.36,35.73,2262020
2017-02-14,35.63,35.68,35.31,35.47,2664037
2017-02-15,35.23,35.56,35.08,35.48,2317208
2017-02-16,35.38,35.72,35.35,35.72,2694712
2017-02-17,35.75,35.79,35.34,35.63,3438736
2017-02-21,35.61,36.11,35.48,36.03,2632458
2017-02-22,36.06,36.27,35.95,36.2,2367832
2017-02-23,36.35,36.65,36.23,36.52,2609592
2017-02-24,36.59,36.83,36.43,36.83,3255850
2017-02-27,36.83,36.86,36.54,36.57,3024457
2017-02-28,36.57,37.01,36.57,36.88,4154334
2017-03-01,36.5,36.95,36.33,36.73,3614903
2017-03-02,36.57,37.03,36.55,36.84,2655749
2017-03-03,36.86,36.87,36.4,36.68,3151787
