Date,Open,High,Low,Close,Volume
2016-10-04,27.95,28.5,27.78,27.9,2350770
2016-10-05,28.07,28.36,27.91,28.26,1474236
2016-10-06,28.15,28.6,28.05,28.58,1445033
2016-10-07,28.51,28.7,28.3,28.51,2220516
2016-10-10,28.7,28.87,28.57,28.76,2133448
2016-10-11,28.61,28.67,27.72,27.87,1864551
2016-10-12,27.87,28.04,27.7,28.0,2195550
2016-10-13,27.8,28.01,27.44,27.88,2457500
2016-10-14,28.08,28.4,27.88,27.94,1584219
2016-10-17,27.95,28.04,27.43,27.61,2883974
2016-10-18,28.0,28.26,27.88,27.91,1253080
2016-10-19,28.06,28.36,27.76,28.21,1819017
2016-10-20,28.09,28.41,28.06,28.34,1614960
2016-10-21,28.06,28.46,27.91,28.27,1445392
2016-10-24,28.46,28.56,28.28,28.49,1370730
2016-10-25,28.41,29.5,28.33,28.41,2596750
2016-10-26,28.14,28.66,27.93,28.42,1548558
2016-10-27,28.48,28.59,28.15,28.19,1784447
2016-10-28,28.24,28.78,28.24,28.56,2174802
2016-10-31,28.6,28.8,28.28,28.75,1618036
2016-11-01,28.86,28.94,28.2,28.35,3502397
2016-11-02,28.31,28.53,28.15,28.49,3611762
2016-11-03,29.04,29.4,27.29,28.31,5045934
2016-11-04,28.2,28.72,27.73,28.08,3107642
2016-11-07,28.54,28.92,28.36,28.63,1574589
2016-11-08,28.63,29.2,28.45,29.0,1918876
2016-11-09,29.94,31.32,29.91,30.69,6408871
2016-11-10,31.0,31.58,30.84,31.36,2966975
2016-11-11,31.2,31.41,30.95,31.41,3018867
2016-11-14,31.58,31.87,31.33,31.79,3740107
2016-11-15,32.59,33.13,32.34,33.04,3706759
2016-11-16,32.89,32.94,32.18,32.23,3073977
2016-11-17,32.36,32.42,31.74,32.25,2862825
2016-11-18,31.68,32.24,31.67,31.92,2350287
2016-11-21,32.02,32.37,31.93,32.28,1253561
2016-11-22,32.24,32.33,31.84,32.22,2115700
2016-11-23,32.26,32.82,32.06,32.78,2086958
2016-11-25,32.79,32.9,32.59,32.88,708850
2016-11-28,32.77,32.88,32.23,32.27,1960663
2016-11-29,32.2,32.57,32.03,32.36,1833229
2016-11-30,32.71,34.14,32.71,33.72,5006392
2016-12-01,34.03,34.65,33.78,34.09,2778820
2016-12-02,34.13,34.29,33.54,33.8,1568312
2016-12-05,34.08,34.17,33.54,33.74,2529077
2016-12-06,33.74,34.08,33.56,33.96,1522423
2016-12-07,34.03,34.63,33.84,34.58,1196334
2016-12-08,34.67,35.15,34.54,35.1,2838761
2016-12-09,35.09,35.85,34.85,35.58,3184844
2016-12-12,36.69,36.85,35.45,35.67,2913707
2016-12-13,35.72,35.74,34.81,35.07,2007612
2016-12-14,34.97,35.46,34.76,34.96,1621098
2016-12-15,34.9,35.52,34.81,35.36,2374602
