Date,Open,High,Low,Close,Volume
2016-10-04,37.8,38.55,37.66,37.93,1553302
2016-10-05,38.1,38.23,37.85,37.86,921284
2016-10-06,37.79,37.9,37.67,37.72,676083
2016-10-07,37.68,37.92,37.44,37.66,1268183
2016-10-10,37.99,38.88,37.96,38.78,1322810
2016-10-11,38.61,38.95,37.81,37.92,1341094
2016-10-12,38.04,38.46,37.91,38.25,1204012
2016-10-13,37.85,38.03,37.47,37.72,1117397
2016-10-14,38.25,38.68,38.04,38.24,782937
2016-10-17,38.13,38.27,37.86,38.0,661981
2016-10-18,38.4,38.42,38.0,38.06,789435
2016-10-19,38.03,38.36,37.93,38.25,691265
2016-10-20,37.92,38.71,37.92,38.19,607112
2016-10-21,38.0,38.97,37.92,38.88,1110421
2016-10-24,39.1,39.39,38.56,38.66,867560
2016-10-25,38.51,38.83,38.12,38.66,786044
2016-10-26,38.5,39.55,38.35,39.48,1731617
2016-10-27,36.75,37.18,34.42,36.77,10061385
2016-10-28,36.7,37.13,36.58,36.7,2814701
2016-10-31,36.95,37.45,36.9,37.42,2198155
2016-11-01,37.64,37.71,36.74,37.09,1725999
2016-11-02,37.04,37.5,37.01,37.36,1290973
2016-11-03,37.47,37.54,37.1,37.53,1332880
2016-11-04,37.55,37.97,37.37,37.43,1353884
2016-11-07,38.23,38.7,37.95,38.64,2353399
2016-11-08,38.61,39.21,38.32,39.04,1061202
2016-11-09,38.77,40.56,38.42,40.34,1161898
2016-11-10,40.96,42.15,40.96,41.89,1493753
2016-11-11,41.62,43.39,41.62,43.35,2244716
2016-11-14,43.61,44.27,43.52,43.79,1765207
2016-11-15,43.66,43.86,43.04,43.64,1831329
2016-11-16,43.35,43.66,43.2,43.47,1028479
2016-11-17,43.43,45.26,43.43,44.95,1943941
2016-11-18,44.71,45.12,44.48,44.76,1485815
2016-11-21,44.76,45.03,44.06,44.54,884421
2016-11-22,44.6,44.85,44.1,44.66,1072227
2016-11-23,44.94,44.94,44.34,44.8,1428346
2016-11-25,45.03,45.3,44.81,45.26,309256
2016-11-28,45.05,45.12,44.23,44.47,1192453
2016-11-29,44.63,45.05,44.38,44.67,1058212
2016-11-30,44.95,45.05,44.42,44.87,2065340
2016-12-01,45.13,45.59,44.68,45.54,1963472
2016-12-02,45.65,46.28,45.4,45.56,1679015
2016-12-05,45.88,46.41,45.59,46.41,1839265
2016-12-06,46.54,47.42,45.95,47.42,1698470
2016-12-07,47.21,48.07,46.91,47.99,1224224
2016-12-08,48.2,48.92,47.96,48.86,1143699
