Date,Open,High,Low,Close,Volume
2016-10-04,58.25,59.17,58.13,58.56,498884
2016-10-05,58.84,59.95,58.75,59.48,479726
2016-10-06,59.29,59.54,58.94,59.26,340155
2016-10-07,59.38,59.38,58.55,58.96,908262
2016-10-10,59.46,59.76,58.93,59.01,480820
2016-10-11,58.94,59.09,57.89,58.3,498121
2016-10-12,58.34,58.42,58.0,58.09,437670
2016-10-13,57.41,57.63,56.61,57.41,490875
2016-10-14,57.84,58.58,57.64,58.2,577075
2016-10-17,58.23,58.32,57.84,58.04,657246
2016-10-18,58.83,58.99,58.2,58.45,334628
2016-10-19,58.82,59.28,58.52,58.99,363042
2016-10-20,58.7,59.27,58.66,58.81,403170
2016-10-21,58.37,58.84,58.24,58.75,343102
2016-10-24,59.54,59.54,58.63,58.81,542559
2016-10-25,58.78,59.14,58.47,58.55,414578
2016-10-26,58.24,59.25,58.17,59.13,603826
2016-10-27,60.2,62.73,60.2,61.96,1687229
2016-10-28,61.83,62.38,60.51,60.78,1169716
2016-10-31,60.99,61.34,60.08,60.12,729117
2016-11-01,60.51,60.73,59.82,60.37,746191
2016-11-02,60.05,60.12,58.66,58.84,876587
2016-11-03,59.02,59.93,58.94,59.37,700444
2016-11-04,59.2,59.83,58.77,59.09,426298
2016-11-07,60.46,61.08,60.46,60.95,409588
2016-11-08,60.55,61.69,60.22,61.31,606932
2016-11-09,61.81,65.67,61.58,65.27,1904488
2016-11-10,65.8,68.63,65.8,67.34,1706874
2016-11-11,66.88,67.88,66.28,67.75,2042447
2016-11-14,68.6,70.09,68.2,70.09,955734
2016-11-15,69.43,71.93,69.07,71.9,1186674
2016-11-16,71.16,71.89,71.09,71.65,807128
2016-11-17,71.4,72.71,71.4,72.71,885593
2016-11-18,72.84,73.59,72.54,73.28,524048
2016-11-21,73.1,73.41,71.74,72.32,930730
2016-11-22,72.36,73.4,71.76,73.33,782099
2016-11-23,73.1,73.47,71.81,72.83,917866
2016-11-25,72.7,72.7,72.19,72.5,322002
2016-11-28,71.57,71.99,71.1,71.17,1008947
2016-11-29,71.03,71.68,70.53,71.1,607043
2016-11-30,71.9,72.29,71.61,71.94,1004614
2016-12-01,72.41,73.87,72.25,73.64,900236
2016-12-02,73.33,73.33,72.18,72.96,675939
2016-12-05,72.97,74.18,72.82,73.52,770387
2016-12-06,73.93,73.93,72.95,73.36,723508
2016-12-07,73.23,73.73,72.96,73.65,577755
2016-12-08,73.96,74.7,73.26,73.99,694996
2016-12-09,73.99,74.0,72.88,73.14,841138
2016-12-12,72.69,73.04,71.53,71.59,690678
2016-12-13,71.79,72.14,70.86,71.6,932051
2016-12-14,71.09,73.0,70.94,71.87,496060
2016-12-15,72.38,73.38,71.75,72.51,585660
2016-12-16,72.51,73.05,71.32,71.63,996879
2016-12-19,71.26,71.81,70.4,71.52,687522
2016-12-20,72.03,72.94,71.98,72.94,463539
2016-12-21,73.11,73.11,72.14,72.64,534791
2016-12-22,72.61,72.61,71.23,71.44,624415
2016-12-23,71.46,71.88,71.13,71.8,538806
2016-12-27,72.03,72.18,71.21,71.37,566514
2016-12-28,71.64,71.73,69.95,70.12,519713
2016-12-29,69.92,70.36,69.08,69.35,463349
2016-12-30,69.56,69.56,68.97,69.27,609093
2017-01-03,70.38,70.96,69.09,69.68,598642
2017-01-04,70.09,72.38,69.7,72.31,972173
2017-01-05,72.66,73.65,72.36,73.59,1312968
2017-01-06,73.95,74.73,73.53,74.66,1049783
2017-01-09,74.26,74.3,73.35,73.65,709250
2017-01-10,74.0,74.65,73.4,74.43,587523
2017-01-11,74.41,74.94,73.88,74.9,892658
2017-01-12,74.43,74.43,72.73,73.82,497610
2017-01-13,74.43,75.16,73.95,74.38,461364
2017-01-17,73.73,73.93,71.96,72.13,421783
2017-01-18,72.28,72.87,70.74,72.83,755845
2017-01-19,73.05,73.35,71.92,72.21,311996
2017-01-20,72.21,72.74,71.96,72.7,332151
2017-01-23,72.11,73.04,72.0,72.93,399146
2017-01-24,73.09,74.63,72.96,74.25,682964
2017-01-25,75.24,75.67,74.69,75.61,857736
2017-01-26,74.62,77.79,74.62,77.16,953088
2017-01-27,77.37,77.44,75.59,75.99,906842
2017-01-30,75.66,75.69,73.95,75.56,706651
2017-01-31,75.32,75.72,74.1,74.93,681887
2017-02-01,75.83,76.9,75.05,75.48,575331
2017-02-02,74.5,75.24,73.84,74.43,780556
2017-02-03,75.4,76.72,75.22,76.35,506862
2017-02-06,75.82,76.84,75.78,76.57,499241
2017-02-07,76.96,77.25,76.52,76.9,749855
2017-02-08,76.38,76.53,75.33,76.45,539783
2017-02-09,76.95,77.74,76.61,77.55,412859
2017-02-10,78.0,78.0,76.88,76.9,411158
2017-02-13,77.48,78.08,77.43,77.58,528825
2017-02-14,77.28,78.64,77.09,78.27,882274
2017-02-15,78.77,79.22,78.19,79.06,349925
2017-02-16,79.27,79.27,78.41,79.07,519478
2017-02-17,78.16,78.94,77.91,78.86,403466
2017-02-21,79.16,79.42,78.8,79.24,500919
2017-02-22,78.66,80.05,78.66,79.65,560413
2017-02-23,79.59,79.59,78.3,78.53,624320
2017-02-24,77.57,78.77,77.57,78.49,544915
2017-02-27,78.5,79.43,78.04,79.41,400647
2017-02-28,79.15,79.2,77.59,78.56,679740
2017-03-01,80.35,81.92,79.81,81.04,862640
2017-03-02,81.13,81.13,79.4,79.51,522775
2017-03-03,79.47,80.09,78.94,79.79,375439
2017-03-06,79.1,79.66,78.69,79.17,457503
