Date,Open,High,Low,Close,Volume
2016-10-04,137.77,139.15,136.41,137.17,3902927
2016-10-05,137.12,137.64,136.71,137.13,1736456
2016-10-06,137.29,138.42,136.71,138.25,1616056
2016-10-07,137.39,137.56,136.58,136.78,1614942
2016-10-10,137.29,137.99,136.96,137.3,883570
2016-10-11,137.0,137.46,136.02,136.3,1191374
2016-10-12,136.07,138.13,136.07,137.58,1268305
2016-10-13,137.0,138.37,136.78,138.1,1169199
2016-10-14,138.25,138.69,137.34,137.34,1092815
2016-10-17,137.42,138.27,137.15,137.28,1133924
2016-10-18,138.16,138.27,136.88,137.63,798470
2016-10-19,137.73,137.83,136.84,137.4,881987
2016-10-20,137.35,137.85,136.09,137.31,1184510
2016-10-21,136.52,137.57,135.31,136.73,1130814
2016-10-24,137.28,138.08,137.26,137.66,757664
2016-10-25,138.18,140.1,137.6,139.75,1623107
2016-10-26,139.64,142.37,139.4,141.28,2303903
2016-10-27,142.4,142.4,135.64,136.28,3892591
2016-10-28,136.43,138.03,135.65,137.19,2080552
2016-10-31,137.06,137.8,136.42,136.61,1503787
2016-11-01,136.93,137.32,134.79,135.08,1532586
2016-11-02,134.68,137.0,134.31,135.27,2785161
2016-11-03,135.25,135.33,132.89,134.14,2567315
2016-11-04,134.0,134.8,132.91,132.97,2261563
2016-11-07,134.7,135.95,134.1,135.91,2086508
2016-11-08,136.18,137.37,136.07,136.51,1598201
2016-11-09,142.97,152.58,142.97,146.71,7226998
2016-11-10,148.48,148.93,145.6,147.71,2907915
2016-11-11,147.88,148.39,146.61,148.26,2204655
2016-11-14,149.66,150.72,148.79,149.73,2338746
2016-11-15,150.13,151.1,146.66,147.29,2470301
2016-11-16,147.27,148.37,145.21,146.16,1747635
2016-11-17,146.33,146.4,144.26,144.96,2679580
2016-11-18,145.0,146.27,144.36,146.04,1977439
2016-11-21,146.53,147.25,145.86,146.1,2021714
2016-11-22,146.9,147.93,146.27,147.76,1834488
2016-11-23,148.04,148.67,146.86,147.88,1597223
2016-11-25,148.63,149.49,148.04,148.55,672649
2016-11-28,148.62,149.57,148.34,148.9,1365326
