Date,Open,High,Low,Close,Volume
2016-10-04,31.61,32.15,31.54,31.85,9514140
2016-10-05,32.0,32.89,31.98,32.61,9919132
2016-10-06,32.6,32.65,32.11,32.43,7737633
2016-10-07,32.43,32.63,32.18,32.4,7524548
2016-10-10,32.67,32.86,32.4,32.45,4260134
2016-10-11,32.4,32.61,31.65,31.9,7041914
2016-10-12,31.93,32.06,31.71,31.73,4321427
2016-10-13,31.55,31.55,30.9,31.43,8958987
2016-10-14,31.94,32.21,31.65,31.97,7684029
2016-10-17,31.99,32.1,31.14,31.69,13842578
2016-10-18,32.38,32.45,31.98,32.21,10294773
2016-10-19,32.32,32.82,32.2,32.54,9095115
2016-10-20,32.46,32.57,32.09,32.17,6499463
2016-10-21,31.79,32.4,31.72,32.27,8214714
2016-10-24,32.49,32.54,32.12,32.19,6305328
2016-10-25,32.11,32.22,31.68,31.71,5801981
2016-10-26,31.47,32.21,31.4,32.15,7960428
2016-10-27,32.33,32.45,32.03,32.16,6650638
2016-10-28,32.2,32.44,31.54,31.89,6961761
2016-10-31,32.04,32.18,31.68,31.7,5283711
2016-11-01,31.9,32.14,31.3,31.65,6145452
2016-11-02,31.45,31.45,30.87,31.06,8889239
2016-11-03,31.16,31.44,31.01,31.15,4740658
2016-11-04,31.18,31.42,30.66,30.9,6657943
2016-11-07,31.76,32.31,31.76,32.31,7413419
2016-11-08,32.11,32.52,31.91,32.41,6872884
2016-11-09,32.55,33.9,32.42,33.71,23315631
2016-11-10,34.26,35.63,34.23,35.26,23741559
2016-11-11,34.97,36.12,34.85,36.08,11738653
2016-11-14,36.43,37.71,36.29,36.76,22461970
2016-11-15,36.33,37.23,36.04,37.2,16471741
2016-11-16,36.67,37.34,36.45,36.7,10700104
2016-11-17,36.66,37.33,36.35,37.04,9376496
2016-11-18,37.16,37.8,37.0,37.48,10446735
2016-11-21,37.71,38.15,37.64,38.1,11882248
2016-11-22,38.3,38.42,37.74,38.24,11477950
2016-11-23,38.44,39.22,38.11,39.11,11089126
2016-11-25,39.0,39.0,38.62,38.99,3418536
2016-11-28,38.52,38.79,38.32,38.35,7060043
2016-11-29,38.4,38.65,38.15,38.46,6958551
2016-11-30,39.07,39.35,38.56,38.66,12973858
2016-12-01,39.11,39.69,38.8,39.61,15163489
2016-12-02,39.3,39.41,38.46,38.76,12058289
2016-12-05,39.14,39.66,38.9,39.0,11255725
2016-12-06,39.2,39.3,38.7,39.27,7894595
2016-12-07,39.27,39.38,38.86,39.37,9692935
2016-12-08,39.65,39.89,39.22,39.42,17535849
2016-12-09,39.47,39.5,38.96,39.32,8682476
2016-12-12,39.1,39.41,38.76,39.03,8288958
2016-12-13,39.21,39.28,38.61,38.95,7107312
2016-12-14,38.6,39.75,38.5,39.0,11653081
2016-12-15,39.18,39.96,39.18,39.42,14957289
2016-12-16,39.59,39.7,38.69,38.84,13466392
2016-12-19,39.01,39.06,38.48,38.75,10293354
2016-12-20,39.24,40.16,39.22,40.15,12846374
2016-12-21,40.13,40.19,39.71,39.98,7292706
2016-12-22,39.93,40.02,39.65,39.77,5475739
2016-12-23,39.61,40.42,39.45,40.32,6374965
2016-12-27,40.36,40.58,40.27,40.47,5426743
2016-12-28,40.5,40.58,39.85,39.89,3947479
2016-12-29,39.85,39.99,39.41,39.58,4935155
2016-12-30,39.71,39.8,39.3,39.47,4682159
2017-01-03,40.05,40.65,39.72,40.2,6951679
2017-01-04,40.4,41.34,40.34,41.22,8892852
2017-01-05,40.97,41.48,40.5,40.97,6336234
2017-01-06,41.3,41.52,40.66,41.23,5639831
2017-01-09,41.0,41.25,40.64,41.12,4413636
2017-01-10,41.19,41.49,40.99,41.19,5197946
2017-01-11,41.14,41.42,40.82,41.32,4778287
2017-01-12,41.06,41.33,40.42,41.26,6946398
2017-01-13,41.55,41.84,41.3,41.41,7671798
2017-01-17,41.07,41.33,40.26,40.33,11114861
2017-01-18,40.07,41.26,39.14,41.1,13651664
2017-01-19,41.38,41.6,40.95,41.44,10399267
2017-01-20,41.52,41.74,40.94,41.31,7369284
2017-01-23,41.11,41.32,40.75,41.19,4866162
2017-01-24,41.43,42.11,41.23,41.8,5451697
2017-01-25,42.28,42.45,41.93,42.29,7747738
2017-01-26,42.48,42.61,42.19,42.45,5146653
2017-01-27,42.5,42.54,42.11,42.31,4052153
2017-01-30,42.04,42.04,41.4,41.83,6281585
2017-01-31,41.62,41.82,41.09,41.24,8055306
2017-02-01,41.67,41.98,41.12,41.34,10398102
2017-02-02,39.87,40.55,39.03,39.17,20291322
2017-02-03,39.87,40.68,39.69,40.17,12348670
2017-02-06,39.75,40.08,39.51,39.74,7212652
2017-02-07,39.93,40.13,39.62,39.68,5612343
2017-02-08,39.42,39.64,39.19,39.44,8493222
2017-02-09,39.74,40.3,39.55,40.08,7484857
2017-02-10,40.3,40.37,39.9,39.94,6789913
2017-02-13,40.23,40.99,40.2,40.72,7576310
2017-02-14,40.69,41.49,40.44,41.26,7895938
2017-02-15,41.63,42.46,41.31,42.16,11623374
2017-02-16,42.08,42.15,41.24,41.55,4987197
2017-02-17,41.17,41.59,41.0,41.55,4713579
2017-02-21,41.82,42.12,41.66,41.78,4933286
2017-02-22,41.33,41.94,41.32,41.62,5368760
2017-02-23,41.61,41.61,40.84,41.24,4494640
2017-02-24,40.75,41.11,40.54,41.11,5223556
2017-02-27,41.09,41.9,41.09,41.73,5547192
2017-02-28,40.13,40.91,39.78,40.41,22639196
2017-03-01,41.5,43.36,41.4,42.99,15066494
2017-03-02,42.98,42.99,42.03,42.23,8817492
2017-03-03,42.17,42.75,42.09,42.45,7623231
2017-03-06,42.08,42.29,41.8,42.11,6600294
2017-03-07,42.07,42.21,41.6,41.66,6561273
2017-03-08,42.27,42.65,41.82,41.86,6715928
2017-03-09,42.07,42.38,41.96,42.25,5263415
2017-03-10,42.54,42.82,42.1,42.48,5615705
2017-03-13,42.63,43.21,42.51,42.98,5034377
2017-03-14,42.88,42.98,42.13,42.67,6257070
2017-03-15,42.92,43.3,42.39,42.72,8169826
2017-03-16,42.88,43.64,42.78,43.53,7391634
2017-03-17,43.62,43.65,42.81,42.86,8913912
2017-03-20,42.74,42.88,42.22,42.25,6191388
2017-03-21,42.56,42.6,40.32,40.44,10427916
2017-03-22,40.22,40.54,39.54,40.16,8935033
2017-03-23,40.03,40.69,39.98,40.17,7387849
2017-03-24,40.35,40.42,39.72,40.02,7528339
2017-03-27,38.34,39.46,37.62,39.42,13739537
2017-03-28,39.39,40.87,39.26,40.49,8934358
2017-03-29,40.33,40.58,40.07,40.45,5261278
2017-03-30,40.42,41.34,40.38,41.14,5817230
2017-03-31,40.95,41.24,40.79,40.81,5280797
2017-04-03,40.83,40.96,39.83,40.57,8765644
2017-04-04,40.45,40.64,40.02,40.23,6447475
2017-04-05,40.5,40.78,39.43,39.48,8835393
2017-04-06,39.47,40.29,39.21,40.06,6634645
2017-04-07,39.66,40.24,39.38,39.9,9337372
2017-04-10,39.82,40.13,39.12,39.3,6916406
2017-04-11,39.04,39.1,38.18,38.93,9730044
2017-04-12,38.9,38.9,38.14,38.4,10462356
2017-04-13,38.19,38.56,37.51,37.53,10215720
2017-04-17,37.64,38.22,37.47,38.14,7836348
2017-04-18,38.1,38.55,37.16,37.91,15029082
2017-04-19,38.33,38.76,38.05,38.28,10364582
2017-04-20,38.65,38.94,38.38,38.68,8466428
2017-04-21,38.68,38.74,38.01,38.33,7074491
2017-04-24,39.46,39.66,39.06,39.19,10924540
2017-04-25,39.64,39.91,39.43,39.62,8126554
2017-04-26,39.51,40.58,39.48,40.06,12762076
2017-04-27,40.06,40.12,39.22,39.25,7836877
2017-04-28,39.23,39.23,38.78,38.85,7001596
2017-05-01,39.1,39.87,39.09,39.73,9400625
2017-05-02,39.79,40.05,39.62,40.03,7735227
2017-05-03,39.82,40.47,39.68,40.4,8754769
2017-05-04,40.64,40.82,39.87,40.16,5618939
2017-05-05,40.25,40.3,39.82,40.13,5266167
2017-05-08,40.16,40.42,39.9,40.41,5508804
2017-05-09,40.44,40.81,40.35,40.5,5813652
2017-05-10,40.24,40.33,39.88,40.15,6334313
2017-05-11,39.89,40.14,39.59,40.02,7988889
2017-05-12,39.78,39.89,39.25,39.61,5451791
2017-05-15,39.72,40.57,39.72,40.54,6196556
2017-05-16,40.69,40.74,40.18,40.67,5698291
2017-05-17,39.79,39.83,37.72,38.12,13063868
2017-05-18,38.49,38.64,37.86,38.33,8607677
2017-05-19,38.46,38.71,38.21,38.26,8656148
2017-05-22,38.7,38.7,38.13,38.52,5755238
2017-05-23,38.5,39.12,38.18,38.87,4586519
2017-05-24,39.03,39.22,38.81,39.01,5538890
2017-05-25,39.27,39.51,39.07,39.41,4565924
2017-05-26,39.3,39.63,39.12,39.52,4325951
2017-05-30,39.3,39.34,38.62,38.66,7104195
2017-05-31,38.65,38.9,37.63,38.75,12278005
2017-06-01,39.09,39.71,38.65,39.7,8087533
2017-06-02,39.19,39.39,38.69,38.95,8772579
2017-06-05,39.0,39.4,38.97,39.1,5954892
2017-06-06,38.7,38.89,38.33,38.72,7387464
2017-06-07,38.75,39.27,38.64,38.87,5800878
2017-06-08,38.95,40.01,38.78,39.76,8588698
2017-06-09,40.18,41.32,39.96,41.29,11592615
2017-06-12,41.37,41.92,41.3,41.88,8076875
2017-06-13,41.99,42.35,41.88,42.05,6808344
2017-06-14,41.5,42.33,41.11,42.3,9060235
2017-06-15,41.99,42.6,41.75,42.12,6692028
2017-06-16,42.24,42.35,41.84,41.92,8880631
