Date,Open,High,Low,Close,Volume
2016-10-04,135.07,135.35,132.82,133.18,939403
2016-10-05,133.56,133.9,132.5,133.1,1376372
2016-10-06,132.83,133.5,132.31,133.08,510812
2016-10-07,133.37,133.37,132.58,132.94,718267
2016-10-10,133.73,134.89,133.11,134.4,588427
2016-10-11,134.31,134.31,131.96,132.17,824589
2016-10-12,132.07,132.88,132.01,132.59,621662
2016-10-13,132.27,134.39,131.84,133.92,709889
2016-10-14,133.97,134.46,133.33,133.52,432038
2016-10-17,133.59,133.81,132.76,133.06,383219
2016-10-18,133.42,133.66,132.11,132.22,746127
2016-10-19,132.6,133.05,131.8,132.82,728385
2016-10-20,132.79,132.97,129.57,129.78,1155977
2016-10-21,129.59,130.22,128.75,130.01,723310
2016-10-24,130.05,130.48,129.14,129.89,596639
2016-10-25,129.8,130.43,129.59,130.19,521053
2016-10-26,130.5,131.26,130.15,130.48,542418
2016-10-27,130.8,130.8,129.16,129.28,542877
2016-10-28,129.57,132.37,129.57,131.92,857476
2016-10-31,131.79,132.07,130.8,131.31,638858
2016-11-01,131.33,132.28,130.5,130.95,556857
2016-11-02,131.03,131.65,130.56,130.66,564787
2016-11-03,131.06,131.95,129.95,130.22,614313
2016-11-04,130.22,130.51,129.18,129.27,494492
2016-11-07,129.81,131.56,129.52,131.47,695751
2016-11-08,130.39,133.86,130.39,132.58,778164
2016-11-09,130.45,131.38,128.3,131.21,755126
2016-11-10,130.49,130.49,126.67,127.49,1110337
2016-11-11,127.02,127.48,125.62,127.06,1058327
2016-11-14,126.79,129.68,126.34,128.82,1033551
2016-11-15,129.33,130.86,128.56,128.8,865266
2016-11-16,128.8,130.98,128.77,129.95,1185682
2016-11-17,127.42,127.42,122.05,124.85,1769433
2016-11-18,124.47,125.57,123.82,124.85,1954399
2016-11-21,124.58,126.5,124.51,126.46,1072883
2016-11-22,127.05,127.66,126.47,126.92,762982
2016-11-23,126.51,127.57,125.15,125.58,786817
2016-11-25,126.22,127.42,125.86,126.46,298181
2016-11-28,126.22,127.81,125.63,126.99,911685
2016-11-29,127.35,127.81,126.39,127.27,609868
2016-11-30,126.55,127.76,125.95,125.95,1238270
2016-12-01,125.33,125.73,124.2,124.74,819931
2016-12-02,125.24,126.17,124.59,125.28,608595
2016-12-05,125.31,126.14,124.76,126.01,667159
2016-12-06,126.14,126.86,125.47,126.75,797570
2016-12-07,127.0,129.0,126.82,128.65,586478
2016-12-08,128.31,129.2,127.66,128.76,502467
2016-12-09,129.3,130.68,128.61,130.49,700923
2016-12-12,130.38,130.98,129.7,130.19,521504
2016-12-13,130.14,131.28,129.9,130.58,559874
2016-12-14,130.42,131.17,127.51,128.08,846706
2016-12-15,128.13,128.5,126.64,127.45,1246647
2016-12-16,127.54,130.69,127.27,129.14,1349089
2016-12-19,129.68,130.4,128.88,129.39,533722
2016-12-20,128.45,129.94,128.12,129.2,675787
2016-12-21,129.26,130.18,128.28,128.55,469451
2016-12-22,128.89,129.7,128.26,129.22,479422
2016-12-23,129.2,129.5,128.8,129.46,265698
2016-12-27,128.81,129.46,128.47,128.88,300647
2016-12-28,128.86,129.0,127.71,127.96,340412
2016-12-29,128.14,129.31,127.76,129.15,387209
2016-12-30,129.44,129.44,127.42,128.06,587039
2017-01-03,128.51,129.92,128.14,128.97,652666
2017-01-04,130.24,130.24,128.33,128.53,786918
2017-01-05,128.53,129.63,128.32,129.18,661267
2017-01-06,128.97,129.53,128.19,129.04,534584
2017-01-09,129.11,129.13,127.53,128.01,642166
2017-01-10,127.52,128.99,127.0,128.74,1411339
2017-01-11,128.75,131.47,128.66,130.65,2052990
2017-01-12,130.43,131.3,130.29,130.56,1169067
2017-01-13,130.73,131.47,130.33,131.0,780704
2017-01-17,131.01,132.33,130.44,132.26,887698
2017-01-18,132.45,133.21,132.21,133.0,983743
2017-01-19,132.55,133.35,132.28,132.86,1122031
2017-01-20,133.38,133.9,132.8,133.57,886494
2017-01-23,133.27,134.4,132.75,133.49,1040522
2017-01-24,133.38,134.78,133.0,134.51,1022393
2017-01-25,134.54,135.15,134.39,135.01,1001253
2017-01-26,135.01,135.88,134.76,135.82,1206339
2017-01-27,135.81,136.13,134.71,135.59,964383
2017-01-30,135.98,135.98,133.09,134.12,1103701
2017-01-31,133.77,135.91,133.77,135.85,1590776
2017-02-01,134.99,136.47,134.7,135.5,1684157
2017-02-02,136.09,138.55,135.5,137.58,1787152
2017-02-03,138.45,139.64,137.21,138.78,1036474
2017-02-06,139.02,139.25,137.61,138.0,926132
2017-02-07,137.75,139.95,137.75,139.66,941057
2017-02-08,138.19,139.0,137.0,137.19,1318841
2017-02-09,137.49,138.19,137.1,137.7,682081
2017-02-10,137.5,138.68,137.01,138.02,494387
2017-02-13,138.05,139.08,137.01,138.79,1531611
2017-02-14,138.06,138.53,137.17,137.93,1340024
2017-02-15,137.51,138.73,137.26,138.53,1161694
2017-02-16,138.26,138.76,137.01,137.84,2461336
2017-02-17,132.42,137.03,130.01,135.95,3590309
2017-02-21,135.96,143.68,135.23,141.92,3228428
2017-02-22,141.06,141.89,140.47,140.73,1193555
2017-02-23,141.37,141.9,140.72,140.83,1293746
2017-02-24,141.19,141.29,139.92,141.18,792747
2017-02-27,141.18,141.59,139.96,140.96,1769317
2017-02-28,141.04,143.45,140.6,141.73,1285963
2017-03-01,141.28,142.04,140.45,140.69,1841817
2017-03-02,140.76,141.53,140.53,140.95,798529
2017-03-03,140.85,141.22,140.13,140.49,1107191
2017-03-06,139.8,140.56,139.43,139.99,865133
2017-03-07,140.0,140.35,139.06,139.17,981225
2017-03-08,138.94,139.3,138.44,138.44,2051379
2017-03-09,139.13,139.96,138.76,139.69,1480253
2017-03-10,140.43,140.44,139.2,139.49,1236629
2017-03-13,139.49,139.59,138.62,139.11,1152182
2017-03-14,139.05,139.24,138.36,138.92,922581
2017-03-15,139.01,140.04,138.64,139.14,1215863
2017-03-16,138.71,138.99,138.1,138.72,1520729
2017-03-17,139.13,139.39,138.49,138.55,1311448
2017-03-20,138.6,139.1,138.11,138.5,795476
2017-03-21,136.58,136.73,133.79,134.61,2135579
2017-03-22,134.77,134.89,133.07,133.64,1411683
2017-03-23,133.46,134.13,132.79,133.16,1364035
2017-03-24,133.54,133.69,132.64,133.06,654583
