Date,Open,High,Low,Close,Volume
2016-10-04,63.93,65.71,63.29,63.6,1118295
2016-10-05,63.35,64.33,63.19,63.78,762946
2016-10-06,63.89,64.01,63.28,63.5,590770
2016-10-07,63.5,63.5,62.03,62.38,768691
2016-10-10,62.81,62.89,62.05,62.27,530267
2016-10-11,62.28,62.77,61.62,62.14,827882
2016-10-12,61.96,62.29,61.15,62.18,864929
2016-10-13,61.83,61.99,60.63,61.77,726022
2016-10-14,62.0,62.37,61.12,61.28,748983
2016-10-17,61.15,61.9,60.9,61.5,760538
2016-10-18,61.87,62.06,61.38,61.69,464699
2016-10-19,61.88,62.28,61.65,61.89,432908
2016-10-20,61.88,62.62,61.26,62.51,1070362
2016-10-21,62.03,66.9,62.03,65.99,3452787
2016-10-24,66.31,66.46,65.24,66.1,1460639
2016-10-25,65.82,66.21,65.07,65.19,979575
2016-10-26,65.13,66.32,64.56,65.89,1332235
2016-10-27,65.84,66.3,63.65,63.74,2003981
2016-10-28,63.88,64.11,63.19,63.56,1151811
2016-10-31,63.53,64.52,63.53,64.36,876144
2016-11-01,64.68,64.68,62.84,63.99,1447583
2016-11-02,63.78,64.38,62.73,63.54,1055687
2016-11-03,63.5,65.69,63.5,64.74,1492562
2016-11-04,65.0,66.05,64.54,64.84,1615251
2016-11-07,68.45,68.49,64.55,65.43,2648423
2016-11-08,65.81,65.99,65.09,65.2,1762921
2016-11-09,64.1,65.86,63.43,65.5,1830995
2016-11-10,65.42,67.37,65.03,67.01,1924071
2016-11-11,66.99,68.54,65.66,68.47,1324583
2016-11-14,68.47,73.71,68.47,73.7,3423521
2016-11-15,73.49,73.61,70.52,70.63,2175329
2016-11-16,70.8,71.84,70.5,71.67,909166
2016-11-17,71.48,72.18,70.88,71.19,1199947
2016-11-18,71.16,71.2,69.58,69.65,1262439
2016-11-21,69.69,70.26,69.2,69.47,1208042
2016-11-22,69.72,69.72,68.95,69.33,1748595
2016-11-23,69.3,70.32,69.3,70.14,781874
2016-11-25,70.13,70.7,69.24,70.5,209555
2016-11-28,70.22,70.45,69.0,69.02,788651
2016-11-29,68.74,70.14,68.65,70.06,1132706
2016-11-30,70.13,70.3,69.0,69.26,847331
2016-12-01,69.19,69.97,68.57,69.69,854046
2016-12-02,69.45,69.97,68.08,68.47,773260
2016-12-05,68.91,70.95,68.43,69.2,1437267
2016-12-06,69.25,70.4,68.22,70.36,1062890
2016-12-07,69.95,72.51,69.79,72.17,1174675
2016-12-08,72.25,73.19,72.14,72.94,906345
2016-12-09,72.93,72.93,70.87,71.72,1044868
2016-12-12,71.44,72.36,69.43,70.42,1371073
2016-12-13,70.93,71.69,70.6,71.22,1276948
2016-12-14,71.25,72.57,71.15,71.54,869949
2016-12-15,71.4,71.55,70.41,70.46,1380873
2016-12-16,70.5,71.29,70.01,70.3,1926554
2016-12-19,70.23,70.8,70.19,70.75,759131
2016-12-20,71.09,73.16,70.62,72.68,1400395
2016-12-21,72.38,72.84,71.79,72.13,866924
2016-12-22,72.29,72.78,71.8,72.6,675846
2016-12-23,72.69,72.97,72.29,72.51,586017
2016-12-27,72.59,73.02,72.34,72.73,736008
2016-12-28,72.98,73.03,71.98,72.03,273021
2016-12-29,71.88,72.39,71.54,71.79,398377
2016-12-30,72.24,72.29,70.75,71.37,677925
2017-01-03,71.5,72.81,71.29,72.37,786825
2017-01-04,72.41,74.86,72.4,74.49,1577680
2017-01-05,74.0,74.73,73.65,74.68,1021818
2017-01-06,74.97,75.37,74.09,74.38,739059
2017-01-09,74.11,74.95,73.76,74.76,847015
2017-01-10,74.51,75.47,73.87,74.29,869461
2017-01-11,74.34,74.67,73.68,74.41,604761
2017-01-12,74.1,75.8,74.1,75.4,617115
2017-01-13,75.28,75.84,74.96,75.29,611048
2017-01-17,74.91,75.13,74.25,75.02,1016637
2017-01-18,75.21,75.58,74.95,75.34,913052
2017-01-19,75.3,75.63,73.99,74.36,1099629
2017-01-20,74.62,75.19,73.86,74.14,1097760
2017-01-23,74.34,74.72,73.91,74.63,597986
2017-01-24,74.49,74.85,73.91,74.7,701250
2017-01-25,74.86,75.63,74.56,75.0,1012249
2017-01-26,75.1,77.8,74.81,76.96,1273422
2017-01-27,76.91,77.35,75.55,76.27,906920
2017-01-30,76.2,76.47,75.73,76.3,550015
2017-01-31,76.15,76.36,75.49,76.16,1259478
2017-02-01,76.36,77.27,75.23,75.84,958784
2017-02-02,75.65,76.38,75.28,75.72,699407
2017-02-03,76.11,76.56,75.82,76.12,511395
2017-02-06,76.0,76.74,75.47,75.51,797582
2017-02-07,75.6,76.0,75.23,75.52,685431
2017-02-08,75.41,75.72,74.46,75.19,1065787
2017-02-09,75.51,77.38,73.66,77.23,1625433
2017-02-10,77.21,78.05,77.04,77.83,1138256
2017-02-13,78.23,78.52,77.39,77.47,750047
2017-02-14,77.35,77.43,76.38,76.9,1155745
2017-02-15,76.92,77.86,76.92,77.18,1624441
2017-02-16,77.43,78.74,76.72,77.1,1363689
2017-02-17,77.03,77.03,75.71,76.04,1292821
2017-02-21,75.13,82.64,75.13,81.5,4548126
2017-02-22,82.35,83.42,81.51,82.46,2016522
2017-02-23,82.55,83.0,81.68,81.7,1267817
2017-02-24,81.43,81.43,80.14,80.76,1891126
2017-02-27,80.84,81.34,80.46,80.71,1248453
2017-02-28,80.71,81.09,80.19,80.77,1663234
2017-03-01,80.2,80.77,79.73,79.99,1255263
2017-03-02,80.0,80.0,78.25,78.96,2169928
2017-03-03,78.74,78.96,77.94,78.52,1136311
2017-03-06,78.52,78.71,77.88,78.2,906909
2017-03-07,78.08,78.61,77.25,78.34,1389647
2017-03-08,78.34,79.25,77.6,78.54,1230549
2017-03-09,78.0,79.86,77.98,79.14,1222806
2017-03-10,79.47,79.8,78.83,79.37,909437
2017-03-13,79.43,79.66,78.48,78.99,736057
2017-03-14,78.81,79.33,78.11,78.5,600093
2017-03-15,78.74,80.25,78.74,79.76,998630
2017-03-16,79.66,80.0,79.07,79.48,637551
2017-03-17,79.48,79.61,78.63,79.14,688015
2017-03-20,79.2,79.83,78.42,79.11,1180704
2017-03-21,79.31,79.71,78.07,78.29,654731
2017-03-22,78.28,78.63,77.66,78.3,840799
2017-03-23,78.3,79.2,77.81,78.25,805956
2017-03-24,78.37,78.95,77.84,78.55,509750
2017-03-27,78.22,78.64,77.42,78.53,657817
2017-03-28,78.47,78.55,77.8,78.34,823725
2017-03-29,78.22,78.92,77.97,78.62,547925
2017-03-30,78.63,78.99,78.42,78.67,616461
2017-03-31,78.6,79.0,78.33,78.37,760272
2017-04-03,78.45,79.43,77.08,77.39,1385671
2017-04-04,77.39,78.25,77.33,78.18,919070
2017-04-05,78.38,79.03,77.68,77.78,1097902
2017-04-06,77.88,78.08,76.18,77.72,1239153
2017-04-07,77.47,77.78,76.76,77.13,994272
2017-04-10,77.1,78.49,77.1,77.21,785838
2017-04-11,77.07,77.62,76.38,76.64,819029
2017-04-12,76.71,77.05,75.33,75.43,1221131
2017-04-13,75.58,75.86,74.03,74.28,2281861
2017-04-17,74.5,74.99,74.14,74.82,969947
2017-04-18,74.83,75.99,74.19,74.51,1321026
2017-04-19,74.79,75.29,74.44,75.25,1638125
2017-04-20,75.33,75.86,74.96,75.6,1290115
2017-04-21,75.55,76.2,75.02,75.15,1029320
2017-04-24,75.97,76.16,75.24,75.49,1070119
2017-04-25,75.74,76.43,75.55,75.96,742093
2017-04-26,76.11,76.96,75.99,76.49,1512363
2017-04-27,76.57,76.87,75.5,75.64,983200
2017-04-28,75.41,76.06,74.29,74.72,984032
2017-05-01,74.72,75.3,73.49,73.6,1886486
2017-05-02,73.81,73.81,71.6,71.87,1939801
2017-05-03,71.66,72.17,67.29,68.4,4596863
2017-05-04,68.0,70.37,65.35,70.2,5122297
2017-05-05,74.06,74.19,71.12,72.5,3096262
2017-05-08,72.23,72.65,70.52,71.01,1844423
2017-05-09,70.95,71.22,68.67,69.79,1352804
2017-05-10,69.46,70.11,68.61,69.33,2127053
2017-05-11,69.08,69.43,68.49,68.76,2071625
2017-05-12,68.72,68.96,68.1,68.37,646500
2017-05-15,68.43,68.73,67.83,68.28,1100204
2017-05-16,68.65,68.65,66.91,67.68,1383194
2017-05-17,66.93,67.81,66.47,66.5,1615485
2017-05-18,66.05,67.24,65.79,66.62,2087268
2017-05-19,66.35,68.2,66.04,68.05,1480383
