Date,Open,High,Low,Close,Volume
2016-10-04,104.79,104.79,101.92,102.72,1581521
2016-10-05,103.01,104.23,102.43,102.73,1588642
2016-10-06,102.45,103.49,101.7,103.09,890383
2016-10-07,103.44,104.55,102.57,102.66,1200176
2016-10-10,103.01,104.42,102.96,104.31,964701
2016-10-11,103.95,103.95,102.21,102.77,1139456
2016-10-12,103.05,103.74,102.7,103.49,1111445
2016-10-13,103.64,105.23,103.14,104.6,1042231
2016-10-14,105.21,105.21,103.68,104.01,975025
2016-10-17,104.19,104.58,103.94,104.46,774404
2016-10-18,105.2,105.53,103.9,105.06,582132
2016-10-19,105.2,105.4,104.58,104.65,809913
2016-10-20,104.78,105.57,104.66,105.35,1016996
2016-10-21,104.83,105.17,104.36,104.85,696518
2016-10-24,105.39,105.81,104.63,105.21,995460
2016-10-25,104.99,106.43,104.84,106.41,684367
2016-10-26,106.21,109.42,104.97,105.35,1699440
2016-10-27,104.81,105.23,103.36,104.57,1258253
2016-10-28,104.81,105.84,104.15,105.1,682891
2016-10-31,105.67,107.64,105.46,107.1,1202645
2016-11-01,107.1,107.1,104.54,104.85,1056815
2016-11-02,104.85,105.22,99.07,99.36,4334554
2016-11-03,99.08,101.3,98.68,100.98,1402763
2016-11-04,101.47,103.43,101.47,102.1,1944139
2016-11-07,102.74,104.11,101.93,104.07,1421783
2016-11-08,104.1,104.94,103.72,104.38,710819
2016-11-09,102.69,102.69,98.03,99.67,3926778
2016-11-10,98.74,99.04,96.56,97.24,2393577
2016-11-11,97.22,97.99,95.4,95.69,1783387
2016-11-14,95.77,95.77,92.95,94.74,3650276
2016-11-15,95.33,97.56,94.85,97.05,1916591
2016-11-16,97.28,98.35,96.53,98.31,1852507
2016-11-17,98.04,99.73,98.04,99.53,1708955
2016-11-18,99.46,100.65,99.28,99.82,1974404
2016-11-21,100.25,100.32,98.86,99.71,1281888
2016-11-22,99.95,100.76,99.66,100.19,989006
2016-11-23,100.0,100.34,98.12,98.68,1327305
2016-11-25,98.99,99.96,98.83,99.46,428125
2016-11-28,99.65,101.78,99.65,101.25,1832205
2016-11-29,100.86,102.37,100.14,101.27,1216034
2016-11-30,101.27,101.64,99.6,99.8,1489915
2016-12-01,99.18,99.78,98.61,99.35,845124
