Date,Open,High,Low,Close,Volume
2016-10-04,68.78,69.56,68.5,68.65,4376546
2016-10-05,68.62,68.72,67.63,67.74,4762294
2016-10-06,67.54,68.58,67.21,68.41,5032349
2016-10-07,68.61,69.21,68.48,69.04,3863103
2016-10-10,69.41,69.41,68.69,68.86,2724148
2016-10-11,68.79,69.02,68.28,68.39,3029888
2016-10-12,68.46,68.56,67.81,67.86,4279641
2016-10-13,67.67,68.18,67.31,67.89,3292090
2016-10-14,67.9,68.55,67.71,68.11,3818656
2016-10-17,67.98,68.0,67.09,67.24,4059496
2016-10-18,67.55,67.72,67.01,67.36,3011649
2016-10-19,67.63,67.7,67.12,67.53,2619614
2016-10-20,67.62,67.89,67.45,67.71,3961217
2016-10-21,67.43,68.45,67.25,68.23,3121799
2016-10-24,68.33,68.7,68.0,68.26,2545825
2016-10-25,68.0,68.33,67.8,67.95,2553058
2016-10-26,67.88,68.96,67.79,68.59,2846524
2016-10-27,68.59,68.78,67.49,67.62,3731161
2016-10-28,67.72,69.25,67.72,68.83,4114513
2016-10-31,68.78,69.25,68.51,68.73,3349469
2016-11-01,68.66,68.83,67.4,67.78,4019538
2016-11-02,67.72,68.49,67.35,68.26,3970626
2016-11-03,68.54,68.59,66.55,66.67,5068432
2016-11-04,66.72,67.31,66.52,66.53,3937253
2016-11-07,67.22,67.56,67.03,67.53,4777725
2016-11-08,67.36,67.74,66.65,67.05,5097538
2016-11-09,66.29,69.25,66.01,68.81,9570730
2016-11-10,69.67,72.2,69.39,70.54,9639342
2016-11-11,70.43,71.54,70.2,71.35,5330556
2016-11-14,71.07,72.88,70.85,72.17,7455374
2016-11-15,72.31,72.37,71.17,71.44,7693838
2016-11-16,77.5,78.3,75.56,76.03,22059179
2016-11-17,76.18,76.43,75.4,76.13,8054493
2016-11-18,75.9,76.39,75.69,76.19,6057511
2016-11-21,76.12,76.81,76.0,76.51,4477038
2016-11-22,76.89,78.13,76.86,77.87,5853334
2016-11-23,77.93,78.96,77.58,78.48,6783783
2016-11-25,78.85,79.33,78.42,78.61,2543818
2016-11-28,78.37,78.94,77.5,77.72,5405472
2016-11-29,78.0,78.69,77.75,78.41,4693985
2016-11-30,77.73,78.04,77.06,77.24,5819108
2016-12-01,76.86,78.58,76.59,77.82,6685299
2016-12-02,77.24,78.4,76.83,77.94,7523696
2016-12-05,78.01,78.08,76.8,76.98,7173255
2016-12-06,76.91,77.08,76.05,76.77,7704230
2016-12-07,76.79,77.18,76.1,76.97,6791043
2016-12-08,77.35,78.42,77.16,77.84,5090514
2016-12-09,77.44,77.68,76.88,77.39,4047724
2016-12-12,76.98,77.43,76.35,76.74,4489290
2016-12-13,77.0,78.06,76.49,77.67,4925649
2016-12-14,77.45,77.85,76.85,77.19,6045447
2016-12-15,77.14,77.7,76.79,76.98,4089392
2016-12-16,77.04,78.37,76.48,76.75,8217424
2016-12-19,76.58,77.64,76.52,77.04,2856602
