Date,Open,High,Low,Close,Volume
2016-10-04,138.69,139.36,137.16,138.16,2452575
2016-10-05,138.21,138.93,136.6,137.6,4625613
2016-10-06,137.31,137.49,135.66,136.47,4025313
2016-10-07,137.21,137.55,135.98,136.66,2568703
2016-10-10,136.97,138.35,136.97,138.08,2585956
2016-10-11,137.32,137.69,134.37,134.75,3353588
2016-10-12,134.98,135.72,133.64,135.1,4287909
2016-10-13,134.65,134.65,133.61,134.19,3425680
2016-10-14,134.78,135.51,133.89,133.92,3452918
2016-10-17,134.06,134.43,133.03,134.13,3602532
2016-10-18,139.2,143.95,137.87,143.39,10141914
2016-10-19,143.82,146.36,142.82,144.37,5796032
2016-10-20,144.49,145.88,143.98,145.07,5203669
2016-10-21,144.26,145.44,143.76,145.37,3331766
2016-10-24,146.0,146.22,144.02,144.69,2930159
2016-10-25,144.88,145.38,143.6,143.78,3095384
2016-10-26,143.75,143.78,141.88,142.23,3267632
2016-10-27,142.72,143.25,141.58,141.94,3358006
2016-10-28,141.66,142.35,139.44,140.35,4033636
2016-10-31,140.8,141.54,139.97,141.33,3761070
2016-11-01,141.51,141.51,138.82,139.43,3391410
2016-11-02,139.02,141.23,138.93,138.98,3149707
2016-11-03,139.18,140.34,137.65,137.83,2989689
2016-11-04,138.45,138.89,137.69,137.71,3520746
2016-11-07,139.6,142.44,139.55,141.93,3896555
2016-11-08,141.35,143.61,141.0,142.9,4389253
2016-11-09,139.54,144.19,136.22,141.9,8042434
2016-11-10,142.34,146.57,142.0,146.13,6075842
2016-11-11,146.71,147.5,146.01,146.42,4475449
2016-11-14,147.32,152.92,147.04,152.28,5740425
2016-11-15,153.51,153.96,151.51,152.23,4910721
2016-11-16,151.99,153.0,151.23,151.5,3899008
2016-11-17,151.82,151.92,150.19,150.77,4672899
2016-11-18,151.05,151.66,149.4,149.45,5664818
2016-11-21,149.72,150.66,148.56,150.41,3867791
2016-11-22,151.08,152.93,150.56,152.26,4992120
2016-11-23,152.01,153.74,150.96,153.54,2838847
2016-11-25,153.93,154.5,152.61,152.81,1664542
2016-11-28,152.74,152.85,150.0,152.11,5029589
2016-11-29,156.94,158.12,155.18,157.59,5827435
2016-11-30,157.47,159.76,157.07,158.32,7142369
2016-12-01,159.12,161.72,159.12,160.94,5250234
2016-12-02,161.0,162.52,160.56,160.73,3480032
2016-12-05,160.19,160.67,156.23,157.63,5854226
2016-12-06,158.17,158.23,156.26,157.32,3216730
2016-12-07,157.89,159.98,156.35,159.4,4552337
2016-12-08,159.41,160.24,158.0,159.32,3407518
2016-12-09,159.52,160.16,157.71,160.12,4007213
2016-12-12,158.83,159.66,157.75,159.49,3471430
2016-12-13,160.4,161.71,160.06,160.54,3868877
2016-12-14,161.14,161.8,158.72,159.86,3885652
2016-12-15,159.87,161.29,159.43,160.62,4422949
2016-12-16,161.38,164.0,161.19,163.94,7605257
