Date,Open,High,Low,Close,Volume
2016-10-04,37.6,38.11,37.35,37.58,4974582
2016-10-05,37.86,38.22,37.56,37.74,4279233
2016-10-06,37.61,37.61,36.53,36.62,5910673
2016-10-07,36.55,36.85,36.16,36.27,3722323
2016-10-10,36.45,36.7,36.24,36.26,2277075
2016-10-11,36.16,36.3,35.37,35.73,3767501
2016-10-12,35.61,35.7,35.1,35.12,2675414
2016-10-13,36.02,36.17,35.27,35.82,6843845
2016-10-14,36.1,36.27,35.65,36.0,4680586
2016-10-17,36.34,36.51,35.78,36.09,4127121
2016-10-18,36.36,36.55,36.13,36.14,4753568
2016-10-19,36.08,37.74,36.08,36.37,3059016
2016-10-20,36.25,36.76,35.93,36.5,4619281
2016-10-21,36.41,38.11,36.33,37.51,7257413
2016-10-24,37.66,37.84,37.02,37.45,3647618
2016-10-25,37.13,37.51,37.05,37.43,2780352
2016-10-26,37.51,37.93,37.2,37.75,2547156
2016-10-27,37.8,37.9,37.31,37.72,3003707
2016-10-28,37.74,38.01,37.45,37.6,2272420
2016-10-31,37.74,37.97,37.35,37.56,2817351
2016-11-01,37.56,37.78,36.36,36.68,3127208
2016-11-02,36.63,36.83,35.65,35.87,3799125
2016-11-03,36.0,36.95,35.89,36.68,3069062
2016-11-04,36.35,37.33,36.35,36.56,3315860
2016-11-07,37.31,39.33,36.82,37.56,2921430
2016-11-08,37.56,37.62,36.92,37.35,3430915
2016-11-09,36.25,38.24,36.0,37.98,4043226
2016-11-10,37.9,38.6,37.69,38.01,3421033
2016-11-11,37.9,38.49,37.78,38.42,2826072
2016-11-14,38.33,39.02,38.21,38.86,2209592
2016-11-15,38.68,39.93,38.08,38.61,2872272
2016-11-16,38.59,38.94,38.43,38.58,2089016
2016-11-17,38.41,38.8,38.31,38.61,2211855
2016-11-18,38.58,38.78,37.71,37.77,2745200
2016-11-21,37.82,38.23,37.19,37.21,2711424
2016-11-22,37.36,37.64,37.2,37.23,4249240
2016-11-23,37.16,37.46,36.94,37.25,1751484
2016-11-25,36.68,37.73,36.26,37.64,1324504
2016-11-28,37.46,37.82,36.75,36.79,2223075
2016-11-29,36.73,37.18,36.63,36.95,3379995
2016-11-30,37.0,37.75,37.0,37.48,4317147
2016-12-01,37.47,37.94,37.13,37.26,3677662
2016-12-02,37.2,37.45,36.32,36.52,2542698
2016-12-05,36.83,36.85,36.44,36.63,3927307
2016-12-06,36.63,36.8,36.38,36.54,3020229
2016-12-07,36.46,38.27,36.45,38.01,4700765
2016-12-08,38.1,38.94,37.78,38.8,4834321
2016-12-09,38.75,39.49,38.25,38.62,3251687
2016-12-12,36.55,37.21,34.86,34.99,14901686
2016-12-13,34.38,35.56,33.94,34.96,6635990
2016-12-14,34.95,35.14,34.58,34.6,4827378
2016-12-15,34.91,35.12,34.6,34.91,4900668
2016-12-16,35.15,36.32,34.92,35.22,7332905
2016-12-19,35.2,35.38,34.29,34.49,3749212
2016-12-20,34.51,34.71,34.36,34.63,2227735
2016-12-21,34.46,35.3,34.44,35.25,4045317
2016-12-22,35.11,35.3,34.69,35.15,3630943
2016-12-23,35.09,35.48,34.86,35.15,2102785
2016-12-27,35.06,36.15,35.03,35.79,4023515
2016-12-28,35.89,35.96,35.46,35.52,2008646
2016-12-29,35.5,35.7,35.2,35.28,1824743
2016-12-30,35.4,35.73,35.0,35.1,2542744
2017-01-03,35.5,36.11,35.5,35.9,4696627
2017-01-04,35.92,37.04,35.85,36.6,5208353
2017-01-05,36.94,37.83,36.76,37.48,5433241
2017-01-06,37.98,38.1,37.22,37.79,4167326
2017-01-09,38.08,38.94,38.01,38.34,5021063
2017-01-10,38.54,39.02,38.1,38.4,4369066
2017-01-11,38.55,39.34,38.28,38.9,7388492
2017-01-12,38.77,39.02,38.37,38.53,3140673
2017-01-13,38.54,38.88,38.17,38.7,3001769
2017-01-17,38.54,38.87,38.48,38.69,3414910
2017-01-18,38.9,39.84,38.79,39.76,5689258
2017-01-19,39.73,40.21,38.94,39.8,5876377
2017-01-20,40.02,40.43,39.56,40.23,6330731
2017-01-23,40.2,40.41,39.8,40.32,3902575
2017-01-24,40.46,41.17,40.18,41.11,3661727
2017-01-25,41.29,41.65,40.78,40.99,3411171
2017-01-26,41.02,42.06,40.96,41.85,4514906
2017-01-27,41.96,42.21,41.58,41.97,3432715
2017-01-30,42.25,42.5,41.8,42.46,4507022
2017-01-31,42.4,42.58,41.81,42.14,4849765
2017-02-01,42.18,42.5,41.41,41.65,3164620
2017-02-02,41.54,41.74,41.38,41.58,2523001
