Date,Open,High,Low,Close,Volume
2016-10-04,53.17,54.35,53.17,53.65,5804032
2016-10-05,54.08,55.39,53.81,54.8,6393874
2016-10-06,54.8,55.19,54.17,54.9,4045611
2016-10-07,54.82,55.17,53.75,54.27,5564693
2016-10-10,54.67,54.98,54.45,54.74,4118431
2016-10-11,55.05,55.26,54.0,54.19,4419745
2016-10-12,54.02,54.06,52.64,53.79,5334202
2016-10-13,53.57,54.25,53.0,53.85,3862351
2016-10-14,53.98,54.37,53.6,53.79,3071944
2016-10-17,53.92,55.59,53.6,54.15,5476245
2016-10-18,54.35,55.61,54.16,55.46,6109446
2016-10-19,55.4,55.55,53.9,54.54,7486664
2016-10-20,54.83,54.96,54.3,54.77,3650861
2016-10-21,54.5,55.91,54.21,55.76,5287856
2016-10-24,56.04,56.44,55.62,56.16,5358674
2016-10-25,57.29,59.5,56.54,58.93,10808919
2016-10-26,58.72,60.36,58.45,59.52,7770825
2016-10-27,59.34,60.0,58.74,58.81,6598112
2016-10-28,58.77,59.67,58.37,58.6,4742117
2016-10-31,58.6,59.68,58.54,59.24,4969484
2016-11-01,60.37,61.62,59.1,59.49,7817612
2016-11-02,59.19,59.86,58.01,58.43,7317619
2016-11-03,58.47,58.92,57.4,57.86,3855988
2016-11-04,57.75,58.83,57.57,57.87,3729942
2016-11-07,58.4,58.71,57.99,58.52,4075111
2016-11-08,58.16,58.62,57.57,58.14,3803447
2016-11-09,58.73,62.7,58.47,62.03,10909132
2016-11-10,62.13,64.2,62.04,62.96,8019919
2016-11-11,62.82,63.17,61.41,62.45,4273736
2016-11-14,62.55,63.09,62.02,62.58,4614069
2016-11-15,62.77,63.31,61.64,63.15,4652157
2016-11-16,63.4,64.11,63.15,63.63,4684124
2016-11-17,64.2,64.78,63.85,64.67,5750523
2016-11-18,63.93,63.98,62.94,63.39,4737657
2016-11-21,63.85,64.73,63.14,64.54,4922760
2016-11-22,64.96,66.17,64.55,65.25,4427399
2016-11-23,64.84,65.42,64.05,64.72,4306372
2016-11-25,64.47,64.88,64.28,64.86,1735372
2016-11-28,64.87,65.02,63.61,63.79,4666386
2016-11-29,63.29,64.32,63.09,63.77,4427864
2016-11-30,62.47,63.52,60.35,61.56,14238350
2016-12-01,61.5,62.21,60.41,60.53,10720481
2016-12-02,60.66,61.7,60.41,61.46,5295670
2016-12-05,61.87,64.59,61.66,64.52,8277910
2016-12-06,64.23,64.9,63.84,64.72,5149317
2016-12-07,64.87,67.61,64.57,67.54,6397994
2016-12-08,67.9,69.28,67.85,68.37,5556096
2016-12-09,67.91,68.08,67.22,68.0,5124518
2016-12-12,69.03,69.17,66.31,66.82,6769789
2016-12-13,66.36,68.04,66.36,67.2,4336362
2016-12-14,67.26,67.82,66.35,66.49,4534287
2016-12-15,66.5,68.04,66.13,67.64,5106894
2016-12-16,67.97,68.46,67.52,68.0,8009899
2016-12-19,68.0,68.07,66.91,67.45,3612280
2016-12-20,67.2,68.28,67.2,67.57,2765102
2016-12-21,67.51,68.31,66.6,67.93,3206370
2016-12-22,68.3,69.24,68.26,68.72,3212354
2016-12-23,68.5,69.2,68.25,68.96,1696795
2016-12-27,69.23,69.85,69.14,69.45,2153879
2016-12-28,69.14,69.33,68.48,68.67,2471069
2016-12-29,68.67,69.65,68.25,68.63,1913030
2016-12-30,68.56,69.17,68.12,68.32,2552875
2017-01-03,69.55,71.4,68.84,70.42,4425039
2017-01-04,69.54,69.91,67.39,67.89,7431035
2017-01-05,68.39,68.39,66.54,67.68,6450632
2017-01-06,67.7,67.88,66.63,66.66,3771723
2017-01-09,66.22,66.6,65.45,66.37,5132604
2017-01-10,66.32,67.66,66.02,66.53,5433399
2017-01-11,66.78,67.24,66.27,67.08,3391045
2017-01-12,66.24,66.94,65.37,66.52,4530147
2017-01-13,66.21,66.84,65.94,66.39,3366737
2017-01-17,66.93,68.19,65.78,66.19,4942176
2017-01-18,66.2,67.36,66.16,66.75,4252098
2017-01-19,66.68,66.77,65.53,66.07,3642165
2017-01-20,66.35,66.64,65.68,66.24,2911178
2017-01-23,66.52,66.52,65.68,66.25,4049567
2017-01-24,66.45,68.02,66.17,67.86,3893732
2017-01-25,68.23,68.4,67.3,68.33,4606237
2017-01-26,68.38,68.49,67.2,67.37,4006340
2017-01-27,67.62,68.54,66.71,67.31,4628178
2017-01-30,67.37,68.3,66.61,68.23,8413949
2017-01-31,67.8,67.82,64.45,65.76,11657679
2017-02-01,66.53,66.74,64.81,65.37,5204470
2017-02-02,65.02,66.08,64.62,65.42,6193179
2017-02-03,65.48,65.7,64.83,65.51,4416379
2017-02-06,65.51,66.12,64.91,65.11,4297823
2017-02-07,65.16,66.25,64.85,65.44,4968517
2017-02-08,65.27,67.14,65.0,67.08,4428117
2017-02-09,67.27,67.89,67.2,67.62,2805912
2017-02-10,67.87,68.0,67.25,67.47,2653911
2017-02-13,66.75,67.43,66.65,67.04,3367526
2017-02-14,67.23,67.69,66.91,67.62,2512323
2017-02-15,67.67,67.96,67.19,67.76,2572705
2017-02-16,67.57,67.61,66.4,66.6,5266519
2017-02-17,66.32,66.5,65.11,65.49,4808766
2017-02-21,65.98,66.47,65.53,66.27,4499580
2017-02-22,66.13,66.54,65.74,66.01,4240404
2017-02-23,66.58,67.39,66.54,67.03,4208181
2017-02-24,66.55,66.9,65.83,66.72,3670673
2017-02-27,66.66,67.45,66.34,67.24,3129406
2017-02-28,67.28,69.41,67.22,67.95,9074708
2017-03-01,68.51,69.84,68.19,68.48,4921856
2017-03-02,68.22,68.38,65.93,66.45,7342972
2017-03-03,66.89,67.2,66.0,66.08,4054091
2017-03-06,65.89,66.64,65.43,66.44,3315268
2017-03-07,66.44,66.98,65.42,65.62,5504104
2017-03-08,66.0,67.48,65.83,66.87,7446438
2017-03-09,66.76,66.76,65.58,66.48,4720291
2017-03-10,66.67,67.37,66.25,66.57,4471559
2017-03-13,66.51,67.88,66.51,67.66,4970722
2017-03-14,67.32,67.7,66.83,67.44,2955367
2017-03-15,67.73,69.0,67.13,68.73,4751235
2017-03-16,68.93,69.2,68.47,68.55,3654241
2017-03-17,68.75,68.98,68.26,68.9,9529901
2017-03-20,68.74,69.12,68.18,68.53,3175135
2017-03-21,68.6,68.7,66.73,67.15,4068049
2017-03-22,67.16,67.87,66.8,67.57,3123491
2017-03-23,67.63,67.94,67.02,67.1,3298752
