Date,Open,High,Low,Close,Volume
2016-10-04,86.94,87.25,85.75,86.42,1081122
2016-10-05,86.85,88.24,86.09,87.65,964360
2016-10-06,86.74,86.88,84.88,84.96,1374988
2016-10-07,85.36,85.95,84.23,85.7,983269
2016-10-10,86.35,86.95,85.83,85.98,799805
2016-10-11,85.15,86.08,80.78,81.66,2329307
2016-10-12,81.81,82.82,80.04,80.15,2255974
2016-10-13,79.55,81.56,79.52,80.56,2114074
2016-10-14,81.13,82.23,79.2,79.23,1976996
2016-10-17,79.36,81.54,78.5,80.5,1934626
2016-10-18,81.73,83.14,81.73,82.96,1510249
2016-10-19,82.79,82.89,81.21,81.83,1318814
2016-10-20,81.4,83.26,81.4,82.92,1045939
2016-10-21,82.34,82.6,80.69,80.76,1142947
2016-10-24,80.0,80.4,77.9,78.73,2032698
2016-10-25,78.88,79.75,77.43,78.71,2557667
2016-10-26,81.9,82.81,76.67,78.71,4337924
2016-10-27,79.39,81.05,75.01,75.84,3549006
2016-10-28,75.35,79.3,74.95,77.58,3400659
2016-10-31,77.61,77.88,75.77,75.86,1928193
2016-11-01,75.09,77.99,73.3,77.88,2458210
2016-11-02,77.6,78.43,76.77,78.0,2580387
2016-11-03,78.43,78.52,77.55,77.69,2370996
2016-11-04,77.39,80.92,77.39,78.96,1902122
2016-11-07,80.38,83.94,79.31,83.22,2170116
2016-11-08,82.73,84.21,81.85,82.99,1767969
2016-11-09,88.92,93.8,87.79,92.88,3988038
2016-11-10,94.07,97.93,94.06,95.36,4130927
2016-11-11,94.28,95.25,89.97,92.0,2631080
2016-11-14,92.33,94.51,89.64,94.42,2485092
2016-11-15,94.14,94.68,91.96,93.06,2265741
2016-11-16,92.58,93.06,90.43,90.47,1486963
2016-11-17,90.67,92.4,90.01,91.2,1313671
2016-11-18,90.94,91.48,89.0,89.44,1265388
2016-11-21,89.95,90.51,88.76,89.05,1278191
2016-11-22,89.32,89.75,85.4,86.2,1765652
2016-11-23,85.37,87.47,84.26,87.34,1041100
2016-11-25,87.71,87.97,86.29,87.77,814399
2016-11-28,87.47,88.0,86.13,86.9,1855272
2016-11-29,86.21,87.5,84.4,85.65,1745516
2016-11-30,85.86,86.91,81.59,81.61,2292728
2016-12-01,81.85,82.53,77.75,77.82,2662560
2016-12-02,77.65,78.01,75.38,75.5,4580479
2016-12-05,76.13,77.33,75.25,75.55,2588618
2016-12-06,75.77,78.39,75.04,78.12,1816705
2016-12-07,76.7,76.94,74.09,75.32,2569111
2016-12-08,75.98,77.34,74.59,77.22,1773434
2016-12-09,77.7,79.67,76.28,76.67,1618599
2016-12-12,76.58,76.92,75.24,76.08,1731686
2016-12-13,76.62,77.77,76.08,76.6,1210078
2016-12-14,76.34,78.69,76.0,78.33,3200088
2016-12-15,78.0,78.62,76.27,77.05,1972168
2016-12-16,77.35,78.9,76.29,76.8,2280214
2016-12-19,76.46,78.45,76.05,76.3,1555115
