Date,Open,High,Low,Close,Volume
2016-10-04,48.61,48.89,47.74,47.87,941630
2016-10-05,48.33,48.33,45.59,46.54,3339876
2016-10-06,46.34,48.0,46.34,47.45,1669444
2016-10-07,47.23,47.52,46.26,46.5,1951809
2016-10-10,46.7,47.4,46.32,46.98,1099182
2016-10-11,46.78,46.91,45.56,45.66,1688939
2016-10-12,45.75,46.25,45.65,46.0,1116610
2016-10-13,45.46,45.51,44.31,45.05,1346237
2016-10-14,45.53,46.99,45.53,46.71,1191366
2016-10-17,46.79,48.18,46.79,47.59,1638028
2016-10-18,48.38,48.38,47.44,47.8,1542756
2016-10-19,48.08,48.79,47.75,48.65,1070880
2016-10-20,48.29,48.3,46.55,46.91,1879263
2016-10-21,46.41,47.04,45.91,46.44,1013035
2016-10-24,47.0,47.93,46.8,47.21,2224713
2016-10-25,46.88,47.19,46.67,46.96,2432323
2016-10-26,46.76,47.3,46.43,46.95,2120996
2016-10-27,47.03,47.28,45.49,46.33,1153404
2016-10-28,46.6,47.02,45.93,46.16,864680
2016-10-31,46.14,46.58,46.08,46.19,1192657
2016-11-01,46.46,46.67,44.6,45.31,1794578
2016-11-02,44.97,46.07,44.97,45.83,1281758
2016-11-03,46.14,46.21,45.52,45.62,1221979
2016-11-04,45.44,46.95,45.41,46.35,2387757
2016-11-07,48.59,48.59,43.79,45.27,2786115
2016-11-08,44.97,46.01,44.48,45.69,1667970
2016-11-09,45.62,48.1,44.72,47.69,2520096
2016-11-10,48.01,48.97,48.0,48.38,2520482
2016-11-11,48.14,48.48,47.47,47.95,1385572
2016-11-14,48.15,49.52,48.11,49.42,2210911
2016-11-15,49.64,49.76,48.97,49.65,1901029
2016-11-16,49.98,50.87,49.76,50.04,2285313
2016-11-17,49.92,50.38,49.25,49.78,1654248
2016-11-18,49.64,51.14,49.47,50.27,1836047
2016-11-21,49.78,50.52,49.27,50.46,1674174
2016-11-22,50.53,50.85,50.41,50.73,1282001
2016-11-23,50.39,51.23,50.39,50.86,1302902
2016-11-25,50.77,51.11,50.41,51.11,411765
2016-11-28,51.18,51.18,50.47,50.92,1734484
2016-11-29,50.92,51.5,50.66,50.89,1194150
2016-11-30,51.01,51.38,50.72,51.2,1675255
2016-12-01,51.61,51.7,50.56,50.92,2432411
2016-12-02,51.03,51.12,50.25,51.01,2006495
2016-12-05,51.56,51.59,51.1,51.52,1087651
2016-12-06,51.36,51.79,51.24,51.77,1029339
2016-12-07,52.06,53.05,52.06,52.79,1604228
2016-12-08,52.64,53.56,52.64,52.73,1404677
2016-12-09,52.51,52.8,51.98,52.45,1359957
2016-12-12,52.6,52.66,50.85,51.07,1963234
2016-12-13,51.12,51.68,50.59,51.12,1477739
2016-12-14,50.91,52.29,50.9,51.47,2276783
2016-12-15,51.53,53.06,51.39,52.36,4560528
2016-12-16,52.1,52.79,52.1,52.72,3056396
2016-12-19,52.51,52.81,52.01,52.31,1344534
2016-12-20,52.68,53.05,52.23,52.48,1236999
2016-12-21,52.58,52.84,52.17,52.32,1095869
2016-12-22,52.01,52.35,51.23,51.53,894692
2016-12-23,51.37,51.91,51.37,51.89,698124
2016-12-27,52.13,52.41,51.88,52.27,466521
2016-12-28,52.59,52.59,51.46,51.53,909035
2016-12-29,51.48,51.8,51.01,51.61,658603
2016-12-30,51.84,51.84,50.53,50.77,811919
2017-01-03,51.35,51.77,50.78,51.22,1026224
2017-01-04,51.49,52.18,51.18,51.99,1225205
2017-01-05,51.63,52.66,51.55,52.23,937151
2017-01-06,52.48,52.87,51.93,52.49,1139150
