Date,Open,High,Low,Close,Volume
2016-10-04,52.43,52.61,51.78,52.31,3189769
2016-10-05,52.31,52.42,51.95,52.18,2608084
2016-10-06,51.94,52.02,51.4,51.65,2702501
2016-10-07,52.08,52.21,51.55,51.85,3323648
2016-10-10,52.0,53.14,52.0,52.69,3119094
2016-10-11,52.31,52.35,50.23,50.96,7512167
2016-10-12,51.03,51.57,50.79,51.42,4602127
2016-10-13,51.13,51.2,50.64,51.02,2812177
2016-10-14,51.16,51.16,50.18,50.18,2485377
2016-10-17,50.15,50.29,49.87,50.03,2644607
2016-10-18,50.57,51.13,50.51,51.06,2032614
2016-10-19,51.39,51.39,50.82,51.11,1605234
2016-10-20,51.08,51.41,50.96,51.3,1497785
2016-10-21,50.98,51.17,50.7,50.94,2032227
2016-10-24,51.06,51.19,50.81,51.03,1674033
2016-10-25,50.46,50.46,49.64,49.99,3557260
2016-10-26,49.56,49.64,48.73,48.77,3930051
2016-10-27,49.12,49.25,48.66,48.77,2564509
2016-10-28,48.49,48.72,47.9,48.56,3621768
2016-10-31,48.69,48.78,47.76,47.8,4635765
2016-11-01,47.61,47.9,46.86,47.25,8722821
2016-11-02,50.91,50.98,48.83,50.11,8106716
2016-11-03,50.17,50.22,48.71,48.95,4550193
2016-11-04,49.06,50.22,48.97,49.94,4234161
2016-11-07,50.62,50.84,49.82,49.98,9364491
2016-11-08,49.72,50.96,49.35,50.33,3852221
2016-11-09,51.89,52.19,50.32,51.0,5102875
2016-11-10,51.65,51.84,50.48,51.09,5661784
2016-11-11,50.84,50.96,50.13,50.61,3527011
2016-11-14,50.85,51.0,48.9,48.96,3681828
2016-11-15,48.71,49.19,48.24,49.15,5996815
2016-11-16,49.26,49.64,48.77,48.84,2941523
2016-11-17,49.08,49.56,48.8,49.21,3645088
2016-11-18,49.25,50.11,49.23,49.89,4747938
2016-11-21,49.95,50.14,49.75,50.0,2730212
2016-11-22,49.85,50.0,49.07,49.63,3018483
2016-11-23,49.38,50.18,48.87,50.18,2056184
2016-11-25,50.35,50.48,50.06,50.18,804749
2016-11-28,50.0,50.39,49.79,50.15,2695157
2016-11-29,50.03,50.58,50.03,50.45,2314144
2016-11-30,50.61,50.82,50.27,50.38,3782081
2016-12-01,50.41,50.55,48.62,49.16,4252362
2016-12-02,49.32,49.36,48.54,49.1,3183437
2016-12-05,48.95,49.84,48.95,49.82,2578193
2016-12-06,49.68,50.23,49.55,50.22,2573040
2016-12-07,51.2,51.38,49.79,51.26,4037819
2016-12-08,50.9,51.7,50.66,51.68,3217027
2016-12-09,51.86,52.48,51.6,51.89,2664496
2016-12-12,51.82,51.93,50.77,50.92,5021826
2016-12-13,51.26,51.42,50.81,51.05,5177724
2016-12-14,51.03,51.47,50.57,50.84,2890470
2016-12-15,52.17,52.77,51.66,52.32,3995397
2016-12-16,52.46,52.75,52.23,52.46,3959794
2016-12-19,52.46,53.06,52.26,52.39,2137792
2016-12-20,53.22,53.48,52.83,53.1,2580756
2016-12-21,53.33,53.41,52.72,53.12,2755192
2016-12-22,52.67,53.37,52.67,53.26,1515790
2016-12-23,53.2,53.78,53.18,53.78,1942469
2016-12-27,53.78,54.15,53.65,53.72,1344976
2016-12-28,53.76,53.85,53.35,53.44,1241854
2016-12-29,53.47,53.78,53.4,53.62,1047017
2016-12-30,53.64,53.74,53.27,53.53,1701204
2017-01-03,53.88,54.38,53.34,53.59,3580369
2017-01-04,53.72,54.18,53.1,54.11,3316309
2017-01-05,54.14,54.17,53.6,53.93,2469121
2017-01-06,53.85,54.72,53.73,54.1,2845753
2017-01-09,54.09,54.35,53.39,53.95,2123301
2017-01-10,54.03,54.29,53.69,53.93,2087082
2017-01-11,53.84,54.1,52.71,53.31,3400547
2017-01-12,53.09,53.58,53.03,53.39,1513688
2017-01-13,53.55,53.88,53.35,53.74,2458676
2017-01-17,53.5,53.68,52.93,53.22,2213400
2017-01-18,53.39,54.01,53.04,53.3,3199880
2017-01-19,53.3,53.62,53.12,53.5,2902544
2017-01-20,53.63,54.39,53.6,53.97,3573514
2017-01-23,53.65,54.0,53.59,53.75,2978626
2017-01-24,53.75,53.99,53.46,53.78,2490862
2017-01-25,54.1,54.29,53.73,54.0,5709082
2017-01-26,53.63,54.44,53.59,53.84,2272268
2017-01-27,54.09,54.72,53.97,54.65,2326838
2017-01-30,54.39,54.51,53.87,54.27,2317125
2017-01-31,54.01,54.97,53.8,54.94,3616460
2017-02-01,54.93,55.35,54.62,55.32,2492158
2017-02-02,55.01,55.72,54.72,55.7,2723044
2017-02-03,55.85,56.07,55.53,55.92,2309365
2017-02-06,55.66,55.85,55.42,55.77,2894262
2017-02-07,56.11,56.32,55.68,55.98,2402728
2017-02-08,55.97,56.32,55.73,55.96,2888874
2017-02-09,55.97,56.5,55.91,55.96,2655773
2017-02-10,56.0,56.09,55.55,55.73,6160949
2017-02-13,54.5,55.49,54.45,55.14,5636017
