Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,5.633611,5.757882,5.633611,5.757882,0.876586,105900
1970-01-05,5.757882,5.799305,5.757882,5.799305,0.882892,136100
1970-01-06,5.799305,5.799305,5.675035,5.695746,0.867125,159500
1970-01-07,5.695746,5.778594,5.654323,5.757882,0.876586,119600
1970-01-08,5.778594,5.965000,5.778594,5.965000,0.908117,454900
1970-01-09,5.965000,6.068559,5.799305,5.861441,0.892352,1154000
1970-01-12,5.861441,5.861441,5.737170,5.757882,0.876586,117000
1970-01-13,5.757882,5.778594,5.716458,5.757882,0.876586,99200
1970-01-14,5.757882,5.757882,5.675035,5.695746,0.867125,57600
1970-01-15,5.695746,5.716458,5.654323,5.675035,0.863973,70400
1970-01-16,5.675035,5.716458,5.654323,5.654323,0.860819,79400
1970-01-19,5.654323,5.757882,5.654323,5.695746,0.867125,94500
1970-01-20,5.695746,5.695746,5.633611,5.633611,0.857666,86800
1970-01-21,5.633611,5.654323,5.592187,5.633611,0.857666,165600
1970-01-22,5.633611,5.675035,5.592187,5.612899,0.854514,89500
1970-01-23,5.612899,5.675035,5.571476,5.592187,0.851360,77100
1970-01-26,5.592187,5.592187,5.426493,5.447205,0.829287,402300
1970-01-27,5.447205,5.447205,5.385069,5.385069,0.819828,310400
1970-01-28,5.447205,5.530052,5.447205,5.488628,0.835594,137400
1970-01-29,5.488628,5.509340,5.405781,5.405781,0.822981,171600
1970-01-30,5.447205,5.509340,5.447205,5.509340,0.838747,139100
1970-02-02,5.509340,5.550764,5.447205,5.447205,0.829287,149800
1970-02-03,5.447205,5.633611,5.405781,5.592187,0.851360,150800
1970-02-04,5.592187,5.757882,5.571476,5.612899,0.854514,122000
1970-02-05,5.612899,5.633611,5.488628,5.488628,0.835594,140100
1970-02-06,5.488628,5.612899,5.488628,5.571476,0.848207,111900
1970-02-09,5.592187,5.675035,5.592187,5.612899,0.854514,167900
1970-02-10,5.612899,5.633611,5.571476,5.592187,0.851360,98900
1970-02-11,5.592187,5.654323,5.571476,5.633611,0.857666,85400
1970-02-12,5.654323,5.716458,5.654323,5.675035,0.863973,119300
1970-02-13,5.675035,5.695746,5.592187,5.612899,0.854514,231600
1970-02-16,5.612899,5.716458,5.612899,5.695746,0.867125,105200
1970-02-17,5.695746,5.799305,5.633611,5.799305,0.882892,131400
1970-02-18,5.799305,5.944288,5.799305,5.944288,0.904964,146100
1970-02-19,5.944288,5.965000,5.882153,5.944288,0.904964,150800
1970-02-20,5.944288,6.027135,5.944288,6.006423,0.914424,136100
1970-02-24,6.006423,6.027135,5.965000,5.985712,0.911270,116000
1970-02-25,5.985712,6.234253,5.985712,6.192830,0.942802,226600
1970-02-26,6.192830,6.192830,6.068559,6.172118,0.939649,157900
1970-02-27,6.172118,6.234253,6.109982,6.172118,0.939649,160200
1970-03-02,6.172118,6.234253,6.151406,6.234253,0.949109,171600
1970-03-03,6.234253,6.379236,6.234253,6.379236,0.971181,195800
1970-03-04,6.379236,6.462083,6.337812,6.462083,0.983793,207500
1970-03-05,6.462083,6.544930,6.379236,6.462083,0.983793,182300
1970-03-06,6.420660,6.420660,6.337812,6.399948,0.974334,83400
1970-03-09,6.275677,6.275677,6.130694,6.213542,0.945955,109900
1970-03-10,6.213542,6.234253,6.130694,6.213542,0.945955,85400
1970-03-11,6.213542,6.358524,6.213542,6.296389,0.958568,73700
1970-03-12,6.296389,6.296389,6.213542,6.275677,0.955415,99900
1970-03-13,6.275677,6.296389,6.213542,6.275677,0.955415,90500
1970-03-16,6.192830,6.192830,6.089271,6.109982,0.930189,91500
1970-03-17,6.109982,6.213542,6.089271,6.192830,0.942802,114600
1970-03-18,6.192830,6.254965,6.109982,6.130694,0.933343,100500
1970-03-19,6.130694,6.130694,6.089271,6.089271,0.927036,49600
1970-03-20,6.089271,6.089271,6.006423,6.047847,0.920730,109900
1970-03-23,6.047847,6.089271,6.006423,6.047847,0.920730,105200
1970-03-24,6.047847,6.192830,6.027135,6.192830,0.942802,76400
1970-03-25,6.192830,6.275677,6.172118,6.254965,0.952262,155500
1970-03-26,6.254965,6.275677,6.192830,6.254965,0.952262,122000
1970-03-30,6.254965,6.275677,6.130694,6.151406,0.936496,73700
1970-03-31,6.151406,6.234253,6.089271,6.192830,0.942802,72400
1970-04-01,6.192830,6.358524,6.172118,6.358524,0.968028,119300
1970-04-02,6.358524,6.379236,6.296389,6.379236,0.971181,113300
1970-04-03,6.358524,6.358524,6.275677,6.358524,0.968028,87100
1970-04-06,6.337812,6.337812,6.275677,6.337812,0.964875,94500
1970-04-07,6.337812,6.524219,6.296389,6.441371,0.980641,157900
1970-04-08,6.441371,6.482795,6.420660,6.441371,0.980641,73400
1970-04-09,6.441371,6.482795,6.420660,6.420660,0.977487,123300
1970-04-10,6.420660,6.441371,6.317101,6.317101,0.961722,95200
1970-04-13,6.317101,6.358524,6.254965,6.254965,0.952262,70400
1970-04-14,6.254965,6.275677,6.130694,6.213542,0.945955,102900
1970-04-15,6.296389,6.399948,6.296389,6.399948,0.974334,165200
1970-04-16,6.379236,6.379236,6.234253,6.234253,0.949109,144800
1970-04-17,6.234253,6.296389,6.068559,6.109982,0.930189,85400
1970-04-20,6.109982,6.254965,6.089271,6.213542,0.945955,55300
1970-04-21,6.213542,6.275677,6.151406,6.192830,0.942802,83100
1970-04-22,6.192830,6.275677,6.151406,6.192830,0.942802,77100
1970-04-23,6.151406,6.151406,5.965000,6.027135,0.917577,162900
1970-04-24,6.027135,6.068559,5.965000,5.985712,0.911270,69000
1970-04-27,5.985712,6.027135,5.882153,5.882153,0.895505,107600
1970-04-28,5.882153,6.172118,5.820017,5.861441,0.892352,221900
1970-04-29,5.861441,5.882153,5.654323,5.882153,0.895505,201800
1970-04-30,5.882153,6.006423,5.799305,5.840729,0.889198,93200
1970-05-01,5.840729,5.944288,5.737170,5.882153,0.895505,50600
1970-05-04,5.757882,5.757882,5.612899,5.633611,0.872412,105900
1970-05-05,5.633611,5.716458,5.592187,5.654323,0.875620,81100
1970-05-06,5.654323,5.923576,5.633611,5.716458,0.885242,157900
1970-05-07,5.716458,5.840729,5.675035,5.757882,0.891656,83400
1970-05-08,5.757882,5.840729,5.737170,5.799305,0.898071,75700
1970-05-11,5.799305,5.820017,5.757882,5.757882,0.891656,78700
1970-05-12,5.757882,5.882153,5.737170,5.799305,0.898071,121700
1970-05-13,5.799305,5.840729,5.737170,5.799305,0.898071,78700
1970-05-14,5.716458,5.716458,5.550764,5.612899,0.869205,179000
1970-05-15,5.612899,5.695746,5.509340,5.633611,0.872412,164200
1970-05-18,5.633611,5.716458,5.592187,5.654323,0.875620,62600
1970-05-19,5.633611,5.633611,5.488628,5.509340,0.853167,93200
1970-05-20,5.509340,5.550764,5.467916,5.467916,0.846753,118600
1970-05-21,5.467916,5.467916,5.385069,5.426493,0.840338,169300
1970-05-22,5.426493,5.612899,5.385069,5.385069,0.833923,166900
1970-05-25,5.385069,5.405781,5.198663,5.198663,0.805057,192100
1970-05-26,5.198663,5.198663,5.032969,5.095104,0.789019,286000
1970-05-27,5.136528,5.343646,5.136528,5.302222,0.821094,222200
1970-05-28,5.343646,5.509340,5.343646,5.467916,0.846753,252100
1970-05-29,5.467916,5.571476,5.426493,5.550764,0.859582,108600
1970-06-01,5.550764,5.592187,5.467916,5.592187,0.865997,97900
1970-06-02,5.592187,5.592187,5.467916,5.571476,0.862790,78400
1970-06-03,5.571476,5.592187,5.488628,5.509340,0.853167,90800
1970-06-04,5.509340,5.612899,5.488628,5.488628,0.849960,69700
1970-06-05,5.467916,5.467916,5.322934,5.322934,0.824301,107200
1970-06-08,5.322934,5.530052,5.302222,5.405781,0.837130,70400
1970-06-09,5.405781,5.530052,5.364357,5.488628,0.849960,47200
1970-06-10,5.467916,5.467916,5.364357,5.405781,0.837130,48200
1970-06-11,5.405781,5.447205,5.343646,5.364357,0.830716,61300
1970-06-12,5.364357,5.405781,5.343646,5.364357,0.830716,44500
1970-06-15,5.364357,5.426493,5.343646,5.385069,0.833923,55600
1970-06-16,5.385069,5.633611,5.364357,5.592187,0.865997,197100
1970-06-17,5.592187,5.675035,5.467916,5.467916,0.846753,81100
1970-06-18,5.467916,5.530052,5.447205,5.509340,0.853167,41200
1970-06-19,5.509340,5.530052,5.467916,5.467916,0.846753,59300
1970-06-22,5.447205,5.447205,5.364357,5.364357,0.830716,72700
1970-06-23,5.343646,5.343646,5.240087,5.302222,0.821094,124000
1970-06-24,5.302222,5.322934,5.177951,5.219375,0.808264,69000
1970-06-25,5.219375,5.302222,5.157239,5.198663,0.805057,51600
1970-06-26,5.198663,5.260798,5.177951,5.198663,0.805057,56600
1970-06-29,5.198663,5.281510,5.157239,5.157239,0.798642,57600
1970-06-30,5.157239,5.219375,5.157239,5.177951,0.801849,78700
1970-07-01,5.177951,5.198663,5.136528,5.136528,0.795434,53300
1970-07-02,5.136528,5.198663,5.115816,5.136528,0.795434,73700
1970-07-06,5.136528,5.157239,5.053680,5.074392,0.785812,80800
1970-07-07,5.074392,5.074392,4.991545,4.991545,0.772983,155900
1970-07-08,4.991545,5.032969,4.970833,5.032969,0.779397,111300
1970-07-09,5.074392,5.198663,5.074392,5.177951,0.801849,109600
1970-07-10,5.177951,5.177951,5.095104,5.115816,0.792227,79400
1970-07-13,5.115816,5.177951,5.095104,5.115816,0.792227,62600
