"Date","Open","High","Low","Close","Adj.Close","Volume"
1987-10-09,16.5,17.75,16.5,17.75,16.619482,1079800
1987-10-12,17.75,17.75,16.5,17,15.917253,251800
1987-10-13,17,18,17,18,16.853563,168400
1987-10-14,18,18.5,17.5,17.5,16.385408,114500
1987-10-15,17.5,17.75,16.75,17.25,16.151329,50400
1987-10-16,17.25,17.5,15.75,16.125,15.097983,85200
1987-10-19,16.125,16.25,14.25,14.25,13.342404,77100
1987-10-20,14.25,14.75,11.5,12.25,11.469784,47300
1987-10-21,12.25,14.5,12.25,14.25,13.342404,81200
1987-10-22,14,14,12.75,13,12.172014,69000
1987-10-23,13,13.5,12.75,12.75,11.937938,30800
1987-10-26,12.75,13,9.25,9.75,9.129012,26100
1987-10-27,9.75,10.25,9.5,9.75,9.129012,28800
1987-10-28,9.75,9.75,9,9.5,8.894933,23200
1987-10-29,9.5,10,9,10,9.36309,194700
1987-10-30,10.25,11.75,10.25,11,10.299397,86100
1987-11-02,11,11.75,11,11.25,10.533474,30600
1987-11-03,11.25,11.25,10.5,10.75,10.065319,5900
1987-11-04,10.75,11,10.25,11,10.299397,6200
1987-11-05,11,11,10.5,10.5,9.831244,16400
1987-11-06,10.5,11,10.25,10.25,9.597169,20400
1987-11-09,10.25,10.5,9.25,9.25,8.660856,15200
1987-11-10,9.25,9.75,8.75,9.25,8.660856,39200
1987-11-11,9.25,9.25,8.75,9.25,8.660856,23200
1987-11-12,9.25,9.75,8.75,9.75,9.129012,32100
1987-11-13,9.75,9.75,9,9.75,9.129012,4200
1987-11-16,9.75,9.75,9,9.75,9.129012,1800
1987-11-17,9.75,9.75,9,9.75,9.129012,71600
1987-11-18,9.75,9.75,9,9,8.426782,15500
1987-11-19,9,10,9,10,9.36309,37400
1987-11-20,9.75,9.75,9,9.75,9.129012,8800
1987-11-23,9.75,9.75,9,9.75,9.129012,3100
1987-11-24,9.75,9.75,9,9.25,8.660856,30000
1987-11-25,9.25,10,9.25,9.25,8.660856,12600
1987-11-27,9.25,9.625,9.25,9.625,9.011973,2300
1987-11-30,9.5,9.5,8.75,9.25,8.660856,13800
1987-12-01,9.25,9.5,8.75,9.25,8.660856,23300
1987-12-02,9.25,9.5,8.75,8.75,8.192704,4100
1987-12-03,8.75,9.5,8.75,8.75,8.192704,14700
1987-12-04,8.75,9.5,8.5,8.5,7.958626,5800
