Date,Open,High,Low,Close,Volume
2016-10-04,47.07,47.3,46.67,46.83,1763985
2016-10-05,47.04,47.31,46.93,47.15,1432268
2016-10-06,47.01,47.43,46.88,47.3,1772801
2016-10-07,47.33,47.49,46.99,47.38,1663127
2016-10-10,47.58,48.15,47.55,47.69,1544958
2016-10-11,47.19,47.19,45.42,45.69,2912537
2016-10-12,45.78,45.82,45.42,45.47,1736076
2016-10-13,44.84,45.32,44.76,45.16,1336023
2016-10-14,45.38,45.62,45.08,45.08,997137
2016-10-17,45.08,45.47,45.0,45.15,1160321
2016-10-18,45.7,45.83,45.27,45.44,1949108
2016-10-19,45.41,46.15,45.34,46.02,1769090
2016-10-20,46.0,46.22,45.65,46.05,1493608
2016-10-21,45.67,45.67,45.29,45.57,1011340
2016-10-24,45.88,45.95,45.64,45.85,1666388
2016-10-25,45.26,45.59,43.17,43.51,3949609
2016-10-26,43.42,43.82,43.24,43.37,2146178
2016-10-27,43.97,44.19,43.35,43.38,2393625
2016-10-28,43.38,43.87,43.11,43.22,1471348
2016-10-31,43.33,43.7,43.18,43.57,1556762
2016-11-01,43.73,44.11,43.14,43.49,2133116
2016-11-02,43.47,43.73,43.24,43.26,2240428
2016-11-03,43.33,44.0,43.18,43.66,2510054
2016-11-04,43.69,44.92,43.69,44.32,2220908
2016-11-07,44.99,45.76,44.95,45.71,1723957
2016-11-08,45.48,45.96,45.32,45.62,2136740
2016-11-09,45.41,46.09,44.49,45.94,3501243
2016-11-10,46.6,47.38,46.34,47.03,2558722
2016-11-11,46.77,46.87,46.21,46.37,2219255
2016-11-14,46.66,46.73,45.18,45.33,3443200
2016-11-15,45.33,46.0,44.95,45.4,4710170
2016-11-16,46.3,47.8,46.15,46.18,4026754
2016-11-17,46.16,46.16,45.55,45.94,2069880
2016-11-18,45.91,46.2,45.01,45.04,3148538
2016-11-21,45.22,45.24,44.65,44.97,2540067
2016-11-22,44.94,45.16,43.77,44.46,2831226
2016-11-23,44.18,44.78,43.97,44.65,1926275
2016-11-25,44.74,45.0,44.62,44.89,877140
2016-11-28,44.52,44.69,43.58,43.6,2241795
2016-11-29,43.6,44.63,43.52,44.48,1952118
2016-11-30,44.79,44.9,43.94,43.98,2238575
2016-12-01,44.08,44.1,42.92,43.21,2823273
2016-12-02,43.27,44.09,43.27,44.03,2153515
2016-12-05,44.21,44.69,44.21,44.53,2495020
2016-12-06,44.58,44.9,44.2,44.84,1136658
2016-12-07,44.56,44.99,44.11,44.99,1815238
2016-12-08,44.99,45.83,44.77,45.8,1848936
2016-12-09,45.91,46.32,45.85,46.3,1937622
2016-12-12,46.18,46.75,46.11,46.14,1851518
2016-12-13,46.31,46.61,46.16,46.39,1734678
2016-12-14,46.43,46.79,46.0,46.14,2044052
2016-12-15,46.08,46.77,45.92,46.56,1338905
2016-12-16,46.61,46.92,45.81,45.91,2103155
2016-12-19,45.89,46.22,45.36,45.43,1084164
2016-12-20,45.75,46.31,45.54,46.21,1552366
2016-12-21,46.21,46.36,45.86,46.04,1652288
2016-12-22,45.93,46.13,45.8,45.97,968296
2016-12-23,46.08,46.23,45.93,46.2,727682
2016-12-27,46.37,46.66,46.32,46.51,1535489
2016-12-28,46.51,46.7,45.68,45.72,1177275
2016-12-29,45.68,46.0,45.57,45.64,891398
2016-12-30,45.76,45.82,45.38,45.56,1216100
2017-01-03,45.93,46.75,45.74,46.49,1739726
2017-01-04,46.93,47.38,46.82,47.1,1821264
2017-01-05,47.05,47.07,46.36,46.54,1503763
2017-01-06,46.63,48.07,46.56,47.99,2883483
2017-01-09,48.01,48.56,47.9,48.14,2575328
2017-01-10,48.34,48.54,47.82,48.1,1560549
2017-01-11,48.03,49.48,47.95,49.25,5624332
2017-01-12,48.9,48.9,47.98,48.52,3276952
