Date,Open,High,Low,Close,Volume
2016-10-04,38.39,38.78,37.55,37.63,9065626
2016-10-05,37.82,38.12,37.31,37.87,4713128
2016-10-06,37.83,38.22,37.57,38.17,5160788
2016-10-07,38.25,38.48,37.4,37.73,5133308
2016-10-10,37.95,38.95,37.47,38.89,6939866
2016-10-11,39.99,39.99,38.06,38.2,10034719
2016-10-12,38.12,38.38,37.36,37.38,7410000
2016-10-13,36.95,39.5,36.8,39.24,14773296
2016-10-14,39.45,39.92,38.58,38.65,8871203
2016-10-17,38.66,39.73,38.37,38.58,5602040
2016-10-18,38.84,39.89,38.84,39.35,10538152
2016-10-19,39.48,40.81,39.4,40.63,12764197
2016-10-20,40.93,40.93,39.41,40.59,14695860
2016-10-21,39.97,40.24,39.65,39.9,9981485
2016-10-24,40.25,40.55,39.77,39.83,6466282
2016-10-25,39.66,40.43,39.36,39.69,6020181
2016-10-26,38.57,40.26,38.21,39.32,10112314
2016-10-27,39.45,40.18,39.26,39.91,6542122
2016-10-28,39.85,40.57,39.8,40.06,6710739
2016-10-31,40.31,40.81,40.08,40.6,5961076
2016-11-01,40.51,40.85,39.56,39.8,9028663
2016-11-02,39.72,40.25,39.62,39.71,5274455
2016-11-03,39.78,40.24,39.3,39.38,6006541
2016-11-04,39.27,40.22,39.24,39.74,6717513
2016-11-07,40.39,41.65,40.31,41.49,8334221
2016-11-08,41.42,41.85,41.02,41.7,5725832
2016-11-09,40.76,42.75,40.44,42.41,8392383
2016-11-10,42.71,43.39,42.15,42.3,8666121
2016-11-11,42.07,42.95,41.68,42.93,6623490
2016-11-14,43.01,43.61,42.98,43.4,7773627
2016-11-15,45.0,45.28,43.59,44.76,13166625
2016-11-16,44.66,44.8,43.93,44.45,6166966
2016-11-17,44.39,45.85,44.05,45.83,8521172
2016-11-18,46.15,46.49,45.62,46.26,7795053
2016-11-21,46.46,46.75,45.95,46.08,6651810
2016-11-22,46.03,46.95,45.95,46.08,5781259
2016-11-23,46.05,46.39,45.7,46.34,5160176
2016-11-25,46.34,46.86,46.3,46.82,2426632
2016-11-28,46.64,46.88,45.66,46.5,7369639
2016-11-29,46.59,47.14,46.17,46.89,4885442
2016-11-30,46.14,46.86,45.42,46.44,7904220
2016-12-01,46.2,47.09,45.66,45.75,7435186
2016-12-02,46.09,46.86,45.91,46.1,6505099
2016-12-05,46.45,46.54,45.58,45.72,5256443
