Date,Open,High,Low,Close,Volume
2016-10-04,108.52,108.94,107.85,108.39,1394021
2016-10-05,108.57,109.33,108.32,108.8,1854957
2016-10-06,108.72,109.27,108.14,108.56,1590828
2016-10-07,109.07,109.07,107.6,108.64,1412707
2016-10-10,109.15,110.13,109.15,109.24,1581880
2016-10-11,109.0,109.2,107.04,107.37,1970947
2016-10-12,108.42,108.42,106.82,108.05,1464448
2016-10-13,107.13,108.13,106.53,108.01,1588510
2016-10-14,108.19,109.1,107.82,107.84,1968363
2016-10-17,108.0,108.28,107.39,107.49,1136503
2016-10-18,108.44,108.82,108.01,108.42,1318965
2016-10-19,108.81,108.89,108.15,108.39,1282176
2016-10-20,108.41,109.38,107.55,109.03,1820833
2016-10-21,108.51,109.17,107.63,109.03,1838305
2016-10-24,109.63,111.09,109.35,110.81,2014943
2016-10-25,110.76,110.77,108.95,109.03,1713152
2016-10-26,108.74,108.82,107.59,107.97,1623670
2016-10-27,108.47,108.66,106.69,107.07,2393908
2016-10-28,107.08,108.32,107.05,107.6,1931143
2016-10-31,108.02,108.29,107.04,107.51,1678352
2016-11-01,107.79,107.97,106.04,106.87,1951512
2016-11-02,106.85,106.95,105.57,105.89,2140271
2016-11-03,106.54,108.16,106.48,107.17,3666957
2016-11-04,105.85,107.09,105.6,106.2,2587537
2016-11-07,107.66,108.97,107.37,108.66,2729881
2016-11-08,108.68,109.16,107.93,108.39,2453769
2016-11-09,105.55,108.05,104.52,107.86,3650448
2016-11-10,108.08,108.26,101.66,104.08,7301854
2016-11-11,103.62,104.47,102.62,103.68,3833663
2016-11-14,104.12,104.49,101.77,102.42,3040483
2016-11-15,103.14,104.76,102.55,103.66,2561046
2016-11-16,103.61,104.4,102.96,104.08,2459564
2016-11-17,103.77,105.93,103.48,105.81,2600419
2016-11-18,106.19,106.8,104.72,105.02,2358168
2016-11-21,105.56,106.14,105.14,105.65,1805956
2016-11-22,105.85,106.36,105.04,105.21,1703124
2016-11-23,105.41,105.56,103.98,104.21,2144636
2016-11-25,104.17,105.03,103.9,105.02,938191
2016-11-28,104.81,105.15,104.09,104.5,1552584
2016-11-29,104.27,105.98,104.26,104.95,2353061
2016-11-30,104.99,105.46,102.8,102.81,3399919
2016-12-01,102.82,102.92,98.87,99.51,5121202
2016-12-02,99.52,100.14,98.0,99.73,3514407
2016-12-05,100.46,102.52,100.16,101.95,2319383
2016-12-06,101.99,101.99,100.71,101.55,2679915
2016-12-07,100.89,103.51,100.89,103.36,2728942
2016-12-08,103.36,104.07,102.54,103.5,1852118
2016-12-09,104.0,104.5,103.42,104.31,2620553
2016-12-12,104.62,105.24,103.52,105.16,2711975
2016-12-13,105.74,107.6,105.62,106.15,3396638
2016-12-14,106.3,106.79,105.44,105.81,3213662
2016-12-15,106.33,106.48,104.6,105.1,5678867
2016-12-16,107.8,107.8,101.91,103.55,8949417
2016-12-19,103.57,106.08,103.41,105.29,3567060
2016-12-20,105.5,105.88,104.76,105.77,2194542
2016-12-21,105.74,106.06,104.48,105.51,2524647
2016-12-22,105.12,105.15,103.95,104.72,1717345
2016-12-23,104.61,105.42,104.61,105.02,1047659
2016-12-27,105.0,105.9,104.86,104.98,1047901
2016-12-28,104.83,105.16,103.5,103.77,1742924
2016-12-29,103.63,104.39,103.41,103.68,1094982
2016-12-30,104.07,104.22,102.47,102.95,2095844
2017-01-03,103.43,104.03,102.81,103.48,2277933
2017-01-04,103.74,104.37,103.5,104.14,1712583
2017-01-05,104.13,106.02,103.77,105.91,2504772
2017-01-06,105.98,108.43,105.25,108.3,2626352
2017-01-09,107.96,108.79,107.56,108.57,2925379
2017-01-10,108.57,108.79,107.61,108.26,3080998
2017-01-11,108.23,109.05,108.0,108.99,1783953
2017-01-12,107.99,108.74,107.16,108.59,1617882
2017-01-13,108.84,108.9,107.98,108.53,1594154
2017-01-17,107.79,108.05,107.06,108.0,1697769
2017-01-18,108.5,109.17,107.53,108.79,2537255
2017-01-19,108.63,109.98,108.04,109.79,3090902
2017-01-20,110.02,110.81,109.57,110.71,3179186
2017-01-23,110.71,111.92,110.3,110.97,2574228
2017-01-24,111.46,114.17,111.34,113.72,3654774
2017-01-25,113.77,114.57,113.29,114.25,4116861
2017-01-26,113.79,114.44,112.73,112.88,2745739
2017-01-27,113.07,114.01,112.75,113.99,1696857
2017-01-30,113.22,113.87,112.26,113.82,2176539
2017-01-31,113.22,113.75,112.7,113.38,1716649
2017-02-01,113.31,113.64,112.68,113.36,1859067
2017-02-02,112.82,113.58,112.27,113.16,1695789
2017-02-03,113.55,115.45,113.42,115.17,2507874
2017-02-06,114.68,114.82,113.29,114.46,3067477
2017-02-07,114.83,115.19,114.54,114.96,1643454
2017-02-08,115.0,116.38,114.45,116.13,2591686
2017-02-09,116.26,116.9,116.02,116.44,1688862
2017-02-10,116.51,116.94,115.03,116.85,2612905
2017-02-13,117.03,117.94,116.2,117.65,1910382
2017-02-14,117.65,117.79,116.67,117.58,1556662
2017-02-15,117.33,119.09,117.07,118.73,1699561
2017-02-16,118.84,119.47,118.47,118.93,1649517
2017-02-17,118.79,119.72,118.24,119.67,2143337
2017-02-21,119.73,120.17,119.31,119.63,2032259
2017-02-22,119.67,119.89,118.85,119.47,1982071
2017-02-23,120.1,120.15,118.03,118.83,2382433
2017-02-24,118.3,119.32,117.83,119.31,1942492
2017-02-27,119.02,119.2,118.07,118.78,1550480
2017-02-28,118.83,118.84,118.02,118.34,2008016
2017-03-01,119.24,120.57,118.38,120.35,2356481
2017-03-02,120.09,120.12,119.28,119.9,1819664
2017-03-03,119.83,120.13,119.48,120.04,1361060
2017-03-06,119.73,120.48,119.37,120.15,1979700
2017-03-07,120.06,120.69,119.69,119.98,1872509
2017-03-08,120.21,120.66,119.35,119.6,2963124
2017-03-09,119.82,120.26,119.11,119.91,1984225
2017-03-10,120.57,121.37,120.24,121.09,2211585
2017-03-13,121.11,121.96,120.89,121.8,1805225
2017-03-14,121.65,121.99,120.62,121.44,1507722
2017-03-15,122.0,122.42,120.9,122.11,2396325
2017-03-16,123.25,123.6,121.52,122.35,4044627
2017-03-17,128.45,130.3,126.94,127.01,8749926
2017-03-20,126.99,128.09,125.79,126.31,3320867
2017-03-21,126.64,127.36,124.96,125.07,3105349
2017-03-22,124.6,126.94,124.51,126.21,3477250
2017-03-23,126.2,127.25,126.01,126.87,2197390
2017-03-24,127.86,129.0,127.05,127.7,3044007
2017-03-27,127.48,128.84,126.36,128.25,2424236
2017-03-28,127.81,129.28,127.81,128.69,2213163
2017-03-29,128.4,129.63,128.2,129.58,2272464
2017-03-30,129.55,130.28,129.3,129.61,2205186
2017-03-31,129.57,130.69,129.4,130.13,2086431
2017-04-03,129.58,130.75,128.88,129.59,2337174
2017-04-04,129.47,130.37,129.02,130.04,2026519
2017-04-05,130.58,131.33,129.38,129.89,2811597
2017-04-06,129.86,130.22,129.16,130.15,1890783
2017-04-07,130.15,130.67,129.52,130.22,2287929
2017-04-10,130.32,130.38,129.47,130.16,2234853
2017-04-11,129.91,130.16,128.21,129.95,2331569
2017-04-12,129.96,129.96,128.72,129.38,2106257
2017-04-13,129.63,130.42,129.05,129.05,1815148
2017-04-17,129.69,130.36,129.11,129.99,1395416
2017-04-18,129.74,130.23,129.48,129.81,1499916
2017-04-19,129.9,130.98,129.82,130.22,2007572
2017-04-20,130.7,131.99,130.28,131.42,2004260
