Date,Open,High,Low,Close,Volume
2016-10-04,42.8,43.52,42.7,42.79,3343554
2016-10-05,42.79,43.46,42.66,43.27,2629671
2016-10-06,43.07,43.46,43.03,43.16,2433860
2016-10-07,43.2,43.26,42.48,42.65,1782482
2016-10-10,42.91,43.32,42.86,43.27,1885862
2016-10-11,43.17,43.28,42.07,42.34,2316559
2016-10-12,42.32,42.65,42.1,42.39,1823783
2016-10-13,41.96,42.53,41.63,42.25,2155561
2016-10-14,42.42,42.85,42.13,42.13,1790042
2016-10-17,42.13,42.3,41.78,41.85,2054731
2016-10-18,42.24,42.38,41.97,41.98,2143688
2016-10-19,41.96,42.27,41.49,42.22,1797611
2016-10-20,42.12,42.51,41.98,42.18,2044776
2016-10-21,41.92,42.43,41.61,42.32,1721734
2016-10-24,42.6,42.97,42.37,42.51,1324330
2016-10-25,42.62,42.83,42.38,42.53,1879561
2016-10-26,42.42,43.45,42.31,43.28,2856310
2016-10-27,43.37,43.42,42.76,43.08,2156683
2016-10-28,43.17,43.96,43.1,43.59,2628577
2016-10-31,43.7,44.2,43.51,43.57,3867303
2016-11-01,45.37,47.34,45.36,46.75,9705990
2016-11-02,46.75,47.88,46.66,47.26,6221043
2016-11-03,47.05,47.87,47.05,47.43,4376488
2016-11-04,47.38,47.55,46.89,46.92,2804080
2016-11-07,47.46,47.59,46.93,47.05,3425947
2016-11-08,46.95,47.88,46.93,47.72,3131985
2016-11-09,46.84,46.92,45.07,46.28,5372568
2016-11-10,46.42,46.57,45.05,45.18,3959864
2016-11-11,43.57,43.79,41.6,41.73,7004536
2016-11-14,41.58,42.97,41.44,42.88,5139734
2016-11-15,42.86,43.52,42.85,43.49,4292804
2016-11-16,43.68,43.68,42.76,43.26,3435910
2016-11-17,43.28,43.35,42.76,43.0,3595439
2016-11-18,42.92,43.61,42.92,43.49,3289861
2016-11-21,43.38,43.97,43.38,43.65,2727715
2016-11-22,43.86,43.92,43.2,43.51,2733564
2016-11-23,43.57,43.64,42.92,43.25,4138631
2016-11-25,43.47,43.57,43.24,43.55,1776687
2016-11-28,43.51,43.69,42.99,43.11,2867335
2016-11-29,43.17,43.25,42.61,42.77,3203893
2016-11-30,42.86,43.47,42.85,43.23,3529343
2016-12-01,43.15,44.4,43.15,44.31,3983866
2016-12-02,44.42,44.74,43.92,44.0,3289978
2016-12-05,44.12,44.35,43.5,43.9,2925478
2016-12-06,44.0,45.0,43.99,44.68,3397817
2016-12-07,44.66,45.26,44.54,45.2,4164253
2016-12-08,45.04,46.05,44.98,45.97,3303444
2016-12-09,45.93,46.56,45.53,46.56,2997085
2016-12-12,46.62,47.15,46.56,47.02,2925701
2016-12-13,46.75,47.27,46.33,46.4,4033791
2016-12-14,46.4,46.57,45.35,45.59,3510720
2016-12-15,45.39,46.07,45.14,45.74,2699441
2016-12-16,45.73,46.53,45.63,46.51,5880606
2016-12-19,46.49,46.68,45.81,46.07,3189794
2016-12-20,46.38,46.38,45.68,46.22,3231137
2016-12-21,46.26,46.48,46.0,46.13,3219797
2016-12-22,46.14,46.21,44.99,45.18,3197571
