Date,Open,High,Low,Close,Volume
2016-10-04,217.62,218.83,211.85,212.71,458561
2016-10-05,214.56,217.34,213.14,216.28,453157
2016-10-06,215.12,215.68,212.16,214.05,419566
2016-10-07,214.75,214.95,207.94,208.93,610399
2016-10-10,209.33,212.03,208.21,208.78,489025
2016-10-11,209.18,209.96,205.74,208.25,483390
2016-10-12,209.13,209.88,207.49,208.27,340379
2016-10-13,206.96,207.97,204.59,206.84,332844
2016-10-14,208.16,210.34,206.5,209.77,436529
2016-10-17,210.8,213.37,206.22,206.45,506805
2016-10-18,207.11,211.64,206.82,211.07,461167
2016-10-19,212.45,215.61,211.01,214.78,802718
2016-10-20,215.74,215.74,201.8,204.77,1699635
2016-10-21,203.39,204.71,197.69,199.95,1242058
2016-10-24,202.41,207.1,201.79,206.49,831709
2016-10-25,205.76,206.4,201.33,203.9,656942
2016-10-26,203.28,205.57,202.52,202.88,418019
2016-10-27,204.39,204.39,200.72,202.56,532974
2016-10-28,203.5,205.15,201.79,203.83,470525
2016-10-31,204.64,205.02,202.47,204.47,804663
2016-11-01,204.74,205.62,199.83,201.74,461461
2016-11-02,202.06,202.06,199.35,200.03,458039
2016-11-03,200.28,201.67,199.69,200.05,375863
2016-11-04,199.5,201.94,198.88,199.8,471633
2016-11-07,201.98,204.82,200.12,203.79,304038
2016-11-08,202.58,203.72,198.93,201.55,474114
2016-11-09,199.55,209.84,198.06,207.32,793637
2016-11-10,208.86,210.78,204.85,209.79,779665
2016-11-11,209.23,213.53,208.58,211.72,781579
2016-11-14,213.52,213.58,206.41,210.8,756358
2016-11-15,211.19,212.0,207.27,210.14,580090
2016-11-16,209.11,211.54,208.69,210.71,369877
2016-11-17,212.04,217.85,211.03,217.55,705280
2016-11-18,217.92,218.88,214.77,217.6,619817
2016-11-21,217.76,228.99,217.76,228.66,1263785
2016-11-22,228.52,233.63,227.12,233.12,944909
2016-11-23,232.77,235.3,230.7,235.05,726065
2016-11-25,235.3,235.86,233.05,234.69,192892
2016-11-28,234.72,234.87,230.0,232.04,752298
2016-11-29,232.84,233.21,228.4,228.71,482782
2016-11-30,229.59,231.47,227.53,228.78,677951
2016-12-01,229.09,229.38,226.21,228.18,635503
2016-12-02,219.74,224.98,215.81,218.71,957391
2016-12-05,219.95,225.3,219.25,223.39,681503
2016-12-06,223.97,227.26,221.78,227.16,554234
2016-12-07,227.1,234.02,225.92,233.5,636168
2016-12-08,234.17,241.69,231.81,239.87,738642
2016-12-09,237.12,237.32,226.56,232.2,932751
2016-12-12,232.25,234.6,228.96,230.6,431737
2016-12-13,232.32,233.0,228.54,232.68,431835
2016-12-14,232.92,234.89,228.37,229.99,574026
2016-12-15,229.81,233.55,227.01,231.38,508426
2016-12-16,231.49,231.91,227.83,228.83,813956
2016-12-19,228.96,233.44,228.83,230.96,462359
2016-12-20,232.37,232.77,229.14,231.34,277772
2016-12-21,232.17,235.78,230.64,233.68,333222
2016-12-22,234.55,234.55,229.7,231.66,382312
2016-12-23,232.0,233.94,231.83,233.64,287563
2016-12-27,233.43,235.69,233.03,233.71,226721
2016-12-28,234.0,234.0,227.47,228.57,617015
2016-12-29,229.68,231.18,227.82,229.25,418214
2016-12-30,229.83,230.46,227.39,228.5,338723
2017-01-03,231.19,233.14,229.49,233.01,469365
2017-01-04,235.28,238.31,232.11,237.78,511845
2017-01-05,236.28,238.3,234.03,235.82,433053
2017-01-06,235.55,237.72,234.01,236.32,507210
2017-01-09,236.85,238.41,235.1,237.59,461184
2017-01-10,237.5,238.66,234.44,235.26,567572
2017-01-11,235.39,236.05,231.94,234.6,654454
2017-01-12,233.37,236.04,232.32,235.67,301448
2017-01-13,235.83,238.29,235.47,237.55,413243
2017-01-17,236.29,236.6,228.53,230.0,958593
2017-01-18,230.07,232.48,229.88,231.62,427626
2017-01-19,232.41,232.86,229.69,230.22,374562
2017-01-20,231.6,231.6,229.22,230.55,551727
2017-01-23,230.58,230.99,227.61,228.55,667743
2017-01-24,227.61,228.09,223.48,226.21,695240
2017-01-25,227.49,230.54,226.05,227.26,722093
2017-01-26,220.0,226.75,214.68,221.7,1861583
2017-01-27,223.51,225.55,220.16,222.35,638816
2017-01-30,221.78,228.53,221.45,228.18,699514
2017-01-31,227.26,230.51,226.43,228.38,656981
2017-02-01,229.17,230.4,228.15,230.39,594786
2017-02-02,229.3,229.91,225.52,225.98,668953
2017-02-03,227.38,229.58,227.38,228.14,464281
2017-02-06,228.1,229.74,225.67,226.49,475929
2017-02-07,226.11,227.66,224.72,225.11,594517
2017-02-08,225.15,228.11,224.83,225.76,609327
2017-02-09,225.89,229.94,225.89,228.64,496302
2017-02-10,228.64,228.64,224.38,227.03,464094
2017-02-13,227.94,229.27,227.54,227.81,393448
2017-02-14,226.79,230.54,226.48,229.39,660708
2017-02-15,228.8,231.34,227.56,230.57,324898
2017-02-16,231.49,231.96,229.94,231.41,363305
2017-02-17,231.18,235.14,230.24,235.04,714115
2017-02-21,234.48,239.91,230.88,239.46,640717
2017-02-22,238.16,241.41,236.38,239.87,440660
2017-02-23,240.59,243.52,239.28,242.42,653374
2017-02-24,242.0,245.11,239.82,244.81,762306
2017-02-27,244.81,247.48,243.84,246.77,736075
2017-02-28,247.13,247.16,242.16,242.98,922712
2017-03-01,244.66,249.22,243.39,247.62,621969
2017-03-02,247.74,248.76,243.69,243.94,468360
2017-03-03,243.39,245.42,242.02,244.63,778764
2017-03-06,242.58,246.62,240.64,245.45,514355
2017-03-07,245.8,245.93,243.54,245.05,343477
2017-03-08,246.09,248.81,244.59,246.19,391816
2017-03-09,246.4,248.61,245.3,247.93,382580
2017-03-10,249.0,251.19,247.11,248.2,495277
2017-03-13,248.78,249.94,247.44,247.82,298185
2017-03-14,246.54,246.97,244.18,245.53,593515
2017-03-15,246.39,246.85,241.49,245.55,774142
2017-03-16,246.18,246.79,243.6,245.09,389537
2017-03-17,245.6,246.67,244.37,245.01,685888
2017-03-20,245.52,246.02,243.4,244.54,504090
2017-03-21,244.21,246.04,239.01,239.29,693559
2017-03-22,239.45,242.24,239.01,240.87,333070
2017-03-23,240.8,244.78,240.65,242.92,372155
2017-03-24,244.22,245.7,242.04,243.79,341366
2017-03-27,241.41,244.33,238.6,243.43,617578
2017-03-28,242.99,245.54,242.57,244.7,502212
2017-03-29,244.62,245.64,243.49,245.33,272262
2017-03-30,245.33,249.43,244.71,248.88,455949
2017-03-31,248.76,250.0,247.92,249.0,500234
2017-04-03,249.75,251.26,247.23,250.33,732673
2017-04-04,249.2,253.3,248.96,250.97,968393
2017-04-05,251.7,254.94,249.78,250.26,629920
2017-04-06,250.96,254.72,250.1,253.36,422166
2017-04-07,252.2,254.2,250.86,251.04,551026
2017-04-10,250.31,252.16,247.35,247.66,607484
2017-04-11,245.01,246.43,235.09,238.34,1828414
2017-04-12,238.34,241.43,238.27,238.9,677049
2017-04-13,238.62,238.98,234.78,234.91,484533
2017-04-17,236.58,239.86,235.47,238.51,591759
2017-04-18,237.96,239.98,236.71,238.0,497338
2017-04-19,238.72,241.22,236.22,240.64,799549
2017-04-20,251.95,263.4,248.42,260.62,1399787
2017-04-21,261.0,266.25,258.48,259.51,1091243
2017-04-24,263.65,263.95,260.61,260.87,756375
2017-04-25,261.45,264.23,261.28,263.01,477971
2017-04-26,262.92,263.72,261.59,262.33,358753
2017-04-27,262.84,262.84,260.06,260.54,408726
2017-04-28,259.23,259.5,243.64,249.63,1836647
2017-05-01,249.97,254.16,248.52,253.48,691795
2017-05-02,253.18,255.98,251.76,255.9,697874
2017-05-03,255.64,255.67,251.39,254.27,1046725
2017-05-04,256.33,257.13,253.27,253.68,500543
