Date,Open,High,Low,Close,Volume
2016-10-04,71.32,72.53,71.0,71.42,1557611
2016-10-05,71.57,73.24,71.57,73.21,1708223
2016-10-06,73.18,73.4,71.76,72.83,1415103
2016-10-07,72.8,72.8,71.47,72.01,1598028
2016-10-10,72.0,73.07,72.0,72.21,1260227
2016-10-11,72.31,72.77,69.86,70.17,1704090
2016-10-12,70.43,70.6,69.76,70.33,1419863
2016-10-13,69.66,69.7,68.4,69.29,1690586
2016-10-14,71.23,71.23,69.29,69.46,1169268
2016-10-17,69.33,69.86,68.77,68.85,1080445
2016-10-18,69.92,70.32,69.55,70.13,1047236
2016-10-19,70.13,70.94,69.86,70.78,957167
2016-10-20,70.75,71.4,70.07,71.13,1127374
2016-10-21,70.85,71.34,70.0,71.18,1117542
2016-10-24,71.73,72.75,71.2,72.22,1342082
2016-10-25,72.07,72.41,70.92,71.36,1754365
2016-10-26,71.23,72.0,70.6,70.66,1118942
2016-10-27,71.22,72.12,70.46,70.58,1216293
2016-10-28,70.71,72.44,70.59,71.86,1502059
2016-10-31,72.29,72.66,71.48,72.28,1397631
2016-11-01,72.4,72.4,69.38,70.1,1957511
2016-11-02,70.18,70.4,67.87,68.68,2032670
2016-11-03,68.91,69.21,67.52,67.61,1422980
2016-11-04,67.15,70.24,67.15,69.44,2714110
2016-11-07,70.81,72.12,70.32,72.0,2361589
2016-11-08,71.77,72.99,71.36,72.69,1519589
2016-11-09,69.54,73.93,69.51,72.63,3060867
2016-11-10,73.5,75.18,71.68,73.49,2917554
2016-11-11,73.2,74.04,72.88,73.81,2710504
2016-11-14,74.37,75.18,73.44,73.55,2451590
2016-11-15,73.86,75.75,73.75,75.15,2192775
2016-11-16,74.92,78.42,74.79,77.57,4173256
2016-11-17,77.54,78.58,77.08,78.46,1774738
2016-11-18,78.21,78.4,76.48,76.9,2243358
2016-11-21,77.4,77.65,75.44,75.52,2183339
2016-11-22,75.49,75.78,74.68,75.21,1990244
2016-11-23,75.04,75.45,74.0,75.15,1352249
2016-11-25,75.51,76.18,75.05,75.83,786332
2016-11-28,75.52,76.31,74.93,75.18,1614447
2016-11-29,75.31,75.98,75.03,75.26,2834539
2016-11-30,72.71,74.72,70.55,72.61,8438398
2016-12-01,72.77,73.24,69.0,69.22,4349874
2016-12-02,69.02,70.87,68.06,70.57,3173622
2016-12-05,70.44,72.41,70.15,71.18,2230221
2016-12-06,71.27,77.87,70.73,76.32,7002108
2016-12-07,76.26,80.92,75.42,80.34,7717440
2016-12-08,80.58,82.77,80.0,81.74,4003357
2016-12-09,82.29,83.08,80.66,81.11,2371297
2016-12-12,81.07,81.76,77.58,78.37,2862460
2016-12-13,78.99,80.34,78.8,79.67,2734407
2016-12-14,79.69,79.92,76.15,76.83,3289259
2016-12-15,76.86,79.43,75.97,78.92,3745442
2016-12-16,79.03,79.23,76.34,76.48,5326956
2016-12-19,76.76,77.08,75.42,75.7,2005494
2016-12-20,76.16,76.54,74.88,76.01,1630903
2016-12-21,76.05,76.28,75.27,75.63,1568023
2016-12-22,75.33,75.63,74.34,74.58,2102411
2016-12-23,74.6,76.05,74.45,76.0,1501659
2016-12-27,76.06,76.5,75.4,75.98,1156585
2016-12-28,75.93,76.02,74.51,75.02,878482
2016-12-29,74.87,75.44,74.5,74.98,1019463
2016-12-30,75.4,75.42,73.6,74.01,1529905
2017-01-03,74.61,77.1,74.5,76.18,1896507
2017-01-04,76.19,77.96,76.09,77.52,1889516
2017-01-05,77.08,77.63,76.33,76.93,1368229
2017-01-06,77.28,79.81,76.89,79.3,1587682
2017-01-09,78.95,79.74,78.26,79.59,1489060
2017-01-10,79.29,80.37,78.56,79.98,1796204
2017-01-11,79.97,81.03,79.17,80.87,1764535
2017-01-12,80.72,80.86,79.24,80.65,1646368
2017-01-13,80.72,81.41,80.44,81.32,1667539
2017-01-17,80.97,81.23,78.29,78.62,2403471
2017-01-18,79.1,80.06,78.69,79.71,1676898
2017-01-19,80.26,80.78,79.65,79.98,1498045
2017-01-20,80.7,81.89,80.24,81.67,6042539
2017-01-23,81.39,81.91,80.91,81.54,1204968
2017-01-24,81.6,82.63,81.53,82.0,1814753
