Date,Open,High,Low,Close,Volume
2016-10-04,84.97,85.38,82.54,82.62,1056738
2016-10-05,83.42,83.92,82.72,83.44,974715
2016-10-06,83.03,83.87,82.91,83.64,979610
2016-10-07,83.83,83.83,81.63,82.37,973986
2016-10-10,83.22,84.48,83.1,83.48,623019
2016-10-11,83.03,83.2,81.31,81.72,523134
2016-10-12,81.71,81.71,80.27,81.15,807830
2016-10-13,80.26,80.95,79.08,80.44,662936
2016-10-14,81.14,81.78,80.77,80.86,621162
2016-10-17,80.81,81.51,80.75,81.26,595882
2016-10-18,82.47,82.71,81.63,81.66,503436
2016-10-19,81.8,82.65,81.01,82.59,552876
2016-10-20,81.95,83.44,81.88,83.02,437137
2016-10-21,82.89,82.89,81.54,82.2,594378
2016-10-24,83.04,83.48,82.2,83.36,608492
2016-10-25,83.19,83.19,82.0,82.1,424553
2016-10-26,81.29,82.0,80.68,81.09,697233
2016-10-27,81.76,82.41,81.27,82.05,634924
2016-10-28,82.25,84.04,82.23,82.91,648208
2016-10-31,82.96,84.17,82.74,83.55,1105193
2016-11-01,83.57,84.26,82.22,82.9,1071269
2016-11-02,82.51,82.93,81.8,82.25,627028
2016-11-03,82.6,84.48,82.3,83.8,1009159
2016-11-04,83.6,84.41,82.7,83.48,845387
2016-11-07,85.02,86.88,84.69,86.28,1412329
2016-11-08,85.99,86.88,82.68,82.75,1818244
2016-11-09,81.91,82.21,79.21,80.42,2626928
2016-11-10,80.73,82.0,80.1,81.52,1302203
2016-11-11,81.0,81.48,80.14,80.43,1115445
2016-11-14,80.72,81.0,76.32,77.08,1933853
2016-11-15,77.25,80.16,77.25,80.12,1270821
2016-11-16,80.29,81.82,79.84,81.55,1076565
2016-11-17,81.93,83.22,81.78,82.97,900278
2016-11-18,82.95,83.28,82.18,82.46,529783
2016-11-21,82.81,83.9,82.58,83.85,744011
2016-11-22,84.01,84.6,83.52,84.3,653920
2016-11-23,83.9,84.19,83.04,83.88,630260
2016-11-25,83.93,84.5,83.71,84.0,200210
2016-11-28,84.1,84.78,83.91,83.96,547622
2016-11-29,83.58,87.17,83.1,85.95,1158604
2016-11-30,86.61,88.73,86.61,87.78,1721405
2016-12-01,88.29,88.29,85.4,85.65,1159052
2016-12-02,85.68,85.98,84.37,84.86,677871
2016-12-05,85.56,86.45,85.41,86.28,1173757
2016-12-06,85.74,86.63,85.6,86.32,1332584
2016-12-07,86.24,88.87,86.24,88.8,805174
2016-12-08,90.0,92.24,89.31,91.8,1564406
