Date,Open,High,Low,Close,Volume
2016-10-04,68.42,69.62,68.0,68.71,1956589
2016-10-05,68.62,68.84,67.76,68.31,1011312
2016-10-06,68.38,69.11,68.17,69.09,821428
2016-10-07,69.07,69.2,67.89,68.11,1197717
2016-10-10,68.29,69.94,68.17,69.91,846133
2016-10-11,70.0,70.24,69.11,69.33,1454166
2016-10-12,69.86,71.25,69.86,70.43,2022035
2016-10-13,71.01,73.19,70.14,72.96,2156900
2016-10-14,73.18,73.7,71.7,72.31,1155946
2016-10-17,72.33,73.29,71.9,71.94,810786
2016-10-18,72.45,73.16,71.6,72.11,1098382
2016-10-19,72.04,73.52,71.78,73.46,1290352
2016-10-20,74.23,75.31,72.82,75.29,1623803
2016-10-21,74.33,75.05,73.87,74.56,1111859
2016-10-24,74.88,75.04,73.5,73.61,779534
2016-10-25,73.42,73.99,72.32,72.4,1235372
2016-10-26,70.5,72.88,70.45,71.13,1546663
2016-10-27,71.47,72.27,70.63,71.12,895474
2016-10-28,71.22,72.4,71.07,71.78,721918
2016-10-31,72.08,72.31,71.44,72.22,679770
2016-11-01,72.24,72.84,70.66,71.43,736360
2016-11-02,71.55,72.94,70.91,70.96,1027666
2016-11-03,70.96,71.23,69.57,69.66,884617
2016-11-04,69.7,71.04,69.12,70.26,1161050
2016-11-07,71.38,72.59,70.88,72.57,1119922
2016-11-08,72.46,73.1,71.77,72.71,839503
2016-11-09,71.24,73.62,70.87,73.18,860481
2016-11-10,73.34,75.42,73.29,74.97,1519635
2016-11-11,74.52,75.33,74.14,75.23,759511
2016-11-14,75.71,78.1,75.6,77.83,1269046
2016-11-15,79.21,80.4,77.65,78.24,1249572
2016-11-16,78.0,78.29,77.31,77.77,861337
2016-11-17,77.66,78.9,77.48,78.85,679615
2016-11-18,78.49,82.15,77.9,79.47,960561
2016-11-21,79.5,79.57,78.72,78.78,796742
2016-11-22,79.13,81.86,79.09,81.53,1465095
2016-11-23,81.47,83.0,80.51,82.96,1578484
2016-11-25,83.0,83.38,82.46,82.75,421904
2016-11-28,82.34,83.2,81.81,82.43,1003798
2016-11-29,82.47,83.47,82.1,82.78,705624
2016-11-30,81.42,83.26,80.0,82.27,1742796
2016-12-01,81.9,83.67,80.72,82.86,1321502
2016-12-02,83.0,84.93,82.59,84.83,1808800
2016-12-05,84.98,85.08,82.13,83.12,1964137
2016-12-06,83.21,84.88,82.82,84.8,1539645
2016-12-07,84.71,88.12,84.52,87.67,1821035
2016-12-08,87.56,89.46,86.5,88.55,1555247
2016-12-09,88.89,90.27,88.89,89.77,1329010
2016-12-12,89.05,89.23,86.27,86.73,1274883
2016-12-13,87.01,88.82,86.56,86.87,1249877
2016-12-14,86.66,87.89,86.21,86.38,1033086
